Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.981359243626846
Accuracy and Completeness of Citations,1,5,9.985000542986578
Accuracy and Completeness of Citations,1,1,9.973041893352159
Accuracy and Completeness of Citations,1,9,9.772114749503313
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,0,9.970019805117525
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,6,9.999605228953715
Accuracy and Completeness of Citations,1,2,9.994399299646817
Accuracy and Completeness of Citations,1,8,9.999925962642685
Accuracy and Completeness of Citations,1,7,9.993734076621632
Accuracy of Information,1,4,9.986358524292328
Accuracy of Information,1,5,9.962879780014335
Accuracy of Information,1,1,9.989114083682685
Accuracy of Information,1,9,8.134093831478463
Accuracy of Information,1,10,0.0
Accuracy of Information,1,0,9.948895153586353
Accuracy of Information,1,3,10.0
Accuracy of Information,1,6,9.988251977641513
Accuracy of Information,1,2,9.872599513146055
Accuracy of Information,1,8,9.9678807335043
Accuracy of Information,1,7,9.978389456460784
Appropriateness of Professional Terminology Use,1,4,9.737772708709157
Appropriateness of Professional Terminology Use,1,5,9.87105882535411
Appropriateness of Professional Terminology Use,1,1,9.932525043275342
Appropriateness of Professional Terminology Use,1,9,2.9458980503388967
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,0,9.67293691002051
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,6,9.934180117652383
Appropriateness of Professional Terminology Use,1,2,8.67193742042858
Appropriateness of Professional Terminology Use,1,8,9.685778934557556
Appropriateness of Professional Terminology Use,1,7,5.566785429884491
Avoidance of Plagiarism and Appropriate Citation,1,4,9.958194000435245
Avoidance of Plagiarism and Appropriate Citation,1,5,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.988571308933144
Avoidance of Plagiarism and Appropriate Citation,1,9,7.0005949570628
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,9.93757231631006
Avoidance of Plagiarism and Appropriate Citation,1,3,9.98765610409931
Avoidance of Plagiarism and Appropriate Citation,1,6,9.979298898861682
Avoidance of Plagiarism and Appropriate Citation,1,2,9.957136811361627
Avoidance of Plagiarism and Appropriate Citation,1,8,9.974207163480349
Avoidance of Plagiarism and Appropriate Citation,1,7,9.99668166240076
Clarity of Logical Structure,1,4,9.784907108555315
Clarity of Logical Structure,1,5,9.804731145297383
Clarity of Logical Structure,1,1,9.97071812233245
Clarity of Logical Structure,1,9,3.0348200456234666
Clarity of Logical Structure,1,10,0.0
