Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,6,9.505447925992105
Accuracy and Completeness of Citations,1,2,9.537485033921556
Accuracy and Completeness of Citations,1,1,9.5711542545756
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,9.505792575704023
Accuracy and Completeness of Citations,1,8,9.324188551418613
Accuracy and Completeness of Citations,1,0,9.639641596137828
Accuracy and Completeness of Citations,1,7,9.667085398650638
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,9.53848978049587
Accuracy and Completeness of Citations,1,5,9.663536662527207
Accuracy of Information,1,6,7.848446329653404
Accuracy of Information,1,2,8.149513418954491
Accuracy of Information,1,1,8.669618980071412
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,8.509828856775988
Accuracy of Information,1,8,6.374666944647118
Accuracy of Information,1,0,8.783628738481553
Accuracy of Information,1,7,8.846653799677867
Accuracy of Information,1,10,0.0
Accuracy of Information,1,4,7.946345300331533
Accuracy of Information,1,5,9.181115208530102
Appropriateness of Professional Terminology Use,1,6,7.331133124433053
Appropriateness of Professional Terminology Use,1,2,7.484771952803928
Appropriateness of Professional Terminology Use,1,1,8.20071613728286
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,8.3915422063968
Appropriateness of Professional Terminology Use,1,8,5.128704683547276
Appropriateness of Professional Terminology Use,1,0,8.371837432038097
Appropriateness of Professional Terminology Use,1,7,8.487480457553907
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,4,7.391063307828915
Appropriateness of Professional Terminology Use,1,5,8.930549734371226
Avoidance of Plagiarism and Appropriate Citation,1,6,9.880294695560105
Avoidance of Plagiarism and Appropriate Citation,1,2,9.897756674705795
Avoidance of Plagiarism and Appropriate Citation,1,1,9.883971642740665
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.892500608655332
Avoidance of Plagiarism and Appropriate Citation,1,8,9.870534875162942
Avoidance of Plagiarism and Appropriate Citation,1,0,9.890131083467944
Avoidance of Plagiarism and Appropriate Citation,1,7,9.90129600975116
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,9.875464542978014
Avoidance of Plagiarism and Appropriate Citation,1,5,9.89669528904385
Clarity of Logical Structure,1,6,8.88112658013121
Clarity of Logical Structure,1,2,9.734114325064441
Clarity of Logical Structure,1,1,9.552576371062445
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,3,9.634591378410514
Clarity of Logical Structure,1,8,7.895584686817545
Clarity of Logical Structure,1,0,9.82100199217216
Clarity of Logical Structure,1,7,9.552569146260192
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,4,9.655719322364051
Clarity of Logical Structure,1,5,9.813579813674638
Clarity of Research Method Description,1,6,8.90819128764604
Clarity of Research Method Description,1,2,9.301547569370456
Clarity of Research Method Description,1,1,9.35113451137977
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,3,9.488556065791618
Clarity of Research Method Description,1,8,8.397068227897405
Clarity of Research Method Description,1,0,9.605227464639517
Clarity of Research Method Description,1,7,9.677377823688497
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,4,9.218276511985419
Clarity of Research Method Description,1,5,9.82872928542537
Comprehensiveness of Information,1,6,5.82150299561086
Comprehensiveness of Information,1,2,5.354758496035636
Comprehensiveness of Information,1,1,7.00183594106019
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,3,7.3915779473578676
Comprehensiveness of Information,1,8,2.0481789393941674
Comprehensiveness of Information,1,0,8.291759448393325
Comprehensiveness of Information,1,7,8.404645889845227
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,4,5.712408324915052
Comprehensiveness of Information,1,5,9.260227779247197
Conciseness of Expression,1,6,3.387056826474418
Conciseness of Expression,1,2,4.155758970520809
Conciseness of Expression,1,1,3.703940855885633
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,3,2.8393682782481298
Conciseness of Expression,1,8,3.6731596409909373
Conciseness of Expression,1,0,3.7857772571455555
Conciseness of Expression,1,7,2.9001862271146885
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,4,3.6094438396459094
Conciseness of Expression,1,5,3.323623261920298
Critical Analysis of Existing Research,1,6,7.649299374121758
Critical Analysis of Existing Research,1,2,7.408664463164771
Critical Analysis of Existing Research,1,1,8.420292323604167
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,3,9.637833406984626
Critical Analysis of Existing Research,1,8,3.9559466940885444
Critical Analysis of Existing Research,1,0,8.785761087992778
Critical Analysis of Existing Research,1,7,9.109169853324259
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,4,7.470205130457694
Critical Analysis of Existing Research,1,5,9.652357269871167
Feasibility of Proposed Suggestions,1,6,9.945106435630302
Feasibility of Proposed Suggestions,1,2,9.905830575999731
Feasibility of Proposed Suggestions,1,1,9.86812051116502
Feasibility of Proposed Suggestions,1,9,8.213715843894265
Feasibility of Proposed Suggestions,1,3,10.0
Feasibility of Proposed Suggestions,1,8,8.824399485445857
Feasibility of Proposed Suggestions,1,0,9.828417883254236
Feasibility of Proposed Suggestions,1,7,9.578148791248363
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,4,9.70096321731491
Feasibility of Proposed Suggestions,1,5,9.924481960073848
Fluency of Language Expression,1,6,3.896213309311484
Fluency of Language Expression,1,2,4.307176781496181
Fluency of Language Expression,1,1,4.592462780240327
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,3,4.239763799124783
Fluency of Language Expression,1,8,1.5405869550999862
Fluency of Language Expression,1,0,4.893294955962589
Fluency of Language Expression,1,7,3.873842944179711
Fluency of Language Expression,1,10,10.0
Fluency of Language Expression,1,4,3.143075820266873
Fluency of Language Expression,1,5,4.41337507481393
Identification and Discussion of Research Limitations,1,6,9.809999467253386
Identification and Discussion of Research Limitations,1,2,9.69624455246907
Identification and Discussion of Research Limitations,1,1,9.85806548816789
Identification and Discussion of Research Limitations,1,9,9.79550791853458
Identification and Discussion of Research Limitations,1,3,10.0
Identification and Discussion of Research Limitations,1,8,9.18557509838099
Identification and Discussion of Research Limitations,1,0,9.761712844939101
Identification and Discussion of Research Limitations,1,7,9.800543675539377
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,4,9.581520962133428
Identification and Discussion of Research Limitations,1,5,9.893391325778927
Inclusion of Latest Research Results,1,6,9.718299170788725
Inclusion of Latest Research Results,1,2,9.794119645243477
Inclusion of Latest Research Results,1,1,9.734179547902537
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,3,9.785943295706831
Inclusion of Latest Research Results,1,8,9.649502093967156
Inclusion of Latest Research Results,1,0,9.797636580300596
Inclusion of Latest Research Results,1,7,9.79851664136572
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,4,9.714506958757944
Inclusion of Latest Research Results,1,5,9.825348184569494
Innovativeness of Viewpoints,1,6,9.802736672599908
Innovativeness of Viewpoints,1,2,9.55077425384414
Innovativeness of Viewpoints,1,1,9.476657925629578
Innovativeness of Viewpoints,1,9,8.561321596656521
Innovativeness of Viewpoints,1,3,10.0
Innovativeness of Viewpoints,1,8,4.83371439264321
Innovativeness of Viewpoints,1,0,9.708328152672744
Innovativeness of Viewpoints,1,7,9.357901906190206
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,4,9.27391302536
Innovativeness of Viewpoints,1,5,9.905835309481157
Integration of Interdisciplinary Perspectives,1,6,5.143187476489117
Integration of Interdisciplinary Perspectives,1,2,5.0866058289567375
Integration of Interdisciplinary Perspectives,1,1,5.091686208316699
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,3,6.821960054969334
Integration of Interdisciplinary Perspectives,1,8,1.323922890269084
Integration of Interdisciplinary Perspectives,1,0,6.727199804251333
Integration of Interdisciplinary Perspectives,1,7,4.80364163829373
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,4,3.9999061244012295
Integration of Interdisciplinary Perspectives,1,5,7.056583042653924
Logic of Argumentation,1,6,8.013742603623125
Logic of Argumentation,1,2,9.028300248682024
Logic of Argumentation,1,1,9.134671708878603
Logic of Argumentation,1,9,10.0
Logic of Argumentation,1,3,9.235880604197849
Logic of Argumentation,1,8,6.918548615278203
Logic of Argumentation,1,0,9.341275882843727
Logic of Argumentation,1,7,9.207728729480838
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,4,8.859201222070242
Logic of Argumentation,1,5,9.593053474252372
Multi-angle Analysis of Problems,1,6,8.222924336679723
Multi-angle Analysis of Problems,1,2,6.321373569804435
Multi-angle Analysis of Problems,1,1,7.100470362581044
Multi-angle Analysis of Problems,1,9,10.0
Multi-angle Analysis of Problems,1,3,8.575025589526762
Multi-angle Analysis of Problems,1,8,2.586792135467027
Multi-angle Analysis of Problems,1,0,7.645032436053113
Multi-angle Analysis of Problems,1,7,6.928572138393603
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,4,6.2855233656470135
Multi-angle Analysis of Problems,1,5,8.315168000610209
Potential Contribution to the Field,1,6,9.136293455899231
Potential Contribution to the Field,1,2,9.324851825495179
Potential Contribution to the Field,1,1,9.06536954191553
Potential Contribution to the Field,1,9,10.0
Potential Contribution to the Field,1,3,9.775315936897973
Potential Contribution to the Field,1,8,5.017782286169862
Potential Contribution to the Field,1,0,9.414308603113538
Potential Contribution to the Field,1,7,8.477425499911039
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,4,8.521302020319228
Potential Contribution to the Field,1,5,9.665604634427995
Practical Application Potential of Research Results,1,6,9.80551691342237
Practical Application Potential of Research Results,1,2,9.883168564922256
Practical Application Potential of Research Results,1,1,9.603929680194371
Practical Application Potential of Research Results,1,9,10.0
Practical Application Potential of Research Results,1,3,9.974163148949874
Practical Application Potential of Research Results,1,8,6.471454259766419
Practical Application Potential of Research Results,1,0,9.90597141489454
Practical Application Potential of Research Results,1,7,9.02961715934285
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,4,9.126357741671669
Practical Application Potential of Research Results,1,5,9.855357718845674
Proposal of New Research Directions or Questions,1,6,9.966480403249744
Proposal of New Research Directions or Questions,1,2,9.91058330121759
Proposal of New Research Directions or Questions,1,1,9.882573257995444
Proposal of New Research Directions or Questions,1,9,7.981149969814367
Proposal of New Research Directions or Questions,1,3,10.0
Proposal of New Research Directions or Questions,1,8,9.229628834937756
Proposal of New Research Directions or Questions,1,0,9.872119426092198
Proposal of New Research Directions or Questions,1,7,9.804144383070245
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,4,9.850998091515846
Proposal of New Research Directions or Questions,1,5,9.945000672415292
Quality of Introduction and Conclusion,1,6,9.124174500506887
Quality of Introduction and Conclusion,1,2,9.467403859749258
Quality of Introduction and Conclusion,1,1,9.168425260406755
Quality of Introduction and Conclusion,1,9,9.935200147987345
Quality of Introduction and Conclusion,1,3,10.0
Quality of Introduction and Conclusion,1,8,4.185773085938746
Quality of Introduction and Conclusion,1,0,8.83366300317478
Quality of Introduction and Conclusion,1,7,8.753226472320305
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,4,8.383703086916942
Quality of Introduction and Conclusion,1,5,9.728090268550908
Rationality of Method Selection,1,6,9.913557935579119
Rationality of Method Selection,1,2,9.945156503098913
Rationality of Method Selection,1,1,9.924600084894792
Rationality of Method Selection,1,9,10.0
Rationality of Method Selection,1,3,9.971224948865759
Rationality of Method Selection,1,8,9.874999283175
Rationality of Method Selection,1,0,9.907136609914536
Rationality of Method Selection,1,7,9.93919092815064
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,4,9.856222576841471
Rationality of Method Selection,1,5,9.975450811707715
Reasonableness of Chapter Arrangement,1,6,8.268925827848511
Reasonableness of Chapter Arrangement,1,2,9.383588720307934
