Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.5054066645142047,[0.4  0.62],44.11764705882353
Comprehensiveness of Information,0.7270306999444536,[0.62 0.81],85.45454545454545
Accuracy of Information,0.3476583201160231,[0.25 0.47],25.0
Innovativeness of Viewpoints,0.703516054681761,[0.6  0.79],82.66666666666667
Integration of Interdisciplinary Perspectives,0.694136954818537,[0.61 0.78],76.66666666666667
Clarity of Logical Structure,0.6892480835355257,[0.59 0.78],86.95652173913044
Reasonableness of Chapter Arrangement,0.6673340520560603,[0.57 0.76],85.98726114649682
Quality of Introduction and Conclusion,0.6240651005786604,[0.52 0.73],91.0828025477707
Accuracy and Completeness of Citations,0.6431119876009578,[0.55 0.74],42.42424242424242
Timeliness and Relevance of References,0.6454054325149173,[0.55 0.74],79.61783439490446
Avoidance of Plagiarism and Appropriate Citation,0.280912612285781,[0.19 0.4 ],45.45454545454545
Critical Analysis of Existing Research,0.6959756427063216,[0.59 0.79],81.13207547169812
Proposal of New Research Directions or Questions,0.7267039728269332,[0.64 0.81],83.63636363636363
Potential Contribution to the Field,0.6874823712420481,[0.59 0.78],82.11920529801324
Clarity of Research Method Description,0.6259272194405351,[0.53 0.73],84.61538461538461
Rationality of Method Selection,0.6359318237997466,[0.54 0.73],83.63636363636363
Rigor of Research Design,0.6209037943270602,[0.52 0.72],84.71337579617835
Inclusion of Latest Research Results,0.6758407446447021,[0.58 0.77],82.80254777070064
Reflection of Current Research Hotspots,0.6642834549992639,[0.57 0.76],82.42424242424242
Fluency of Language Expression,0.5085154572713771,[0.4  0.62],91.0828025477707
Appropriateness of Professional Terminology Use,0.4868236662397955,[0.38 0.61],85.98726114649682
Conciseness of Expression,0.5247038128067585,[0.42 0.64],90.0
Practical Application Potential of Research Results,0.6699193918723787,[0.57 0.77],86.53846153846155
Feasibility of Proposed Suggestions,0.6393710538208853,[0.54 0.74],82.09876543209876
Logic of Argumentation,0.6516592761392094,[0.54 0.75],90.44585987261146
Multi-angle Analysis of Problems,0.6658550252907984,[0.57 0.76],82.58064516129032
Identification and Discussion of Research Limitations,0.6315699419974212,[0.53 0.73],80.8641975308642
