Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,3,9.965109981830459
Accuracy and Completeness of Citations,1,1,9.973677341817055
Accuracy and Completeness of Citations,1,6,9.964673799463862
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,9.970391763647628
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,7,9.968194097611228
Accuracy and Completeness of Citations,1,2,9.943474232265164
Accuracy and Completeness of Citations,1,0,9.992419218992861
Accuracy and Completeness of Citations,1,8,9.96628611746868
Accuracy and Completeness of Citations,1,4,9.970370612358098
Accuracy of Information,1,3,9.806665779258084
Accuracy of Information,1,1,9.882947916259191
Accuracy of Information,1,6,9.799819010540524
Accuracy of Information,1,10,0.0
Accuracy of Information,1,5,9.877589132141077
Accuracy of Information,1,9,10.0
Accuracy of Information,1,7,9.873835942918342
Accuracy of Information,1,2,9.737565684554616
Accuracy of Information,1,0,9.863797426117667
Accuracy of Information,1,8,9.830790107996087
Accuracy of Information,1,4,9.832282677896695
Appropriateness of Professional Terminology Use,1,3,9.162047623088636
Appropriateness of Professional Terminology Use,1,1,9.245973281046567
Appropriateness of Professional Terminology Use,1,6,9.232447935875822
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,8.981910037948778
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,7,9.196635897642135
Appropriateness of Professional Terminology Use,1,2,8.551482443628798
Appropriateness of Professional Terminology Use,1,0,9.388570184746982
Appropriateness of Professional Terminology Use,1,8,9.075405823502074
Appropriateness of Professional Terminology Use,1,4,9.232209306248118
Avoidance of Plagiarism and Appropriate Citation,1,3,9.991628963140688
Avoidance of Plagiarism and Appropriate Citation,1,1,9.991634419907939
Avoidance of Plagiarism and Appropriate Citation,1,6,9.994962317692515
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,9.998989424986515
Avoidance of Plagiarism and Appropriate Citation,1,7,9.989656281602304
Avoidance of Plagiarism and Appropriate Citation,1,2,9.995796069135588
Avoidance of Plagiarism and Appropriate Citation,1,0,9.991970649750993
Avoidance of Plagiarism and Appropriate Citation,1,8,9.993771890714097
Avoidance of Plagiarism and Appropriate Citation,1,4,9.987730109831897
Clarity of Logical Structure,1,3,9.970780088900408
Clarity of Logical Structure,1,1,9.938274872682257
Clarity of Logical Structure,1,6,9.862066831128518
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,5,6.732584602473008
Clarity of Logical Structure,1,9,2.6964932039177354
Clarity of Logical Structure,1,7,9.940303021464457
Clarity of Logical Structure,1,2,5.745237223041661
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,8,9.916732172161604
Clarity of Logical Structure,1,4,9.850715485190463
Clarity of Research Method Description,1,3,9.612111666404143
Clarity of Research Method Description,1,1,9.64284312121727
Clarity of Research Method Description,1,6,9.430150751628727
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,5,9.126758630284254
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,7,9.54627952398092
Clarity of Research Method Description,1,2,8.744502005357983
Clarity of Research Method Description,1,0,9.684765615798309
Clarity of Research Method Description,1,8,9.535913067296965
Clarity of Research Method Description,1,4,9.462673221909121
Comprehensiveness of Information,1,3,9.819208011915284
Comprehensiveness of Information,1,1,9.932383751233697
Comprehensiveness of Information,1,6,8.691741531519664
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,5,8.458285926868221
Comprehensiveness of Information,1,9,9.894736846856697
Comprehensiveness of Information,1,7,9.700261062707426
Comprehensiveness of Information,1,2,5.9994584658040955
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,8,9.292463189791114
Comprehensiveness of Information,1,4,9.589780652211877
Conciseness of Expression,1,3,4.846126082736201
Conciseness of Expression,1,1,3.9062720727023637
Conciseness of Expression,1,6,4.434319174860463
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,5,1.6745199745419885
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,7,4.1811607169917915
Conciseness of Expression,1,2,2.5960345585850217
Conciseness of Expression,1,0,4.8383365012073964
Conciseness of Expression,1,8,4.769896715461704
Conciseness of Expression,1,4,3.540513741729955
Critical Analysis of Existing Research,1,3,9.934158731354316
Critical Analysis of Existing Research,1,1,9.794712670229297
Critical Analysis of Existing Research,1,6,8.843617412174867
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,5,9.966148058256122
Critical Analysis of Existing Research,1,9,8.384963402248417
Critical Analysis of Existing Research,1,7,9.79772519673528
Critical Analysis of Existing Research,1,2,8.812740460321285
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,8,9.515097235237942
Critical Analysis of Existing Research,1,4,9.584416535335844
Feasibility of Proposed Suggestions,1,3,9.197361151898729
Feasibility of Proposed Suggestions,1,1,9.643650359388625
Feasibility of Proposed Suggestions,1,6,9.19592208337779
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,9,3.9277096859362985
Feasibility of Proposed Suggestions,1,7,9.81411934591647
Feasibility of Proposed Suggestions,1,2,9.82634502641346
Feasibility of Proposed Suggestions,1,0,9.895026335444205
Feasibility of Proposed Suggestions,1,8,9.553679132360102
Feasibility of Proposed Suggestions,1,4,9.600037530780183
Fluency of Language Expression,1,3,9.961526419761526
Fluency of Language Expression,1,1,9.853336929754008
Fluency of Language Expression,1,6,9.55170916204613
Fluency of Language Expression,1,10,4.329722808287326
Fluency of Language Expression,1,5,2.8657453531506416
Fluency of Language Expression,1,9,0.0
Fluency of Language Expression,1,7,9.914675921915606
Fluency of Language Expression,1,2,0.6546048210269884
Fluency of Language Expression,1,0,10.0
Fluency of Language Expression,1,8,9.853158314501474
Fluency of Language Expression,1,4,9.318009211065407
Identification and Discussion of Research Limitations,1,3,9.702439577749495
Identification and Discussion of Research Limitations,1,1,9.877736617786429
Identification and Discussion of Research Limitations,1,6,9.73831258536163
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,5,10.0
Identification and Discussion of Research Limitations,1,9,8.122322822946531
Identification and Discussion of Research Limitations,1,7,9.840117136667569
Identification and Discussion of Research Limitations,1,2,9.776649515971968
Identification and Discussion of Research Limitations,1,0,9.924558896483214
Identification and Discussion of Research Limitations,1,8,9.851434079065532
Identification and Discussion of Research Limitations,1,4,9.793623400831702
Inclusion of Latest Research Results,1,3,9.965251969747216
Inclusion of Latest Research Results,1,1,9.970572510807276
Inclusion of Latest Research Results,1,6,9.91955755753103
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,5,10.0
Inclusion of Latest Research Results,1,9,9.936193032646903
Inclusion of Latest Research Results,1,7,9.95383811354146
Inclusion of Latest Research Results,1,2,9.931381312716852
Inclusion of Latest Research Results,1,0,9.979506047051354
Inclusion of Latest Research Results,1,8,9.948091298782792
Inclusion of Latest Research Results,1,4,9.943078057087334
Innovativeness of Viewpoints,1,3,9.301301249724707
Innovativeness of Viewpoints,1,1,7.652920128087753
Innovativeness of Viewpoints,1,6,5.463153550295778
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,5,10.0
Innovativeness of Viewpoints,1,9,1.5063337464318087
Innovativeness of Viewpoints,1,7,9.516705161085149
Innovativeness of Viewpoints,1,2,9.168872808017852
Innovativeness of Viewpoints,1,0,9.853178655731794
Innovativeness of Viewpoints,1,8,8.222368572546891
Innovativeness of Viewpoints,1,4,8.739645065255655
Integration of Interdisciplinary Perspectives,1,3,9.707414321304373
Integration of Interdisciplinary Perspectives,1,1,9.444785823347805
Integration of Interdisciplinary Perspectives,1,6,8.688375307923796
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,5,10.0
Integration of Interdisciplinary Perspectives,1,9,8.564668546857842
Integration of Interdisciplinary Perspectives,1,7,9.369377563482553
Integration of Interdisciplinary Perspectives,1,2,8.270130033252926
Integration of Interdisciplinary Perspectives,1,0,9.806003913409
Integration of Interdisciplinary Perspectives,1,8,9.361194860811157
Integration of Interdisciplinary Perspectives,1,4,9.305775336719845
Logic of Argumentation,1,3,10.0
Logic of Argumentation,1,1,9.927155194027383
Logic of Argumentation,1,6,9.743760312317702
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,5,9.452720150529903
Logic of Argumentation,1,9,6.677143114929994
Logic of Argumentation,1,7,9.928289524190397
Logic of Argumentation,1,2,8.679125103975789
Logic of Argumentation,1,0,9.992954418836973
Logic of Argumentation,1,8,9.890672200993915
Logic of Argumentation,1,4,9.839329842871782
Multi-angle Analysis of Problems,1,3,9.512743688239333
Multi-angle Analysis of Problems,1,1,9.66533467310844
Multi-angle Analysis of Problems,1,6,8.090527313855794
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,5,10.0
Multi-angle Analysis of Problems,1,9,8.82472885596294
Multi-angle Analysis of Problems,1,7,9.553052035508113
Multi-angle Analysis of Problems,1,2,9.029416763470387
Multi-angle Analysis of Problems,1,0,9.898305557957054
Multi-angle Analysis of Problems,1,8,9.090242432468939
Multi-angle Analysis of Problems,1,4,9.337209880446885
Potential Contribution to the Field,1,3,9.669296346343327
Potential Contribution to the Field,1,1,9.653310111194724
Potential Contribution to the Field,1,6,9.372181252043896
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,5,10.0
Potential Contribution to the Field,1,9,6.0795036915988625
Potential Contribution to the Field,1,7,9.831962784108883
Potential Contribution to the Field,1,2,9.688137065249178
Potential Contribution to the Field,1,0,9.926915036381946
Potential Contribution to the Field,1,8,9.682171758173988
Potential Contribution to the Field,1,4,9.644442965454111
Practical Application Potential of Research Results,1,3,9.145374243424197
Practical Application Potential of Research Results,1,1,9.667693745029133
Practical Application Potential of Research Results,1,6,9.107136901161054
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,5,10.0
Practical Application Potential of Research Results,1,9,5.008268673078781
Practical Application Potential of Research Results,1,7,9.785097474874892
Practical Application Potential of Research Results,1,2,9.645869759427846
Practical Application Potential of Research Results,1,0,9.931924403475547
Practical Application Potential of Research Results,1,8,9.548974322900333
Practical Application Potential of Research Results,1,4,9.605461164134885
Proposal of New Research Directions or Questions,1,3,9.440414016460904
Proposal of New Research Directions or Questions,1,1,9.594577556287916
Proposal of New Research Directions or Questions,1,6,9.355773172473345
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,5,10.0
Proposal of New Research Directions or Questions,1,9,2.139249061529017
Proposal of New Research Directions or Questions,1,7,9.861160514208326
Proposal of New Research Directions or Questions,1,2,9.87478846399381
Proposal of New Research Directions or Questions,1,0,9.925960583429456
Proposal of New Research Directions or Questions,1,8,9.68340336789118
Proposal of New Research Directions or Questions,1,4,9.711650710641047
Quality of Introduction and Conclusion,1,3,9.744640052230348
Quality of Introduction and Conclusion,1,1,9.716992092382403
Quality of Introduction and Conclusion,1,6,8.780586724028632
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,5,9.885503589000423
Quality of Introduction and Conclusion,1,9,0.1580548404165127
Quality of Introduction and Conclusion,1,7,9.883481875494363
Quality of Introduction and Conclusion,1,2,7.418002200154422
Quality of Introduction and Conclusion,1,0,10.0
Quality of Introduction and Conclusion,1,8,9.663929004037632
Quality of Introduction and Conclusion,1,4,9.416513566710403
Rationality of Method Selection,1,3,9.973241160247255
Rationality of Method Selection,1,1,9.990181780585187
Rationality of Method Selection,1,6,9.9770864619934
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,5,10.0
Rationality of Method Selection,1,9,9.994991616484855
Rationality of Method Selection,1,7,9.985048977672934
Rationality of Method Selection,1,2,9.960126879892327
Rationality of Method Selection,1,0,9.977532711811087
Rationality of Method Selection,1,8,9.983284942151556
Rationality of Method Selection,1,4,9.945955804537082
Reasonableness of Chapter Arrangement,1,3,9.918376199481798
Reasonableness of Chapter Arrangement,1,1,9.97952694790436
Reasonableness of Chapter Arrangement,1,6,9.904778096670867
Reasonableness of Chapter Arrangement,1,10,0.0
Reasonableness of Chapter Arrangement,1,5,7.769949747885037
Reasonableness of Chapter Arrangement,1,9,3.2283087656608074
Reasonableness of Chapter Arrangement,1,7,9.935099296297915
Reasonableness of Chapter Arrangement,1,2,6.802549374366327
Reasonableness of Chapter Arrangement,1,0,10.0
Reasonableness of Chapter Arrangement,1,8,9.956909152154083
Reasonableness of Chapter Arrangement,1,4,9.915732746310532
Reflection of Current Research Hotspots,1,3,9.226877750129965
Reflection of Current Research Hotspots,1,1,9.363801213746122
Reflection of Current Research Hotspots,1,6,9.005137814986451
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,5,10.0
Reflection of Current Research Hotspots,1,9,1.7361020306418364
Reflection of Current Research Hotspots,1,7,9.448238883039545
Reflection of Current Research Hotspots,1,2,9.204987342805113
Reflection of Current Research Hotspots,1,0,9.69786552714859
Reflection of Current Research Hotspots,1,8,9.39528768316527
Reflection of Current Research Hotspots,1,4,9.388951220714599
Rigor of Research Design,1,3,9.668644103731088
Rigor of Research Design,1,1,9.726138918690431
Rigor of Research Design,1,6,9.618120041954448
Rigor of Research Design,1,10,0.0
Rigor of Research Design,1,5,9.747324279957853
Rigor of Research Design,1,9,10.0
Rigor of Research Design,1,7,9.72797003118423
Rigor of Research Design,1,2,9.626276336834376
Rigor of Research Design,1,0,9.67448970792164
Rigor of Research Design,1,8,9.706121045523325
Rigor of Research Design,1,4,9.588237358150677
Timeliness and Relevance of References,1,3,9.985086648760788
Timeliness and Relevance of References,1,1,9.979262586735095
Timeliness and Relevance of References,1,6,9.985187570296377
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,5,10.0
Timeliness and Relevance of References,1,9,9.99057085757169
Timeliness and Relevance of References,1,7,9.975415162086373
Timeliness and Relevance of References,1,2,9.987535427437813
Timeliness and Relevance of References,1,0,9.987729489876457
Timeliness and Relevance of References,1,8,9.982352294595994
Timeliness and Relevance of References,1,4,9.98191594143655
Topic Relevance,1,3,9.915046134673288
Topic Relevance,1,1,9.806870195579132
Topic Relevance,1,6,8.062397500899918
Topic Relevance,1,10,0.0
Topic Relevance,1,5,5.040009723997462
Topic Relevance,1,9,0.5539272083005796
Topic Relevance,1,7,9.669688728268186
Topic Relevance,1,2,1.6110685895675676
Topic Relevance,1,0,10.0
Topic Relevance,1,8,9.125772192629565
Topic Relevance,1,4,8.840427842254153
