Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.985058445854058
Accuracy and Completeness of Citations,1,2,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,1,9.986234984519825
Accuracy and Completeness of Citations,1,0,9.97990194852339
Accuracy and Completeness of Citations,1,6,9.952634412957577
Accuracy and Completeness of Citations,1,9,7.710856750019301
Accuracy and Completeness of Citations,1,8,9.95605020509776
Accuracy and Completeness of Citations,1,7,9.977634095912466
Accuracy and Completeness of Citations,1,3,9.99078461389207
Accuracy and Completeness of Citations,1,5,9.993738944026438
Accuracy of Information,1,4,9.87495246354239
Accuracy of Information,1,2,9.970277796829771
Accuracy of Information,1,10,0.0
Accuracy of Information,1,1,9.85065666659923
Accuracy of Information,1,0,9.992450888909781
Accuracy of Information,1,6,9.8704927768159
Accuracy of Information,1,9,0.05642782012252474
Accuracy of Information,1,8,9.916848289390247
Accuracy of Information,1,7,10.0
Accuracy of Information,1,3,9.97906855436654
Accuracy of Information,1,5,9.889365173541504
Appropriateness of Professional Terminology Use,1,4,9.871493557369549
Appropriateness of Professional Terminology Use,1,2,6.373387598024895
Appropriateness of Professional Terminology Use,1,10,0.025095229207782857
Appropriateness of Professional Terminology Use,1,1,9.59848632004752
Appropriateness of Professional Terminology Use,1,0,9.977864008018248
Appropriateness of Professional Terminology Use,1,6,7.432802738229877
Appropriateness of Professional Terminology Use,1,9,0.0
Appropriateness of Professional Terminology Use,1,8,9.665750890372415
Appropriateness of Professional Terminology Use,1,7,9.863756735843188
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,5,9.80242780013486
Avoidance of Plagiarism and Appropriate Citation,1,4,9.97006672937738
Avoidance of Plagiarism and Appropriate Citation,1,2,9.986425118618131
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.896839339172837
Avoidance of Plagiarism and Appropriate Citation,1,0,9.981305217261813
Avoidance of Plagiarism and Appropriate Citation,1,6,9.929854188013698
Avoidance of Plagiarism and Appropriate Citation,1,9,3.4377447592834818
Avoidance of Plagiarism and Appropriate Citation,1,8,9.940454525697515
Avoidance of Plagiarism and Appropriate Citation,1,7,9.997945955098901
Avoidance of Plagiarism and Appropriate Citation,1,3,9.990496459385133
Avoidance of Plagiarism and Appropriate Citation,1,5,10.0
Clarity of Logical Structure,1,4,9.736098268540823
Clarity of Logical Structure,1,2,8.294573232425343
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,1,9.691969412661502
Clarity of Logical Structure,1,0,9.888060799742028
Clarity of Logical Structure,1,6,9.22799174149982
Clarity of Logical Structure,1,9,0.15239288735355638
Clarity of Logical Structure,1,8,9.502317322156994
Clarity of Logical Structure,1,7,9.853651176283337
Clarity of Logical Structure,1,3,10.0
Clarity of Logical Structure,1,5,9.653548302939207
Clarity of Research Method Description,1,4,9.871618930714043
Clarity of Research Method Description,1,2,9.166600262893127
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,1,9.844868865516165
Clarity of Research Method Description,1,0,9.877794514745919
Clarity of Research Method Description,1,6,9.585042480551198
Clarity of Research Method Description,1,9,0.5700081470156959
Clarity of Research Method Description,1,8,9.721680266207146
Clarity of Research Method Description,1,7,9.934014726835109
Clarity of Research Method Description,1,3,10.0
Clarity of Research Method Description,1,5,9.81901942208175
Comprehensiveness of Information,1,4,9.92457720019971
Comprehensiveness of Information,1,2,9.423305381561285
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,1,9.934481908171287
Comprehensiveness of Information,1,0,9.987450129126175
Comprehensiveness of Information,1,6,9.013114724652763
Comprehensiveness of Information,1,9,0.23989848480785844
Comprehensiveness of Information,1,8,9.807227517476713
Comprehensiveness of Information,1,7,9.933207650931912
Comprehensiveness of Information,1,3,10.0
Comprehensiveness of Information,1,5,9.842046125681936
Conciseness of Expression,1,4,9.35015093651937
Conciseness of Expression,1,2,3.497052148102142
Conciseness of Expression,1,10,0.04923309070996144
Conciseness of Expression,1,1,9.013618825283823
Conciseness of Expression,1,0,9.811587647663602
Conciseness of Expression,1,6,5.236497937033803
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,8,8.82963801036412
Conciseness of Expression,1,7,9.558816159074
Conciseness of Expression,1,3,10.0
Conciseness of Expression,1,5,9.284868818038122
Critical Analysis of Existing Research,1,4,9.83388676741232
Critical Analysis of Existing Research,1,2,9.701436815536875
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,1,9.730252792168839
Critical Analysis of Existing Research,1,0,9.984486704922103
Critical Analysis of Existing Research,1,6,8.956797919092937
Critical Analysis of Existing Research,1,9,0.5085665318070561
Critical Analysis of Existing Research,1,8,9.734362632042767
Critical Analysis of Existing Research,1,7,9.841656221262571
Critical Analysis of Existing Research,1,3,10.0
Critical Analysis of Existing Research,1,5,9.997616607175173
Feasibility of Proposed Suggestions,1,4,9.835396132070784
Feasibility of Proposed Suggestions,1,2,9.577878548256207
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,1,9.756443129102827
Feasibility of Proposed Suggestions,1,0,9.954445188110315
Feasibility of Proposed Suggestions,1,6,8.77125851425471
Feasibility of Proposed Suggestions,1,9,0.7414578656710912
Feasibility of Proposed Suggestions,1,8,9.713254530438334
Feasibility of Proposed Suggestions,1,7,9.789824399933956
Feasibility of Proposed Suggestions,1,3,10.0
