Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.7766983435272986,[0.69 0.85],76.36363636363637
Comprehensiveness of Information,0.9010540657930184,[0.84 0.94],75.75757575757575
Accuracy of Information,0.8407851564969057,[0.78 0.89],58.2089552238806
Innovativeness of Viewpoints,0.8116803198082002,[0.75 0.87],80.0
Integration of Interdisciplinary Perspectives,0.8160628902514482,[0.73 0.88],77.5
Clarity of Logical Structure,0.6510379553141913,[0.46 0.79],81.21212121212122
Reasonableness of Chapter Arrangement,0.7029792276103793,[0.56 0.81],79.01234567901234
Quality of Introduction and Conclusion,0.7050538767084398,[0.6 0.8],80.0
Accuracy and Completeness of Citations,0.9442063863622303,[0.92 0.96],73.01587301587301
Timeliness and Relevance of References,0.9235157722261879,[0.89 0.95],63.013698630136986
Avoidance of Plagiarism and Appropriate Citation,0.9142371947127194,[0.88 0.94],23.809523809523807
Critical Analysis of Existing Research,0.840776689759416,[0.77 0.9 ],72.12121212121212
Proposal of New Research Directions or Questions,0.8846915036997611,[0.84 0.92],79.39393939393939
Potential Contribution to the Field,0.7933453006679084,[0.68 0.87],79.39393939393939
Clarity of Research Method Description,0.7836343110638221,[0.68 0.86],82.6923076923077
Rationality of Method Selection,0.754569333980103,[0.68 0.83],60.526315789473685
Rigor of Research Design,0.7812943651006538,[0.71 0.85],71.7741935483871
Inclusion of Latest Research Results,0.9104149572704799,[0.87 0.94],76.31578947368422
Reflection of Current Research Hotspots,0.7309715588787972,[0.61 0.82],76.36363636363637
Fluency of Language Expression,0.21477186710344595,[0.12 0.34],94.87179487179486
Appropriateness of Professional Terminology Use,0.6538081273998289,[0.54 0.76],68.35443037974683
Conciseness of Expression,0.5709644807681655,[0.42 0.7 ],91.51515151515152
Practical Application Potential of Research Results,0.7841600503136117,[0.66 0.87],75.47169811320755
Feasibility of Proposed Suggestions,0.7897676155943306,[0.7  0.86],75.0
Logic of Argumentation,0.7119661210115646,[0.55 0.82],77.57575757575758
Multi-angle Analysis of Problems,0.8527632786893006,[0.79 0.9 ],76.96969696969697
Identification and Discussion of Research Limitations,0.7785457377378329,[0.71 0.85],72.64957264957265
