Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,9.995721619200536
Accuracy and Completeness of Citations,1,7,9.988735668002466
Accuracy and Completeness of Citations,1,6,9.99829845014893
Accuracy and Completeness of Citations,1,9,8.854347196393189
Accuracy and Completeness of Citations,1,0,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,9.942974371086349
Accuracy and Completeness of Citations,1,2,9.993907138364506
Accuracy and Completeness of Citations,1,3,9.968508343288676
Accuracy and Completeness of Citations,1,1,9.992246780585443
Accuracy and Completeness of Citations,1,8,9.953104404494145
Accuracy of Information,1,4,9.934990758067183
Accuracy of Information,1,7,10.0
Accuracy of Information,1,6,9.870950548670425
Accuracy of Information,1,9,2.677888066067877
Accuracy of Information,1,0,9.944999389587585
Accuracy of Information,1,10,0.0
Accuracy of Information,1,5,9.91731200438972
Accuracy of Information,1,2,9.94289087282786
Accuracy of Information,1,3,9.792671291928356
Accuracy of Information,1,1,9.979914717887366
Accuracy of Information,1,8,9.135853140164105
Appropriateness of Professional Terminology Use,1,4,3.5756368016547353
Appropriateness of Professional Terminology Use,1,7,8.628866109646028
Appropriateness of Professional Terminology Use,1,6,9.88505737796404
Appropriateness of Professional Terminology Use,1,9,0.4481372039732365
Appropriateness of Professional Terminology Use,1,0,9.8787059610164
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,5,9.75337938114684
Appropriateness of Professional Terminology Use,1,2,9.886004155978073
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,1,9.71653222578717
Appropriateness of Professional Terminology Use,1,8,2.4981442941688647
Avoidance of Plagiarism and Appropriate Citation,1,4,9.937930722863507
Avoidance of Plagiarism and Appropriate Citation,1,7,9.964562565288729
Avoidance of Plagiarism and Appropriate Citation,1,6,10.0
Avoidance of Plagiarism and Appropriate Citation,1,9,7.641585971115675
Avoidance of Plagiarism and Appropriate Citation,1,0,9.985991299282501
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.935999494761916
Avoidance of Plagiarism and Appropriate Citation,1,2,9.952608699077919
Avoidance of Plagiarism and Appropriate Citation,1,3,9.918444204340156
Avoidance of Plagiarism and Appropriate Citation,1,1,9.95723069306873
Avoidance of Plagiarism and Appropriate Citation,1,8,9.86676105836329
Clarity of Logical Structure,1,4,8.456464842284776
Clarity of Logical Structure,1,7,9.770334447383515
Clarity of Logical Structure,1,6,9.94261360505401
Clarity of Logical Structure,1,9,1.1508938885775684
Clarity of Logical Structure,1,0,9.909924703031923
Clarity of Logical Structure,1,10,0.0
