Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.6022665566766878,[0.5  0.71],67.3913043478261
Comprehensiveness of Information,0.852852589358971,[0.8 0.9],84.84848484848484
Accuracy of Information,0.360107825111409,[0.26 0.48],46.51162790697674
Innovativeness of Viewpoints,0.7677556150918045,[0.68 0.84],90.9090909090909
Integration of Interdisciplinary Perspectives,0.8034670351163037,[0.74 0.86],84.24242424242424
Clarity of Logical Structure,0.7510653878622062,[0.67 0.83],85.45454545454545
Reasonableness of Chapter Arrangement,0.759433558794089,[0.68 0.83],81.36645962732919
Quality of Introduction and Conclusion,0.7090236771880741,[0.62 0.79],85.45454545454545
Accuracy and Completeness of Citations,0.771305163488274,[0.7  0.84],54.929577464788736
Timeliness and Relevance of References,0.7879156277665732,[0.72 0.85],84.24242424242424
Avoidance of Plagiarism and Appropriate Citation,0.25795488628710067,[0.17 0.37],48.93617021276596
Critical Analysis of Existing Research,0.7600201645323109,[0.67 0.84],90.9090909090909
Proposal of New Research Directions or Questions,0.7830859535874461,[0.71 0.85],81.21212121212122
Potential Contribution to the Field,0.7467880754382102,[0.66 0.82],84.84848484848484
Clarity of Research Method Description,0.7091152317214002,[0.62 0.8 ],91.51515151515152
Rationality of Method Selection,0.7143130096606497,[0.63 0.8 ],85.71428571428571
Rigor of Research Design,0.6671942399034793,[0.57 0.76],89.0909090909091
Inclusion of Latest Research Results,0.774535394375929,[0.7  0.84],84.24242424242424
Reflection of Current Research Hotspots,0.7506310708176416,[0.67 0.82],82.5
Fluency of Language Expression,0.5708810903861239,[0.47 0.68],82.42424242424242
Appropriateness of Professional Terminology Use,0.5626932618579524,[0.46 0.67],87.87878787878788
Conciseness of Expression,0.5688877930970718,[0.47 0.68],82.42424242424242
Practical Application Potential of Research Results,0.7163425280907683,[0.63 0.8 ],83.63636363636363
Feasibility of Proposed Suggestions,0.6915618661857754,[0.6  0.78],85.45454545454545
Logic of Argumentation,0.7101875048642871,[0.62 0.79],82.42424242424242
Multi-angle Analysis of Problems,0.7379084770994591,[0.66 0.82],81.21212121212122
Identification and Discussion of Research Limitations,0.6883010054838516,[0.6  0.78],78.75
