<quotes>

[1] "The main forms of deactivation are shown in Fig. 12a."
[2] "A first-order deactivation model is usually used to evaluate the catalyst stability:73 kd = (ln[(1  Xfinal)/Xfinal]  ln[(1  Xinitial)/Xinitial])/t (6) where Xinitial represents the conversion measured in the initial period, Xfinal represents the conversion measured in the final period of an experiment, and t is the reaction time (h). kd represents the deactivation rate constant (h1); the higher the kd value is, the faster deactivation and lower stability are realized."
[3] "Insights into the deactivation mechanisms can further help design more stable Pt-based catalysts."
[4] "The aforementioned deactivation phenomena have a crucial influence on the cata- lytic performance."
[5] "Therefore, for the design of catalytic systems with promoted performance, inhibition of deactivation can serve as an important requirement."
[6] "A number of synthetic strategies for inhibiting the deactivation have been shown, which can be classified in accordance with the modification of supports,metals and treatments (Fig. 12b)."
[7] "In the following sections, we Fig. 12 The deactivation and inhibition strategies over Pt-based and metal oxide-based catalysts."
[8] "The main deactivation phenomena are shown."
[9] "The approaches for inhibiting deactivation are shown and divided after the different modification stages of supports, metal particles and treatment."
[10] "3.1.3.1 Coke formation"
[11] "In PDH reactions, coking behavior over Pt-based catalysts leads to decreased catalytic activity follows via two mechanisms: poisoning the active sites or limiting access of the reactants to the active sites due to the partial or complete blockage of pores by coke.133,134 Both deactivation modes can occur simultaneously."
[12] "As shown above,the coordination saturated Pt atoms are more selective for propane dehydrogenation, while the coordinatively unsatu- rated Pt atoms will catalyze the side reactions, such as CC breaking and deep dehydrogenation, resulting in the formation of carbon deposits."
[13] "It has been reported that compared to flat surfaces (6372 kJ mol1), the energy barrier to form propylene is much lower on step sites (2434 kJ mol1) by DFT calculations.134 Nevertheless, propylidyne intermediates, as precursors for coke formation and hydrogenolysis, can be easily generated, causing propane to adsorb strongly on the former."
[14] "The dehydrogenation product of propylene, C3H5*, can be taken as a model precursor for coke deposition."
[15] "In addition to the coke formation on Pt NPs, the coke types and positions on Pt-supported catalysts have been studied, which are classi- fied into three locations: on Pt metal, on the Ptsupport boundary, and on supports."
