Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,0.618968826307637
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,8,0.8447246597315072
Accuracy and Completeness of Citations,1,6,0.9011262273262604
Accuracy and Completeness of Citations,1,4,0.6838919848374829
Accuracy and Completeness of Citations,1,7,1.4104600058813004
Accuracy and Completeness of Citations,1,1,0.46469299396579694
Accuracy and Completeness of Citations,1,3,0.7114995359127382
Accuracy and Completeness of Citations,1,5,0.47197241384159017
Accuracy and Completeness of Citations,1,2,0.9311126928920382
Accuracy of Information,1,0,0.4187017955799551
Accuracy of Information,1,10,2.2204686041246258
Accuracy of Information,1,9,10.0
Accuracy of Information,1,8,0.2227620515672319
Accuracy of Information,1,6,0.24764488605734425
Accuracy of Information,1,4,0.054621791760269454
Accuracy of Information,1,7,0.26152231102638185
Accuracy of Information,1,1,0.21505034681914378
Accuracy of Information,1,3,0.1463198936543784
Accuracy of Information,1,5,0.0
Accuracy of Information,1,2,0.07674809560484448
Appropriateness of Professional Terminology Use,1,0,0.33642141068537473
Appropriateness of Professional Terminology Use,1,10,7.171036154593826
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,8,0.2487362599453698
Appropriateness of Professional Terminology Use,1,6,1.3680905671028798
Appropriateness of Professional Terminology Use,1,4,0.1456271901420798
Appropriateness of Professional Terminology Use,1,7,0.9583706771732414
Appropriateness of Professional Terminology Use,1,1,0.00034117750649468107
Appropriateness of Professional Terminology Use,1,3,0.2344139924870589
Appropriateness of Professional Terminology Use,1,5,0.042506369096589953
Appropriateness of Professional Terminology Use,1,2,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,0.3765822170634659
Avoidance of Plagiarism and Appropriate Citation,1,10,0.15968616710640646
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,0.600868772219978
Avoidance of Plagiarism and Appropriate Citation,1,6,0.25496725793171543
