<quotes>

[1] "Ga speciation in Ga/H-ZSM-5 by in-situ transmission FTIR spectroscopy"
[2] "Ga/H-ZSM-5 has long been recognized as a promising catalyst for nonoxidative dehydrogenation and dehydroaromatization of alkanes."
[3] "However, Ga speciation under reaction conditions remains controversial."
[4] "In this work, in-situ transmission Fourier Transform infrared (FTIR) spectroscopy is employed to systematically investigate Ga speciation in Ga/H-ZSM-5 with three Si/Al ratios (15, 28 and 39) and a wide range of Ga/Al ratios (0–1.7)."
[5] "The dependence of GaHx bands on both the Si/Al ratios and the Ga/Al ratios shows that Ga speciation varies with BAS density in the zeolite."
[6] "We hypothesize that paired BAS sites are preferentially exchanged with Ga+, leading to the formation of Ga+H+ pair sites, while the exchange of isolated BAS form isolated Ga+ species."
[7] "These results provide direct experimental evidence for the existence of two types of Ga species on reduced Ga/H-ZSM-5, highlighting the possibility that they have different catalytic activities in alkane dehydrogenation reactions."
[8] "The high cost of Pt and the health and environmental concerns associated with Cr, have incentivized development of other PDH catalysts."
[9] "Among these, Ga/H-ZSM-5 has long been recognized as an efficient catalyst for both dehydrogenation and dehydroaromatization of alkanes (the Cyclar process), however, Ga speciation, the identity of catalytic active sites and the reaction mechanism of the PDH reaction remain topics of active discussion despite decades of research."
[10] "A number of Ga species, such as Ga+, [GaO]+, [Ga (OH)]2+, [Ga(OH)2]+, [GaH2]+, [GaH]2+, have been proposed to form after the reduction of Ga/H-ZSM-5 based on several experimental and computational techniques."
[11] "The BAS densities of the samples were 636, 460, 281 μmol/g for samples with Si/Al ratios of 15, 28 and 39, respectively."
[12] "Upon reduction with H2 (1 atm) at 550 °C, the BAS band (3591 cm−1) disappears (Fig. 1(ii)), indicating the replacement of BAS by Ga species."
[13] "Quantitative FTIR experiments with pyridine show that not all BAS can be exchanged by Ga species even at Ga/Al ratios up to 1.7 during the reduction treatment."
[14] "The integrated area of the pyridinium band decreases by 75% as the Ga/Al ratio increases from 0 to 0.7 (Fig. 3a(i-xii)), and then levels off at 80% at higher Ga/Al ratios (Fig. 3a(xiii-xv))."
[15] "The consumption of BAS increases with Ga/Al ratio and reached about 70% for samples with Ga/Al ratios near unity."
[16] "The highest percentage of BAS consumption in Ga/H-ZSM-5 with all three Si/Al ratios is similar (80%), suggesting a thermodynamic barrier rather than a purely diffusional one to achieve complete BAS replacement."
[17] "Ga speciation of reduced Ga/H-ZSM-5 is also found to depend on the Ga/Al ratio."
[18] "The dependence of the formation and relative abundance of the gallium hydride species formed upon reduction on the Ga/Al ratios and Si/Al ratios provides another dimension to differentiate different Ga species on Ga/H-ZSM-5."
[19] "The bands for these Ga-H stretching modes generally blueshift as Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 1) cools down under vacuum (Fig. S8), which explains the slight shifts of the hydride bands reported in this work compared to those by Hensen and coworkers."
[20] "The intensity of the GaH2 increases almost linearly at low Ga loadings, levels off when the Ga/Al ratio exceeds 0.1, and declines slowly with the increase of the Ga/Al ratio above 0.56."
[21] "A discernable GaH band does not appear until the Ga/Al ratio exceeds 0.08, and disappears at Ga/Al ratios above 0.7."
[22] "The combined peak area of Ga hydrides as a function of the Ga/Al ratio is plotted in Fig. 6; this combined area is dominated by the GaH2 band, due to its higher intensity."
[23] "The intensity of Ga hydride bands decreases with the increase of the Si/Al ratio of H-ZSM-5 at the same Ga/Al ratio."
[24] "The combined results of our spectroscopic investigations could be largely rationalized by the formation of two distinct types of Ga species in zeolitic micropores through ion-exchange with BAS, i.e., Ga exchanged with isolated and paired BAS."
[25] "Isolated and paired BAS are loosely defined as BAS without and with a neighboring BAS to interact with, respectively."
[26] "The dependence of the GaHx formation on the Si/Al ratio of the zeolite (Fig. 5), i.e., the BAS density, suggests that the environment of BAS has an impact on the properties of the exchanged Ga species."
[27] "Zeolites with lower Si/Al ratios, or higher Al contents, have higher densities of paired BAS assuming Al is distributed uniformly across the zeolite framework."
[28] "On a sample with a high Si/Al ratio, e.g., 39 in this work, the majority of the BAS are isolated."
[29] "Thus Ga+ species that replace the protons via ion-exchange should also be isolated and lack interaction with neighboring BAS."
[30] "The lack of GaHx spectral features on Ga/H-ZSM-5 (Si/Al = 39) with Ga/Al ratio as high as 1.3 strongly indicates that these isolated Ga+ sites cannot form stable GaHx species at 550 °C (under vacuum or in the H2 atmosphere)."
[31] "Meanwhile, at lower Si/Al ratios, e.g., Ga/H-ZSM-5 (Si/Al = 15), there is a higher probability of BAS to occur as paired BAS sites."
[32] "We propose that the Ga+H+ pair sites formed by exchanging Ga+ with one of the paired BAS is the species capable of forming GaHx species based on the spectroscopic observation."
[33] "This hypothesis agrees with the charge balance requirement that two adjacent BAS are needed for GaH (Scheme 1) assuming a +3 valence for the Ga cation."
[34] "For samples with both isolated and paired protons, paired protons are preferentially exchanged with Ga+ to form Ga+H+ pair sites, as GaHx bands are observed on Ga/H-ZSM-5 (Si/Al = 15) at low Ga loadings."
[35] "IR spectra collected after introducing water vapor to reduced Ga/H-ZSM-5 provide further evidence of the heterogeneity of exchanged Ga species."
[36] "Ga/H-ZSM-5 after H2 treatment at 550 °C is quickly cooled down to 150 °C under vacuum (within 30 min)."
[37] "Upon water introduction to the reduced Ga/H-ZSM-5 (Si/Al = 15, Ga/Al = 1.0) at 150 °C, an intense band centered at 2052 cm−1 appears (red trace of Fig. 7a(ix)), completely masking the GaHx bands in the same spectral range."
