Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,9.277308591387463
Accuracy and Completeness of Citations,1,8,9.108160294455637
Accuracy and Completeness of Citations,1,6,9.22308893651604
Accuracy and Completeness of Citations,1,4,9.29971152045282
Accuracy and Completeness of Citations,1,3,9.29154508135183
Accuracy and Completeness of Citations,1,0,9.203066149880673
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,2,9.140138968577679
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,9.37917789125281
Accuracy and Completeness of Citations,1,5,9.294817583124114
Accuracy of Information,1,7,7.552245436806472
Accuracy of Information,1,8,4.664536880078551
Accuracy of Information,1,6,6.659765408141522
Accuracy of Information,1,4,7.616437067725938
Accuracy of Information,1,3,8.07468393271717
Accuracy of Information,1,0,5.538689195155822
Accuracy of Information,1,10,0.0
Accuracy of Information,1,2,5.4321866016443145
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,7.24630808898757
Accuracy of Information,1,5,6.0901959286805845
Appropriateness of Professional Terminology Use,1,7,9.36028961826254
Appropriateness of Professional Terminology Use,1,8,0.6363247612671235
Appropriateness of Professional Terminology Use,1,6,5.266460441952049
Appropriateness of Professional Terminology Use,1,4,9.379366850873936
Appropriateness of Professional Terminology Use,1,3,8.701288607357442
Appropriateness of Professional Terminology Use,1,0,0.7067891859591662
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,2,2.1671858892765665
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,1,5.425930791112222
Appropriateness of Professional Terminology Use,1,5,2.5802949418235244
Avoidance of Plagiarism and Appropriate Citation,1,7,8.751198803690116
Avoidance of Plagiarism and Appropriate Citation,1,8,8.411530879642463
Avoidance of Plagiarism and Appropriate Citation,1,6,8.610437104801193
Avoidance of Plagiarism and Appropriate Citation,1,4,8.869722703558688
Avoidance of Plagiarism and Appropriate Citation,1,3,8.943994426897916
Avoidance of Plagiarism and Appropriate Citation,1,0,8.432845625442383
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,8.292680239514862
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,8.814905333344248
Avoidance of Plagiarism and Appropriate Citation,1,5,8.620460155982553
Clarity of Logical Structure,1,7,9.300174110683784
Clarity of Logical Structure,1,8,2.319041956421616
Clarity of Logical Structure,1,6,6.795125727964363
Clarity of Logical Structure,1,4,9.220236216535406
Clarity of Logical Structure,1,3,8.71705444920456
Clarity of Logical Structure,1,0,2.4346742127923644
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,2,5.517601693054208
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,1,7.083428291485299
Clarity of Logical Structure,1,5,3.985720728447466
Clarity of Research Method Description,1,7,9.60336496953254
Clarity of Research Method Description,1,8,4.664916744073547
Clarity of Research Method Description,1,6,8.077443076206285
Clarity of Research Method Description,1,4,9.625540579671046
Clarity of Research Method Description,1,3,9.459495431151664
Clarity of Research Method Description,1,0,4.8291521332414735
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,2,6.601917593637085
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,1,8.609927293893989
Clarity of Research Method Description,1,5,7.04161770343349
Comprehensiveness of Information,1,7,9.41028559512607
Comprehensiveness of Information,1,8,3.1074061598184133
Comprehensiveness of Information,1,6,7.269887465520197
Comprehensiveness of Information,1,4,9.332654603892651
Comprehensiveness of Information,1,3,9.093039875919432
Comprehensiveness of Information,1,0,2.9011384294745692
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,2,4.967296701012295
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,1,7.964021985981319
Comprehensiveness of Information,1,5,5.705308476593743
Conciseness of Expression,1,7,9.265038837049014
Conciseness of Expression,1,8,0.34798678437060176
Conciseness of Expression,1,6,4.671049743488313
Conciseness of Expression,1,4,9.161672486977922
Conciseness of Expression,1,3,8.2167247710883
Conciseness of Expression,1,0,0.439217428392024
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,2,1.7450985115424247
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,1,4.5075711876133395
Conciseness of Expression,1,5,1.152858134854753
Critical Analysis of Existing Research,1,7,9.527055607902682
Critical Analysis of Existing Research,1,8,4.752469718130952
Critical Analysis of Existing Research,1,6,8.064410097360701
Critical Analysis of Existing Research,1,4,9.454245524457148
Critical Analysis of Existing Research,1,3,9.187274222711991
Critical Analysis of Existing Research,1,0,4.332286709578267
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,2,6.621712486206
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,1,8.160375421789645
Critical Analysis of Existing Research,1,5,6.815471332366865
Feasibility of Proposed Suggestions,1,7,9.587153503759701
Feasibility of Proposed Suggestions,1,8,3.6515877222930557
Feasibility of Proposed Suggestions,1,6,7.8220604656840145
Feasibility of Proposed Suggestions,1,4,9.545918303841304
Feasibility of Proposed Suggestions,1,3,9.200529743601619
Feasibility of Proposed Suggestions,1,0,3.4082558640054263
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,2,6.006763980990298
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,1,7.797656586585905
Feasibility of Proposed Suggestions,1,5,5.927757563201499
Fluency of Language Expression,1,7,9.28741436224318
Fluency of Language Expression,1,8,0.39130666998708336
Fluency of Language Expression,1,6,5.013229930898474
Fluency of Language Expression,1,4,9.225382001050628
Fluency of Language Expression,1,3,8.456112008591788
Fluency of Language Expression,1,0,0.47172356158928186
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,2,2.0463212385138814
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,1,4.478893381381233
Fluency of Language Expression,1,5,1.155558833558873
Identification and Discussion of Research Limitations,1,7,9.510994830338552
Identification and Discussion of Research Limitations,1,8,3.2661214901144797
Identification and Discussion of Research Limitations,1,6,7.71706719299218
Identification and Discussion of Research Limitations,1,4,9.507070230005073
Identification and Discussion of Research Limitations,1,3,9.217179630260917
Identification and Discussion of Research Limitations,1,0,3.416852497910293
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,2,5.302704427273591
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,1,7.779075410894626
Identification and Discussion of Research Limitations,1,5,5.574208433987073
Inclusion of Latest Research Results,1,7,9.535682986148785
Inclusion of Latest Research Results,1,8,5.6152284764908975
Inclusion of Latest Research Results,1,6,8.168184779004463
Inclusion of Latest Research Results,1,4,9.562831054254174
Inclusion of Latest Research Results,1,3,9.364392274486864
Inclusion of Latest Research Results,1,0,5.372920476745123
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,2,7.114285843750813
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,1,8.653815990970323
Inclusion of Latest Research Results,1,5,7.132423808424701
Innovativeness of Viewpoints,1,7,9.42907279554745
Innovativeness of Viewpoints,1,8,3.5998579644585798
Innovativeness of Viewpoints,1,6,7.501710870013564
Innovativeness of Viewpoints,1,4,9.348362802309861
Innovativeness of Viewpoints,1,3,8.975302567286107
Innovativeness of Viewpoints,1,0,3.308856189715265
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,2,5.806563216987724
Innovativeness of Viewpoints,1,9,10.0
Innovativeness of Viewpoints,1,1,7.782670459089673
Innovativeness of Viewpoints,1,5,5.850243239818265
Integration of Interdisciplinary Perspectives,1,7,9.228870559361674
Integration of Interdisciplinary Perspectives,1,8,1.8807687984182069
Integration of Interdisciplinary Perspectives,1,6,6.426014911791963
Integration of Interdisciplinary Perspectives,1,4,9.236811020476141
Integration of Interdisciplinary Perspectives,1,3,8.756381120440354
Integration of Interdisciplinary Perspectives,1,0,1.6812686913204606
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,2,4.306540851208507
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,1,7.065718300755547
Integration of Interdisciplinary Perspectives,1,5,4.214754065794882
Logic of Argumentation,1,7,9.432925286063314
Logic of Argumentation,1,8,2.2464807391631334
Logic of Argumentation,1,6,6.928437591953414
Logic of Argumentation,1,4,9.401237761235409
Logic of Argumentation,1,3,8.991325991637543
Logic of Argumentation,1,0,2.246146211362626
Logic of Argumentation,1,10,0.0
