<?xml version="1.0" encoding="UTF-8"?>
<Questions>
   <Question number="1"> 
      <Quotes>
          [1] "The two basic mechanisms of CH activationcarbenium activation and alkyl activationare shown in Schemes 2 and 3,respectively."
          [2] "The carbenium activation involves CH bond po- larization in such a way that the carbon atom assumes a positive partial charge (δ+) and hydrogen assumes a negative partial charge (δ). Carbenium activation leads to the formation of alkoxide and metal hydride (MH) as an intermediate."
          [3] "In contrast, alkyl activation (Scheme 3) involves CH polarization in such a way that the carbon develops a negative (δ) charge and the hydrogen develops a positive (δ+) charge. Alkyl activation leads to the formation of a metal-alkyl (MCnH2n+1) and the Brnsted acid as intermediates."
          [4] "We investigated both mecha- nisms for all of the clusters discussed so far, and we discuss the results next."
          [5] "The first step involves the opening of the GaO coordination (A + C2H6 [B] D in Scheme 2) to form the activated intermediate D."
          [6] "The intermediate D further undergoes carbenium activation,as shown in Scheme 2 (D [E] F)."
          [7] "Carbenium activation is followed by the desorption of an alkene (ethene) from the alkoxide intermediate (F [I] J K + C2H4), leaving behind the Brnsted acid site."
          [8] "The intermediate D further undergoes alkyl activation as shown in Scheme 3 (D [E] F)."
          [9] "Alkyl activation is followed by desorption of an alkene (ethene) from the Gaalkyl intermediate (F [I] J K + C2H4), leaving behind the gallium dihydride species ([GaH2]+Z m)."
          [10] "The overall carbenium activation barrier (CEa) decreases rapidly with decreasing (more exothermic) heat of reduction (H 0 red)."
          [11] "A linear Polanyi relation [47] between the overall alkyl activa- tion barrier (AEa) and the heat of reduction (H 0 red) is seen."
          [12] "Although alkyl activation is much more facile than the carbenium activation, ethene removal from [HGaC2H5]+Z m intermediate faces a very high activation bar- rier of 60 kcal/mol."
          [13] "Thus, we conclude that this intermediate will be a spectator species while dominating the surface inter- mediates."
          [14] "This conclusion agrees well with recent experimental observations [26]."
          [15] "For the 4-membered ring cluster Z4a, the overall free energy of alkyl activation (AG0 a) is lower than the carbenium acti- vation: 47.6 and 42.7 kcal/mol (Table 3) for alkyl activation,compared with 61.1 and 58.4 kcal/mol (Table 2) for carbenium activation."
          [16] "Thus, alkene desorption is a rate-limiting step for the overall alkyl activation catalytic cycle irrespec- tive of the activity of the particular catalytic site."
          [17] "Recently, Pidko et al. [42] reported a novel one-step H2 and C2H4 de- sorption pathway from gallium alkyl intermediate."
          [18] "This path- way involves a cyclic transition state with an activation bar- rier of 53.5 kcal/mol."
          [19] "We also calculated an activation bar- rier of 54.6 kcal/mol using a single-framework substitution model of the active site as described previously [33]."
          [20] "Thus, this mechanism of decomposition should set a lower limit of about 55 kcal/mol for the apparent activation barrier."
          [21] "The free energies of carbenium activation (A + C2H6 E, CG0 a) for four differ- ent reaction paths are 85.4, 81.4, 92.3, and 81.7 kcal/mol."
          [22] "The free energies of carbenium activation (CG0 a) for the two mechanistic paths (A + C2H6 E in Scheme 2) are 96.4 and 99.2 kcal/mol."
          [23] "The free energies of carbenium activation (CG0 a) for the two pathways are 61.1 and 58.4 kcal/mol."
          [24] "The free energy activation barriers (66.4, 61.9, 66.6, and 54.7 kcal/mol) are lower than those for carbenium activation."
          [25] "The free energy barriers (AG0 a) of 69.6 and 73.8 kcal/mol, with ethene removal barriers of 60.5 and 54.7 kcal/mol."
          [26] "The free energy barriers (AG0 a) are 64.7, 67.9, 69.3, and 70.2 kcal/mol, with ethene removal barriers of ca. 62 kcal/mol."
          [27] "The free energy activation barriers to be 42.5 and 37.7 kcal/mol."
          [28] "The alkyl activation barriers (AG0 a) are 29.0 and 27.0 kcal/mol."
