Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,6,0.5999067591324407
Accuracy and Completeness of Citations,1,5,0.4324642972051839
Accuracy and Completeness of Citations,1,0,0.4776508150161289
Accuracy and Completeness of Citations,1,7,0.6772433002630892
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,0.2824017723376019
Accuracy and Completeness of Citations,1,8,0.2673188881541156
Accuracy and Completeness of Citations,1,1,0.3919609782724075
Accuracy and Completeness of Citations,1,3,0.4802919856234599
Accuracy and Completeness of Citations,1,2,0.667071828365277
Accuracy of Information,1,6,0.23040731476455412
Accuracy of Information,1,5,0.0
Accuracy of Information,1,0,0.11028933819369141
Accuracy of Information,1,7,0.3381967019799092
Accuracy of Information,1,9,10.0
Accuracy of Information,1,10,5.686252423834023
Accuracy of Information,1,4,0.27578893018515377
Accuracy of Information,1,8,0.26646376406003447
Accuracy of Information,1,1,0.16961411626961576
Accuracy of Information,1,3,0.4365857918281976
Accuracy of Information,1,2,0.5223387522260011
Appropriateness of Professional Terminology Use,1,6,0.032551282872782354
Appropriateness of Professional Terminology Use,1,5,0.0
Appropriateness of Professional Terminology Use,1,0,0.029014379553583047
Appropriateness of Professional Terminology Use,1,7,0.8225632459426954
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,10,8.498373310430692
Appropriateness of Professional Terminology Use,1,4,0.24339902174948863
Appropriateness of Professional Terminology Use,1,8,0.14702208804072472
Appropriateness of Professional Terminology Use,1,1,0.07454351671909427
Appropriateness of Professional Terminology Use,1,3,0.1373977557796461
Appropriateness of Professional Terminology Use,1,2,0.6285312699447652
Avoidance of Plagiarism and Appropriate Citation,1,6,0.5336851135050557
Avoidance of Plagiarism and Appropriate Citation,1,5,0.04210818366213386
Avoidance of Plagiarism and Appropriate Citation,1,0,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,0.3851238549108393
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.4155446964758572
Avoidance of Plagiarism and Appropriate Citation,1,4,0.2996351712199533
Avoidance of Plagiarism and Appropriate Citation,1,8,0.01386071372853808
Avoidance of Plagiarism and Appropriate Citation,1,1,0.18266590978087333
Avoidance of Plagiarism and Appropriate Citation,1,3,0.4586816541553576
Avoidance of Plagiarism and Appropriate Citation,1,2,0.7308647234997872
Clarity of Logical Structure,1,6,0.02281004936659624
Clarity of Logical Structure,1,5,0.017194692750546258
Clarity of Logical Structure,1,0,0.0
Clarity of Logical Structure,1,7,0.24748156550012093
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,10,7.358917578144022
Clarity of Logical Structure,1,4,0.10165340615165605
Clarity of Logical Structure,1,8,0.08313499935445143
Clarity of Logical Structure,1,1,0.22188423547127775
Clarity of Logical Structure,1,3,0.19615978890572214
Clarity of Logical Structure,1,2,0.4380384970043571
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,5,0.025142930911413217
