Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.3455185136126179,[0.25 0.46],94.54545454545455
Comprehensiveness of Information,0.773065881358953,[0.7  0.84],73.33333333333333
Accuracy of Information,0.3698316685900751,[0.27 0.49],89.6969696969697
Innovativeness of Viewpoints,0.5966437110685107,[0.5 0.7],75.15151515151514
Integration of Interdisciplinary Perspectives,0.705780396151827,[0.62 0.79],72.12121212121212
Clarity of Logical Structure,0.7043305750110004,[0.61 0.79],78.18181818181819
Reasonableness of Chapter Arrangement,0.6866348906531299,[0.59 0.78],75.15151515151514
Quality of Introduction and Conclusion,0.6498555646210501,[0.55 0.75],75.15151515151514
Accuracy and Completeness of Citations,0.4721976645563836,[0.37 0.59],89.0909090909091
Timeliness and Relevance of References,0.5653111028330433,[0.46 0.67],76.96969696969697
Avoidance of Plagiarism and Appropriate Citation,0.11988004903400971,[0.06 0.21],90.9090909090909
Critical Analysis of Existing Research,0.6953821736970033,[0.61 0.78],75.75757575757575
Proposal of New Research Directions or Questions,0.6351440790980966,[0.54 0.73],75.75757575757575
Potential Contribution to the Field,0.689165674819372,[0.6  0.78],75.75757575757575
Clarity of Research Method Description,0.7152742206023255,[0.63 0.8 ],75.15151515151514
Rationality of Method Selection,0.7492522115290848,[0.67 0.82],73.33333333333333
Rigor of Research Design,0.7221211951757811,[0.64 0.8 ],70.9090909090909
Inclusion of Latest Research Results,0.5733296224029959,[0.47 0.68],76.96969696969697
Reflection of Current Research Hotspots,0.6346873891087079,[0.54 0.73],76.96969696969697
Fluency of Language Expression,0.6112181773453759,[0.51 0.71],72.72727272727273
Appropriateness of Professional Terminology Use,0.6290115504668621,[0.53 0.73],72.12121212121212
Conciseness of Expression,0.6113299873825399,[0.51 0.71],75.15151515151514
Practical Application Potential of Research Results,0.702369561137477,[0.62 0.79],75.75757575757575
Feasibility of Proposed Suggestions,0.6844044464578013,[0.59 0.77],75.75757575757575
Logic of Argumentation,0.6759370822346231,[0.58 0.77],70.3030303030303
Multi-angle Analysis of Problems,0.7307308997200277,[0.65 0.81],75.75757575757575
Identification and Discussion of Research Limitations,0.7242102592495552,[0.64 0.8 ],75.75757575757575
