Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.4446770578613361,[0.34 0.56],54.347826086956516
Comprehensiveness of Information,0.8433579514773681,[0.78 0.9 ],75.9493670886076
Accuracy of Information,0.5038996613585329,[0.4  0.62],48.07692307692308
Innovativeness of Viewpoints,0.7463679723631022,[0.65 0.83],79.39393939393939
Integration of Interdisciplinary Perspectives,0.8240194897081481,[0.76 0.88],78.2051282051282
Clarity of Logical Structure,0.7714574035519315,[0.69 0.84],76.58227848101265
Reasonableness of Chapter Arrangement,0.7660794588376569,[0.69 0.84],77.57575757575758
Quality of Introduction and Conclusion,0.6781265743308393,[0.59 0.77],79.39393939393939
Accuracy and Completeness of Citations,0.6980347899147695,[0.61 0.78],61.66666666666667
Timeliness and Relevance of References,0.7740720075010212,[0.7  0.84],77.07006369426752
Avoidance of Plagiarism and Appropriate Citation,0.3238043345814593,[0.23 0.44],54.90196078431373
Critical Analysis of Existing Research,0.7569037726607872,[0.67 0.83],77.57575757575758
Proposal of New Research Directions or Questions,0.6707096714274926,[0.58 0.76],78.18181818181819
Potential Contribution to the Field,0.7477888642049819,[0.66 0.82],78.18181818181819
Clarity of Research Method Description,0.7482565883405268,[0.66 0.83],76.0
Rationality of Method Selection,0.7682811775187796,[0.69 0.84],77.57575757575758
Rigor of Research Design,0.7432959956452861,[0.66 0.82],77.57575757575758
Inclusion of Latest Research Results,0.7740999228163155,[0.7  0.84],77.57575757575758
Reflection of Current Research Hotspots,0.7767648516079722,[0.7  0.85],77.57575757575758
Fluency of Language Expression,0.6505436939171846,[0.56 0.75],76.58227848101265
Appropriateness of Professional Terminology Use,0.6671100111073363,[0.57 0.76],76.43312101910828
Conciseness of Expression,0.5619516133048886,[0.46 0.67],80.76923076923077
Practical Application Potential of Research Results,0.7372968046397593,[0.65 0.82],78.18181818181819
Feasibility of Proposed Suggestions,0.643614545408173,[0.55 0.74],75.75757575757575
Logic of Argumentation,0.7549112282747308,[0.67 0.83],77.57575757575758
Multi-angle Analysis of Problems,0.7774031337059184,[0.7  0.85],77.57575757575758
Identification and Discussion of Research Limitations,0.7483656240711364,[0.66 0.82],77.57575757575758
