<quotes>

[1] "Catalyst improvement endeavors can benefit from insights on alkane CH bond activation mechanisms."
[2] "Developing direct routes to obtain key organic chemicals from lower alkanes would benefit industry."
[3] "Lower alkanes are relatively inert, and they exhibit little or no reactivity at conditions typical for activating functional group reactions in organic compounds because they lack low-lying vacant orbitals or lone pair electrons."
[4] "Alkanes are made up non-polar CC and CH bonds. These bonds consist of strongly localised electron pairs that are usually induced to reactivity under severe conditions (e.g., at high temperature or pressure, or with the use of aggressive reagents)."
[5] "The first and rate-limiting step of alkane dehydrogenation using platinum or chromium oxide-based catalysts involves CH activation."
[6] "Although a number of efforts have been made to gain insight on the mechanism of the reaction, questions still remain, especially regarding the pathway of the CH activation."
[7] "It is of fundamental and applied interest to know whether the first CH bond cleavage is homolytic or heterolytic."
[8] "If it is a heterolytic pathway, it will further be of interest to know whether the first hydrogen from the alkane substrate is abstracted as a proton or as a hydride ion."
[9] "This knowledge will benefit catalyst improvement efforts."
[10] "The simple impregnation techniques for preparing supported (especially alumina) metal and oxide catalysts becloud their structural heterogeneity."
[11] "This structural heterogeneity makes the properties-performance correlation of the catalysts complicated."
[12] "Microporous zeolites are structurally defined framework materials that may constitute a good starting point for obtaining more precise information on the properties-performance correlation of dehydrogenation catalysts."
[13] "In the next section, we examine adsorption and non-oxidative dehydrogenation of propane on microporous zeolite-based catalysts."
[14] "Although several solid acid catalysts are used in alkane conversions, zeolites have the advantage of possessing a well-defined structure, allowing the structure-activity relationship to be easily deduced."
[15] "Therefore, it is instructive to examine non-oxidative dehydrogenation of light alkanes over zeolite catalysts."
[16] "A detailed knowledge of the adsorption mechanism of lower alkane molecules on zeolite is of interest in this context, especially for informed tuning of zeolite properties to allow efficient and selective dehydrogenation of alkanes."
[17] "Light alkanes are adsorbed on zeolites via dispersive interaction."
[18] "Protons and the exchanged metals ions are typically the active sites in zeolites, while the zeolite framework plays the role of anchor for the active sites and/or dispersion medium for the reactants."
[19] "The framework of microporous zeolites exerts dispersive forces on the reactant's molecules that depend on the shape, channel and cavity of the framework."
[20] "In addition, the nature and the density of the active sites influence the framework dispersion forces."
[21] "Recent reports have shown that the strong electrostatic field between protons or exchanged metal ions and basic oxygen species can enhance and/or induce polarization of bonds in hydrocarbon adsorbates."
[22] "This agrees with Hashiguchi et al., who found enhanced activation of the CH bond on a homogeneous catalyst."
[23] "Wender et al. showed that 3040% of heat adsorption in n-alkanes on Na-zeolite is due to polarization of the adsorbates."
[24] "Subbotina et al. also demonstrated that the CH bond of ethane is more strongly polarized on Mg2 + and Ca2 + forms of Y zeolite than on Na+ forms."
[25] "Mg2 +-Y zeolite molecules exhibit weaker adsorption and polarization of ethane than Ca2 +-zeolites."
[26] "Based on charge density considerations, Mg2 + cations are expected to exhibit a stronger polarizing effect than Ca2 + cations."
[27] "Subbotina et al. explain that because of the smaller ionic radius of Mg2 +, it is more strongly shielded by the surrounding oxygen atoms of the zeolite lattice than a Ca2 + ion, thereby reducing the polarizing effect of Mg2 + on the hydrocarbon adsorbate."
[28] "Sievers et al. also report that the La3 + form of X zeolite induces strong polarization of adsorbed alkane molecules; partial positive charges were induced on secondary and tertiary carbon atoms of alkane molecules."
[29] "The authors suggest that the polarization may be viewed as an intermediate condition to hydride abstraction (which is an important elementary step in CH activation)."
[30] "They add that CH bond polarization was enhanced by physisorbed water molecules that coordinate with La3 + cations."
[31] "The enhanced polarization of CH bonds by the presence of water molecules on La3 +X zeolite may have a beneficial effect in oxidative dehydrogenation where water is a by-product."
[32] "Alkane polarization studies on Na+, Mg2 +, Ca2 +, and La3 + exchanged X-zeolites indicate that the polarizing effect increases with increasing charge magnitude and ionic radius."
[33] "Note that these alkane polarizing cations occupy the same position on the zeolites as the well-known CH activation cations/metals, and thus the CH polarizing effect has a complementary effect on CH activation."
[34] "This may add to the number of relevant variables and increase the challenge of optimizing the ratio of activation/polarizing cations among exchangeable sites (Si/Al ratio), as well as the sequence for incorporating the cations or metals during catalyst preparation."
[35] "Further, it is important to note that the choice of cations should be such that they exhibit no catalytic (oligomerization, isomerization, aromatisation or oxidation) effects on the target alkene products at the reaction condition."
[36] "Furthermore, it may be beneficial to create a CH polarization effect on the zeolite framework."
[37] "This can be achieved by appropriate chance of framework atoms."
[38] "Since active sites are usually created on the zeolite frameworks."
[39] "The activation of CH bonds of light alkanes occurs readily on super electrophiles (super Brnsted and super Lewis acid) at low temperatures."
[40] "Although CH activation on zeolites have been observed at low temperatures, industrial alkane reactions on zeolites are usually carried out at high temperatures."
[41] "Several experimental and theoretical studies on the molecular dynamics of light alkanes on zeolite have been published."
[42] "However, despite the decades of intensive investigations on the subject, the actual mechanism of CH activation on acid zeolite is still debated."
[43] "Two CH activation paths are generally recognized: the unimolecular/protolytic mechanism and the bimolecular/carbenium chain mechanism."
[44] "The unimolecular mechanism involves direct protonation of an alkane-forming carbonium ion intermediate."
[45] "The proton can be inserted into either a CC or CH bond of the alkane."
[46] "Proton insertion through the CC bond leads to cracking of the alkane, with the acid site regenerated."
[47] "Insertion through the HC bond yields H2 and a carbenium ion/alkoxide intermediate."
[48] "Desorption of alkene from the intermediate regenerates the acid, or the alkoxide can enter the bimolecular conversion path."
[49] "In the bimolecular mechanism of CH activation, the alkoxide intermediate constitutes the active sites and CH activation occurs through hydride transfer from a second alkane molecule forming another alkoxide."
[50] "This may be followed by βscission to regenerate the active site and complete the catalytic cycle."
