Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,9.821541088408129
Accuracy and Completeness of Citations,1,3,9.869667750297891
Accuracy and Completeness of Citations,1,5,9.907490827074147
Accuracy and Completeness of Citations,1,2,9.869542716400225
Accuracy and Completeness of Citations,1,4,9.872662959425798
Accuracy and Completeness of Citations,1,6,9.86848275155966
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.812375072210088
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,8,9.850528983020924
Accuracy and Completeness of Citations,1,0,9.85313753587139
Accuracy of Information,1,1,8.433875411643848
Accuracy of Information,1,3,9.054406635348998
Accuracy of Information,1,5,9.309832924208214
Accuracy of Information,1,2,8.68295846029113
Accuracy of Information,1,4,8.72555989908387
Accuracy of Information,1,6,8.803393721716768
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,7.750455904616004
Accuracy of Information,1,9,10.0
Accuracy of Information,1,8,8.013915031018568
Accuracy of Information,1,0,8.494960633886164
Appropriateness of Professional Terminology Use,1,1,8.664040582262578
Appropriateness of Professional Terminology Use,1,3,9.901000716050355
Appropriateness of Professional Terminology Use,1,5,9.38431671881312
Appropriateness of Professional Terminology Use,1,2,5.162107841963783
Appropriateness of Professional Terminology Use,1,4,4.347132060160161
Appropriateness of Professional Terminology Use,1,6,7.588852671031656
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,1.8957603520112376
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,8,0.9799122535501567
Appropriateness of Professional Terminology Use,1,0,4.320935151244605
Avoidance of Plagiarism and Appropriate Citation,1,1,9.470688037997252
Avoidance of Plagiarism and Appropriate Citation,1,3,9.68864524001269
Avoidance of Plagiarism and Appropriate Citation,1,5,9.841988893252724
Avoidance of Plagiarism and Appropriate Citation,1,2,9.725603079375826
Avoidance of Plagiarism and Appropriate Citation,1,4,9.705224704338193
Avoidance of Plagiarism and Appropriate Citation,1,6,9.739270563063668
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
