Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,9.125103187279246
Accuracy and Completeness of Citations,1,8,9.113829232173504
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,5,8.837348710233657
Accuracy and Completeness of Citations,1,6,9.384331774321248
Accuracy and Completeness of Citations,1,2,9.459288801562913
Accuracy and Completeness of Citations,1,3,9.741834284722042
Accuracy and Completeness of Citations,1,1,8.485527206903159
Accuracy and Completeness of Citations,1,0,7.934402127937031
Accuracy and Completeness of Citations,1,4,9.523885175232738
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,7,8.269255577801314
Accuracy of Information,1,8,9.510803933285862
Accuracy of Information,1,9,10.0
Accuracy of Information,1,5,8.319094503827962
Accuracy of Information,1,6,9.015315491775524
Accuracy of Information,1,2,9.31799971896188
Accuracy of Information,1,3,9.882650149865428
Accuracy of Information,1,1,7.4730557573892895
Accuracy of Information,1,0,7.652534880218013
Accuracy of Information,1,4,9.494378217886629
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,2.971677427413977
Appropriateness of Professional Terminology Use,1,8,2.017481722155284
Appropriateness of Professional Terminology Use,1,9,9.994297027211344
Appropriateness of Professional Terminology Use,1,5,0.04423478831789163
Appropriateness of Professional Terminology Use,1,6,4.863592938733365
Appropriateness of Professional Terminology Use,1,2,7.594996077149591
Appropriateness of Professional Terminology Use,1,3,9.995795239245664
Appropriateness of Professional Terminology Use,1,1,0.42678044893183076
Appropriateness of Professional Terminology Use,1,0,0.4529644271680559
Appropriateness of Professional Terminology Use,1,4,10.0
Appropriateness of Professional Terminology Use,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.365995956882134
Avoidance of Plagiarism and Appropriate Citation,1,8,9.77848534281393
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,9.306631027620831
Avoidance of Plagiarism and Appropriate Citation,1,6,9.58131824356797
Avoidance of Plagiarism and Appropriate Citation,1,2,9.643868190233714
Avoidance of Plagiarism and Appropriate Citation,1,3,9.98215750468697
Avoidance of Plagiarism and Appropriate Citation,1,1,8.930070286864025
Avoidance of Plagiarism and Appropriate Citation,1,0,8.977131835935554
Avoidance of Plagiarism and Appropriate Citation,1,4,9.789926501102004
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Clarity of Logical Structure,1,7,2.6118660382285688
Clarity of Logical Structure,1,8,3.4261204237184244
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,5,0.36245911999127983
Clarity of Logical Structure,1,6,4.242703811045759
Clarity of Logical Structure,1,2,5.463355896653373
Clarity of Logical Structure,1,3,9.268864739788473
Clarity of Logical Structure,1,1,0.8505248807118659
Clarity of Logical Structure,1,0,0.9241100654199862
Clarity of Logical Structure,1,4,9.208374595358618
Clarity of Logical Structure,1,10,0.0
Clarity of Research Method Description,1,7,2.7802040467611757
Clarity of Research Method Description,1,8,3.04346964592659
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,5,0.36781085189757506
Clarity of Research Method Description,1,6,4.569221111165805
Clarity of Research Method Description,1,2,6.5802129389306705
Clarity of Research Method Description,1,3,9.497573298913592
Clarity of Research Method Description,1,1,1.0760364596558338
Clarity of Research Method Description,1,0,0.9868047173091379
Clarity of Research Method Description,1,4,9.435924176101066
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,7,2.807765559414617
Comprehensiveness of Information,1,8,2.7408111020437533
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,5,0.2740336550674735
Comprehensiveness of Information,1,6,4.470189217968752
Comprehensiveness of Information,1,2,6.757326007823799
Comprehensiveness of Information,1,3,9.246453117091646
Comprehensiveness of Information,1,1,0.4370102538320849
Comprehensiveness of Information,1,0,0.5834776944320978
Comprehensiveness of Information,1,4,9.189829560496214
Comprehensiveness of Information,1,10,0.0
Conciseness of Expression,1,7,2.298273919184598
Conciseness of Expression,1,8,2.541361866962824
Conciseness of Expression,1,9,9.887710760486668
Conciseness of Expression,1,5,0.0
Conciseness of Expression,1,6,3.100086987045048
Conciseness of Expression,1,2,7.226070291958904
Conciseness of Expression,1,3,9.928325764847708
Conciseness of Expression,1,1,0.43991071567657997
Conciseness of Expression,1,0,0.42645068545862946
Conciseness of Expression,1,4,10.0
Conciseness of Expression,1,10,0.025237201376773117
Critical Analysis of Existing Research,1,7,4.9682995943473465
Critical Analysis of Existing Research,1,8,7.453501838513037
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,5,1.281089728138125
Critical Analysis of Existing Research,1,6,9.090344610228586
Critical Analysis of Existing Research,1,2,9.037790392455404
Critical Analysis of Existing Research,1,3,9.952326859102293
Critical Analysis of Existing Research,1,1,2.8293008624166096
Critical Analysis of Existing Research,1,0,2.00959082377626
Critical Analysis of Existing Research,1,4,9.962717354001736
Critical Analysis of Existing Research,1,10,0.0
Feasibility of Proposed Suggestions,1,7,5.289497851459589
Feasibility of Proposed Suggestions,1,8,7.410119477308592
Feasibility of Proposed Suggestions,1,9,9.456962737924947
Feasibility of Proposed Suggestions,1,5,0.7974049537569448
Feasibility of Proposed Suggestions,1,6,8.113892476609365
Feasibility of Proposed Suggestions,1,2,9.66403805830009
Feasibility of Proposed Suggestions,1,3,9.97133073300134
Feasibility of Proposed Suggestions,1,1,2.3639499846598166
Feasibility of Proposed Suggestions,1,0,1.8578216428677208
Feasibility of Proposed Suggestions,1,4,10.0
Feasibility of Proposed Suggestions,1,10,0.0
Fluency of Language Expression,1,7,2.58530401901859
Fluency of Language Expression,1,8,2.0007141244712225
Fluency of Language Expression,1,9,9.986878912474824
Fluency of Language Expression,1,5,0.007104075585275225
Fluency of Language Expression,1,6,3.5832163110838464
Fluency of Language Expression,1,2,6.899399800266392
Fluency of Language Expression,1,3,9.980119302788891
Fluency of Language Expression,1,1,0.38949595725613984
Fluency of Language Expression,1,0,0.4324261913899574
Fluency of Language Expression,1,4,10.0
Fluency of Language Expression,1,10,0.0
Identification and Discussion of Research Limitations,1,7,3.265670353236144
Identification and Discussion of Research Limitations,1,8,4.658447982006227
Identification and Discussion of Research Limitations,1,9,9.989149194069768
Identification and Discussion of Research Limitations,1,5,0.1821218407831881
Identification and Discussion of Research Limitations,1,6,7.24780207081379
Identification and Discussion of Research Limitations,1,2,8.281561495841826
Identification and Discussion of Research Limitations,1,3,9.981733002748769
Identification and Discussion of Research Limitations,1,1,1.0589056373006864
Identification and Discussion of Research Limitations,1,0,0.6897989856195598
Identification and Discussion of Research Limitations,1,4,10.0
Identification and Discussion of Research Limitations,1,10,0.0
Inclusion of Latest Research Results,1,7,4.141419671610823
Inclusion of Latest Research Results,1,8,4.496630608271003
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,5,0.6409558424165842
Inclusion of Latest Research Results,1,6,6.008091929223593
Inclusion of Latest Research Results,1,2,7.825822464256288
