Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,3,0.21699210558178497
Accuracy and Completeness of Citations,1,2,1.8035490443712672
Accuracy and Completeness of Citations,1,5,0.35875341550182105
Accuracy and Completeness of Citations,1,4,0.31510764042600975
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,7,0.1303313356590509
Accuracy and Completeness of Citations,1,6,1.5043865497563553
Accuracy and Completeness of Citations,1,0,0.39530188423290474
Accuracy and Completeness of Citations,1,8,1.590902607410537
Accuracy and Completeness of Citations,1,1,0.9009085571004484
Accuracy of Information,1,3,0.022537169769447342
Accuracy of Information,1,2,4.189168311895444
Accuracy of Information,1,5,0.11291816924467969
Accuracy of Information,1,4,0.0
Accuracy of Information,1,10,9.658128089347672
Accuracy of Information,1,9,10.0
Accuracy of Information,1,7,0.04928959099468481
Accuracy of Information,1,6,1.4098992802394081
Accuracy of Information,1,0,0.2575746119339805
Accuracy of Information,1,8,7.9081191056254845
Accuracy of Information,1,1,0.5691347495146025
Appropriateness of Professional Terminology Use,1,3,0.03890014289378127
Appropriateness of Professional Terminology Use,1,2,4.030836109098562
Appropriateness of Professional Terminology Use,1,5,0.2014710354695242
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,10,9.71285793459821
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,7,0.04918794914015597
Appropriateness of Professional Terminology Use,1,6,2.375235504865521
Appropriateness of Professional Terminology Use,1,0,0.13391997647435222
Appropriateness of Professional Terminology Use,1,8,7.949857861113373
Appropriateness of Professional Terminology Use,1,1,0.8231130625015394
Avoidance of Plagiarism and Appropriate Citation,1,3,0.016292497892593853
Avoidance of Plagiarism and Appropriate Citation,1,2,5.787976893273045
Avoidance of Plagiarism and Appropriate Citation,1,5,0.5645927113030451
Avoidance of Plagiarism and Appropriate Citation,1,4,0.1169928866213639
Avoidance of Plagiarism and Appropriate Citation,1,10,0.14046525486104944
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,0.0
Avoidance of Plagiarism and Appropriate Citation,1,6,1.3796559875456857
Avoidance of Plagiarism and Appropriate Citation,1,0,0.7490874205839533
Avoidance of Plagiarism and Appropriate Citation,1,8,6.147366634450696
Avoidance of Plagiarism and Appropriate Citation,1,1,0.5989672466453003
Clarity of Logical Structure,1,3,0.019453030539803923
Clarity of Logical Structure,1,2,2.031788613551373
Clarity of Logical Structure,1,5,0.06758262654720022
Clarity of Logical Structure,1,4,0.0
Clarity of Logical Structure,1,10,9.201817176222074
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,7,0.019065953225649447
Clarity of Logical Structure,1,6,1.0242859576432746
Clarity of Logical Structure,1,0,0.06918073065006128
Clarity of Logical Structure,1,8,4.087440428849113
Clarity of Logical Structure,1,1,0.4225462066058033
Clarity of Research Method Description,1,3,0.0186143712842163
Clarity of Research Method Description,1,2,1.673766881865965
Clarity of Research Method Description,1,5,0.05547257641140348
Clarity of Research Method Description,1,4,0.0
Clarity of Research Method Description,1,10,8.22961050459494
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,7,0.027681981902906848
Clarity of Research Method Description,1,6,0.9889685785472921
Clarity of Research Method Description,1,0,0.07965960180640039
Clarity of Research Method Description,1,8,4.590650120922568
Clarity of Research Method Description,1,1,0.49505182137789594
Comprehensiveness of Information,1,3,0.012357374871972691
Comprehensiveness of Information,1,2,3.137482875095984
Comprehensiveness of Information,1,5,0.0208652997736036
Comprehensiveness of Information,1,4,0.1097236255282814
Comprehensiveness of Information,1,10,3.7481041850642214
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,7,0.0
Comprehensiveness of Information,1,6,0.5466791197597807
Comprehensiveness of Information,1,0,0.0439926812311798
Comprehensiveness of Information,1,8,8.605975267338154
Comprehensiveness of Information,1,1,0.9014663099579784
Conciseness of Expression,1,3,0.006714776789476015
Conciseness of Expression,1,2,5.045942437410037
Conciseness of Expression,1,5,0.07741276739998053
Conciseness of Expression,1,4,0.0
Conciseness of Expression,1,10,9.82547153012662
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,7,0.0117402876279628
Conciseness of Expression,1,6,2.322952095028187
Conciseness of Expression,1,0,0.08730605281552112
Conciseness of Expression,1,8,8.646678927268894
Conciseness of Expression,1,1,1.435735069341535
Critical Analysis of Existing Research,1,3,0.006054311596114845
Critical Analysis of Existing Research,1,2,5.287689067666678
Critical Analysis of Existing Research,1,5,0.004067126620936674
Critical Analysis of Existing Research,1,4,0.18305451111375123
Critical Analysis of Existing Research,1,10,4.949578139854083
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,7,0.0
Critical Analysis of Existing Research,1,6,0.6037142975203763
Critical Analysis of Existing Research,1,0,0.06443627392090216
Critical Analysis of Existing Research,1,8,9.203035306584358
Critical Analysis of Existing Research,1,1,1.1755139377743529
Feasibility of Proposed Suggestions,1,3,0.04110334863833749
Feasibility of Proposed Suggestions,1,2,4.488038010251197
Feasibility of Proposed Suggestions,1,5,0.03325439725119658
Feasibility of Proposed Suggestions,1,4,0.15270990744809365
Feasibility of Proposed Suggestions,1,10,3.5985386840284512
Feasibility of Proposed Suggestions,1,9,10.0
Feasibility of Proposed Suggestions,1,7,0.0
Feasibility of Proposed Suggestions,1,6,1.0112052649144718
Feasibility of Proposed Suggestions,1,0,0.2228598001994631
Feasibility of Proposed Suggestions,1,8,8.74673158866546
Feasibility of Proposed Suggestions,1,1,1.511064203641584
Fluency of Language Expression,1,3,0.08719953084634832
Fluency of Language Expression,1,2,3.966613919862872
Fluency of Language Expression,1,5,0.28261646423576214
Fluency of Language Expression,1,4,0.0
Fluency of Language Expression,1,10,9.856108311127105
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,7,0.11268765915621877
Fluency of Language Expression,1,6,2.8976988280483695
Fluency of Language Expression,1,0,0.3011610626385661
Fluency of Language Expression,1,8,6.821687499378024
Fluency of Language Expression,1,1,0.9783873846212067
Identification and Discussion of Research Limitations,1,3,0.024746889984341026
Identification and Discussion of Research Limitations,1,2,4.638738422892655
Identification and Discussion of Research Limitations,1,5,0.07224513153995381
Identification and Discussion of Research Limitations,1,4,0.15101040181653572
Identification and Discussion of Research Limitations,1,10,4.401479160457607
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,7,0.0
Identification and Discussion of Research Limitations,1,6,1.0282488068959736
Identification and Discussion of Research Limitations,1,0,0.1403010090832761
Identification and Discussion of Research Limitations,1,8,8.407958510155385
Identification and Discussion of Research Limitations,1,1,1.2396757249533352
Inclusion of Latest Research Results,1,3,0.0037102709852461506
Inclusion of Latest Research Results,1,2,4.568007950333737
Inclusion of Latest Research Results,1,5,0.05026136166094829
Inclusion of Latest Research Results,1,4,0.06345968587981353
Inclusion of Latest Research Results,1,10,0.13429298730162378
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,7,0.0
Inclusion of Latest Research Results,1,6,1.437827614049113
Inclusion of Latest Research Results,1,0,0.09726715381393783
Inclusion of Latest Research Results,1,8,7.595399646464144
Inclusion of Latest Research Results,1,1,0.8450828572701427
Innovativeness of Viewpoints,1,3,0.0
Innovativeness of Viewpoints,1,2,6.7686916830517
