Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,0.2091110403474804
Accuracy and Completeness of Citations,1,4,0.016800588244997805
Accuracy and Completeness of Citations,1,5,0.11213777319760146
Accuracy and Completeness of Citations,1,6,0.03851430800434336
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,7,0.13290729124367898
Accuracy and Completeness of Citations,1,10,2.879313993596592
Accuracy and Completeness of Citations,1,1,0.34785733103345157
Accuracy and Completeness of Citations,1,8,0.18445635779822148
Accuracy and Completeness of Citations,1,2,0.1568827215794632
Accuracy and Completeness of Citations,1,3,0.0
Accuracy of Information,1,0,0.05678540501716367
Accuracy of Information,1,4,0.0
Accuracy of Information,1,5,0.11220894722958956
Accuracy of Information,1,6,0.04558152210333148
Accuracy of Information,1,9,10.0
Accuracy of Information,1,7,0.010385062045594686
Accuracy of Information,1,10,7.875158739753646
Accuracy of Information,1,1,0.3765839887012132
Accuracy of Information,1,8,0.027223194516681388
Accuracy of Information,1,2,0.07998395754658104
Accuracy of Information,1,3,0.07098165690784966
Appropriateness of Professional Terminology Use,1,0,3.543140427877153
Appropriateness of Professional Terminology Use,1,4,0.014889148457878644
Appropriateness of Professional Terminology Use,1,5,1.6390806097133344
Appropriateness of Professional Terminology Use,1,6,0.013754641996051038
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,7,7.361239214449854
Appropriateness of Professional Terminology Use,1,10,9.958608834862794
Appropriateness of Professional Terminology Use,1,1,7.618111484870082
Appropriateness of Professional Terminology Use,1,8,5.776796010529328
Appropriateness of Professional Terminology Use,1,2,0.3426643348957055
Appropriateness of Professional Terminology Use,1,3,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,0.3784289387134283
Avoidance of Plagiarism and Appropriate Citation,1,4,0.030789221790224596
Avoidance of Plagiarism and Appropriate Citation,1,5,0.04768396900930967
Avoidance of Plagiarism and Appropriate Citation,1,6,0.014671704485575261
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,0.0
Avoidance of Plagiarism and Appropriate Citation,1,10,4.520083381854299
Avoidance of Plagiarism and Appropriate Citation,1,1,0.4596363601962879
Avoidance of Plagiarism and Appropriate Citation,1,8,0.15844985124368732
Avoidance of Plagiarism and Appropriate Citation,1,2,0.19160305988718293
Avoidance of Plagiarism and Appropriate Citation,1,3,0.015267774451818275
Clarity of Logical Structure,1,0,5.326126052357406
Clarity of Logical Structure,1,4,0.18981836057188803
Clarity of Logical Structure,1,5,1.0643267814338373
Clarity of Logical Structure,1,6,0.04490325863755358
Clarity of Logical Structure,1,9,9.779157089330516
Clarity of Logical Structure,1,7,2.147276427868524
Clarity of Logical Structure,1,10,10.0
Clarity of Logical Structure,1,1,3.239449161947927
Clarity of Logical Structure,1,8,2.199375878478486
Clarity of Logical Structure,1,2,0.9319023793434488
Clarity of Logical Structure,1,3,0.0
Clarity of Research Method Description,1,0,2.5237697242522117
Clarity of Research Method Description,1,4,0.04336775837836543
Clarity of Research Method Description,1,5,0.6602039466025862
Clarity of Research Method Description,1,6,0.005576268748901244
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,7,3.286925950565073
Clarity of Research Method Description,1,10,9.626691173319516
Clarity of Research Method Description,1,1,4.439894401911336
