Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,8.143953172171672
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,1,8.817214914058692
Accuracy and Completeness of Citations,1,7,8.852691438225834
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,8.740656846400023
Accuracy and Completeness of Citations,1,5,8.426851404492767
Accuracy and Completeness of Citations,1,8,9.238571921148665
Accuracy and Completeness of Citations,1,6,9.156019778236661
Accuracy and Completeness of Citations,1,2,8.28681926579623
Accuracy and Completeness of Citations,1,0,8.653709561120413
Accuracy of Information,1,4,2.771205266274615
Accuracy of Information,1,10,0.0
Accuracy of Information,1,1,5.61831207364043
Accuracy of Information,1,7,4.67824964745254
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,5.90842259519363
Accuracy of Information,1,5,3.024086969513209
Accuracy of Information,1,8,6.429827967882319
Accuracy of Information,1,6,5.65748231930597
Accuracy of Information,1,2,2.813176153353033
Accuracy of Information,1,0,4.662551386166243
Appropriateness of Professional Terminology Use,1,4,0.33582204621135164
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,1,6.417550827467907
Appropriateness of Professional Terminology Use,1,7,5.712844488235393
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,8.629301806929245
Appropriateness of Professional Terminology Use,1,5,0.22224145396099332
Appropriateness of Professional Terminology Use,1,8,5.82539123705195
Appropriateness of Professional Terminology Use,1,6,1.7591373450064984
Appropriateness of Professional Terminology Use,1,2,0.28597791102368414
Appropriateness of Professional Terminology Use,1,0,0.5453350107439129
Avoidance of Plagiarism and Appropriate Citation,1,4,8.686015742485202
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.320431207367074
Avoidance of Plagiarism and Appropriate Citation,1,7,9.18290871916412
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.229487383517451
Avoidance of Plagiarism and Appropriate Citation,1,5,8.950237044003385
Avoidance of Plagiarism and Appropriate Citation,1,8,9.65584943608532
Avoidance of Plagiarism and Appropriate Citation,1,6,9.522870039621203
Avoidance of Plagiarism and Appropriate Citation,1,2,8.691717671029899
Avoidance of Plagiarism and Appropriate Citation,1,0,9.242867447490102
Clarity of Logical Structure,1,4,0.9815656997551162
