Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,3,1.1673828463132427
Accuracy and Completeness of Citations,1,2,0.7127423508726083
Accuracy and Completeness of Citations,1,0,1.2086440856284335
Accuracy and Completeness of Citations,1,7,0.9867718558383354
Accuracy and Completeness of Citations,1,6,2.1369486044009256
Accuracy and Completeness of Citations,1,8,3.6955477088283106
Accuracy and Completeness of Citations,1,4,0.47158031256871114
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,2.1324333104329214
Accuracy and Completeness of Citations,1,1,0.9405201247984845
Accuracy and Completeness of Citations,1,9,10.0
Accuracy of Information,1,3,0.024168551084037884
Accuracy of Information,1,2,0.033233936167265624
Accuracy of Information,1,0,0.11860386246012586
Accuracy of Information,1,7,0.059837848595748554
Accuracy of Information,1,6,0.46361870509037595
Accuracy of Information,1,8,1.1825366308945502
Accuracy of Information,1,4,0.0
Accuracy of Information,1,10,1.1139362925121978
Accuracy of Information,1,5,0.3198472638070864
Accuracy of Information,1,1,0.02511841444383549
Accuracy of Information,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,0.1977796627809124
Appropriateness of Professional Terminology Use,1,2,0.2561889581843439
Appropriateness of Professional Terminology Use,1,0,0.5063721319901846
Appropriateness of Professional Terminology Use,1,7,0.014195156177144326
Appropriateness of Professional Terminology Use,1,6,2.4520133904496553
Appropriateness of Professional Terminology Use,1,8,9.583740066842878
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,10,9.04279296972844
Appropriateness of Professional Terminology Use,1,5,5.640178955037761
Appropriateness of Professional Terminology Use,1,1,0.07139936428243814
Appropriateness of Professional Terminology Use,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,0.4633627226848668
Avoidance of Plagiarism and Appropriate Citation,1,2,0.5728280200578107
Avoidance of Plagiarism and Appropriate Citation,1,0,0.8764003998387617
Avoidance of Plagiarism and Appropriate Citation,1,7,0.7477561276970746
Avoidance of Plagiarism and Appropriate Citation,1,6,1.8755604311626501
Avoidance of Plagiarism and Appropriate Citation,1,8,3.104589949467732
Avoidance of Plagiarism and Appropriate Citation,1,4,0.4327518292367305
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,1.4879997652669934
Avoidance of Plagiarism and Appropriate Citation,1,1,0.520350678270186
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Clarity of Logical Structure,1,3,0.12317759035987963
Clarity of Logical Structure,1,2,0.0688633864689078
Clarity of Logical Structure,1,0,0.22396731486469432
Clarity of Logical Structure,1,7,0.0
Clarity of Logical Structure,1,6,1.4461526974174794
Clarity of Logical Structure,1,8,6.651860886736188
Clarity of Logical Structure,1,4,0.014660314333970198
Clarity of Logical Structure,1,10,7.515444404702321
Clarity of Logical Structure,1,5,2.5844879739083595
Clarity of Logical Structure,1,1,0.015414767199294598
Clarity of Logical Structure,1,9,10.0
Clarity of Research Method Description,1,3,1.206883123611715
Clarity of Research Method Description,1,2,10.0
Clarity of Research Method Description,1,0,1.2860868562091214
Clarity of Research Method Description,1,7,8.4049074239231
Clarity of Research Method Description,1,6,0.4332258922253296
Clarity of Research Method Description,1,8,0.0
Clarity of Research Method Description,1,4,7.908942630837189
Clarity of Research Method Description,1,10,2.108875381211171
Clarity of Research Method Description,1,5,0.5008791638306564
Clarity of Research Method Description,1,1,1.6106712768905294
Clarity of Research Method Description,1,9,5.468583726277191
Comprehensiveness of Information,1,3,0.1926177012963411
Comprehensiveness of Information,1,2,0.036016439513374514
Comprehensiveness of Information,1,0,0.6780974606271738
Comprehensiveness of Information,1,7,0.0
Comprehensiveness of Information,1,6,2.0366750426244837
Comprehensiveness of Information,1,8,7.330477464939487
Comprehensiveness of Information,1,4,0.013914481483726343
Comprehensiveness of Information,1,10,5.723442958732282
Comprehensiveness of Information,1,5,1.7244262949400837
Comprehensiveness of Information,1,1,0.05595160770046223
Comprehensiveness of Information,1,9,10.0
Conciseness of Expression,1,3,0.18731038282911186
Conciseness of Expression,1,2,0.16770886417931627
Conciseness of Expression,1,0,0.326241750078819
Conciseness of Expression,1,7,0.012221115997086243
Conciseness of Expression,1,6,2.966181953220527
Conciseness of Expression,1,8,9.502825759196794
Conciseness of Expression,1,4,0.0
Conciseness of Expression,1,10,9.410623276603962
Conciseness of Expression,1,5,4.436823039706857
Conciseness of Expression,1,1,0.04788751943074539
Conciseness of Expression,1,9,10.0
Critical Analysis of Existing Research,1,3,0.3283609991518822
Critical Analysis of Existing Research,1,2,0.07248439292726022
Critical Analysis of Existing Research,1,0,0.27527000143078384
Critical Analysis of Existing Research,1,7,0.0
Critical Analysis of Existing Research,1,6,2.3807445289069644
Critical Analysis of Existing Research,1,8,8.470694485148483
Critical Analysis of Existing Research,1,4,0.03911902541887333
Critical Analysis of Existing Research,1,10,8.426972214561387
Critical Analysis of Existing Research,1,5,2.6699651775683555
Critical Analysis of Existing Research,1,1,0.030189409586766563
Critical Analysis of Existing Research,1,9,10.0
Feasibility of Proposed Suggestions,1,3,0.9787464201667171
Feasibility of Proposed Suggestions,1,2,0.7004516395841559
Feasibility of Proposed Suggestions,1,0,0.8778087310038855
Feasibility of Proposed Suggestions,1,7,0.0
Feasibility of Proposed Suggestions,1,6,4.499823491357513
Feasibility of Proposed Suggestions,1,8,9.125828125472752
Feasibility of Proposed Suggestions,1,4,0.09218676298942075
Feasibility of Proposed Suggestions,1,10,6.842745576493286
Feasibility of Proposed Suggestions,1,5,6.273385268791015
Feasibility of Proposed Suggestions,1,1,0.32229137700241045
Feasibility of Proposed Suggestions,1,9,10.0
Fluency of Language Expression,1,3,0.1402279942716689
Fluency of Language Expression,1,2,0.13356306047813965
Fluency of Language Expression,1,0,0.44454497648878194
Fluency of Language Expression,1,7,0.0
Fluency of Language Expression,1,6,2.6080347664241343
Fluency of Language Expression,1,8,9.490507156416081
Fluency of Language Expression,1,4,0.007296458517193289
Fluency of Language Expression,1,10,9.470838305874201
Fluency of Language Expression,1,5,5.212372957141765
Fluency of Language Expression,1,1,0.014363652572448888
Fluency of Language Expression,1,9,10.0
Identification and Discussion of Research Limitations,1,3,4.362931922431545
Identification and Discussion of Research Limitations,1,2,10.0
Identification and Discussion of Research Limitations,1,0,2.814152335411659
Identification and Discussion of Research Limitations,1,7,6.83480656323997
Identification and Discussion of Research Limitations,1,6,1.334248512123593
Identification and Discussion of Research Limitations,1,8,0.0
Identification and Discussion of Research Limitations,1,4,9.262838919953035
Identification and Discussion of Research Limitations,1,10,3.992598064613374
Identification and Discussion of Research Limitations,1,5,1.3432516200514808
Identification and Discussion of Research Limitations,1,1,0.2284284404237794
Identification and Discussion of Research Limitations,1,9,3.020207398398035
Inclusion of Latest Research Results,1,3,0.10322816830042156
Inclusion of Latest Research Results,1,2,0.06339971917376257
Inclusion of Latest Research Results,1,0,0.2968582315954423
Inclusion of Latest Research Results,1,7,0.0
Inclusion of Latest Research Results,1,6,1.4607001820674705
Inclusion of Latest Research Results,1,8,5.948871912108044
Inclusion of Latest Research Results,1,4,0.0011874177857389276
Inclusion of Latest Research Results,1,10,0.30798152842484605
Inclusion of Latest Research Results,1,5,1.6926331984424874
Inclusion of Latest Research Results,1,1,0.01298352730217293
Inclusion of Latest Research Results,1,9,10.0
Innovativeness of Viewpoints,1,3,0.6558618757594169
Innovativeness of Viewpoints,1,2,1.184679261568188
Innovativeness of Viewpoints,1,0,0.5994524893850163
Innovativeness of Viewpoints,1,7,0.0
Innovativeness of Viewpoints,1,6,4.844049655352015
Innovativeness of Viewpoints,1,8,9.696920185280236
Innovativeness of Viewpoints,1,4,0.5707365260391342
Innovativeness of Viewpoints,1,10,9.890570437929895
Innovativeness of Viewpoints,1,5,7.504498271152177
Innovativeness of Viewpoints,1,1,0.11902613931429559
Innovativeness of Viewpoints,1,9,10.0
Integration of Interdisciplinary Perspectives,1,3,0.3097232923925614
Integration of Interdisciplinary Perspectives,1,2,0.11111652890945209
Integration of Interdisciplinary Perspectives,1,0,0.921170588299786
Integration of Interdisciplinary Perspectives,1,7,0.0
Integration of Interdisciplinary Perspectives,1,6,2.241358580341395
Integration of Interdisciplinary Perspectives,1,8,7.726587975271545
Integration of Interdisciplinary Perspectives,1,4,0.09998488727966014
Integration of Interdisciplinary Perspectives,1,10,7.286736845627024
Integration of Interdisciplinary Perspectives,1,5,2.430267527262312
Integration of Interdisciplinary Perspectives,1,1,0.13757756092986717
Integration of Interdisciplinary Perspectives,1,9,10.0
Logic of Argumentation,1,3,0.14827751396291425
Logic of Argumentation,1,2,0.0609261506125333
Logic of Argumentation,1,0,0.322114000462504
Logic of Argumentation,1,7,0.0
Logic of Argumentation,1,6,1.9332864347267522
Logic of Argumentation,1,8,8.42775135230638
Logic of Argumentation,1,4,0.031237366893430027
Logic of Argumentation,1,10,8.163587382384316
Logic of Argumentation,1,5,3.10074575447364
Logic of Argumentation,1,1,0.010720971253763645
Logic of Argumentation,1,9,10.0
Multi-angle Analysis of Problems,1,3,0.16355282558443404
Multi-angle Analysis of Problems,1,2,0.06413001879956512
Multi-angle Analysis of Problems,1,0,0.360484945081801
Multi-angle Analysis of Problems,1,7,0.0
Multi-angle Analysis of Problems,1,6,1.7528689459286415
Multi-angle Analysis of Problems,1,8,8.24943509645987
Multi-angle Analysis of Problems,1,4,0.016876773318624333
Multi-angle Analysis of Problems,1,10,7.091826101386295
Multi-angle Analysis of Problems,1,5,2.2871256884414817
Multi-angle Analysis of Problems,1,1,0.05801511310432608
Multi-angle Analysis of Problems,1,9,10.0
Potential Contribution to the Field,1,3,0.30778019486747704
Potential Contribution to the Field,1,2,0.19410451250291472
Potential Contribution to the Field,1,0,0.2281647550186632
