Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,1,0.36578887503804236
Accuracy and Completeness of Citations,1,7,0.5957232277653539
Accuracy and Completeness of Citations,1,8,0.7440318204854107
Accuracy and Completeness of Citations,1,6,0.288580507663359
Accuracy and Completeness of Citations,1,0,0.4023588372364262
Accuracy and Completeness of Citations,1,3,0.452535680349966
Accuracy and Completeness of Citations,1,5,0.5726190535177356
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,2,0.4896057847096991
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,4,0.2769799131227587
Accuracy of Information,1,1,0.06799079766338054
Accuracy of Information,1,7,0.10303017329843064
Accuracy of Information,1,8,0.18441836093624064
Accuracy of Information,1,6,0.020523415360563384
Accuracy of Information,1,0,0.04995182235655001
Accuracy of Information,1,3,0.0981997508157658
Accuracy of Information,1,5,0.19451786515811098
Accuracy of Information,1,10,1.157006390484885
Accuracy of Information,1,2,0.08876082219974851
Accuracy of Information,1,9,10.0
Accuracy of Information,1,4,0.0
Appropriateness of Professional Terminology Use,1,1,0.02075963573134325
Appropriateness of Professional Terminology Use,1,7,0.2761858757704725
Appropriateness of Professional Terminology Use,1,8,1.9461923785239335
Appropriateness of Professional Terminology Use,1,6,0.0
Appropriateness of Professional Terminology Use,1,0,0.28861030523971104
Appropriateness of Professional Terminology Use,1,3,0.13471656510040744
Appropriateness of Professional Terminology Use,1,5,0.4895028291199732
Appropriateness of Professional Terminology Use,1,10,7.791829900297671
Appropriateness of Professional Terminology Use,1,2,0.3450553234187941
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,4,0.011323429795242831
Avoidance of Plagiarism and Appropriate Citation,1,1,0.6114193360977799
Avoidance of Plagiarism and Appropriate Citation,1,7,0.42349449428342023
Avoidance of Plagiarism and Appropriate Citation,1,8,0.8487137416936976
Avoidance of Plagiarism and Appropriate Citation,1,6,0.17821897224682975
Avoidance of Plagiarism and Appropriate Citation,1,0,0.768204322765761
Avoidance of Plagiarism and Appropriate Citation,1,3,0.6350234591546536
Avoidance of Plagiarism and Appropriate Citation,1,5,0.7889206056286425
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,0.36186076788446864
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,4,0.5204378027287296
Clarity of Logical Structure,1,1,0.011149811517064966
Clarity of Logical Structure,1,7,0.4407935235157691
Clarity of Logical Structure,1,8,0.9550523363356381
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,0,0.23152103789951622
Clarity of Logical Structure,1,3,0.2207695401240926
Clarity of Logical Structure,1,5,0.714911513635917
Clarity of Logical Structure,1,10,3.9148590272887
Clarity of Logical Structure,1,2,0.7269195963850527
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,4,0.00018580815451423992
Clarity of Research Method Description,1,1,0.04845741452663651
Clarity of Research Method Description,1,7,0.3057996965050788
Clarity of Research Method Description,1,8,1.4392069835408072
Clarity of Research Method Description,1,6,0.03848527032533474
Clarity of Research Method Description,1,0,0.18209490865982916
Clarity of Research Method Description,1,3,0.19818848751197296
Clarity of Research Method Description,1,5,0.3945259698415687
Clarity of Research Method Description,1,10,3.183644710353952
Clarity of Research Method Description,1,2,0.4021781061083332
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,4,0.0
Comprehensiveness of Information,1,1,0.05770003768902857
Comprehensiveness of Information,1,7,0.3801876309699382
Comprehensiveness of Information,1,8,0.757326538623328
Comprehensiveness of Information,1,6,0.0
Comprehensiveness of Information,1,0,0.4079646749682562
Comprehensiveness of Information,1,3,0.1406094483949926
Comprehensiveness of Information,1,5,0.4910076544316575
Comprehensiveness of Information,1,10,3.5583321262995113
Comprehensiveness of Information,1,2,0.5257836229847495
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,4,0.03256944724364795
Conciseness of Expression,1,1,0.027968037441505982
Conciseness of Expression,1,7,6.7604111777736895
Conciseness of Expression,1,8,9.609538710344571
Conciseness of Expression,1,6,0.014273001325153165
Conciseness of Expression,1,0,5.54543271268012
Conciseness of Expression,1,3,0.5912029439524025
Conciseness of Expression,1,5,8.488796377499188
Conciseness of Expression,1,10,10.0
Conciseness of Expression,1,2,6.025091805706213
Conciseness of Expression,1,9,9.579574853126498
Conciseness of Expression,1,4,0.0
Critical Analysis of Existing Research,1,1,0.01073025284593779
Critical Analysis of Existing Research,1,7,1.7048957076464766
Critical Analysis of Existing Research,1,8,4.064735699123279
Critical Analysis of Existing Research,1,6,0.0
Critical Analysis of Existing Research,1,0,1.9861072368466137
Critical Analysis of Existing Research,1,3,0.2006666690594992
Critical Analysis of Existing Research,1,5,2.1248127417382006
Critical Analysis of Existing Research,1,10,0.40830055095383794
