Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,0.6614561453782706
Accuracy and Completeness of Citations,1,0,2.719152089834529
Accuracy and Completeness of Citations,1,4,0.0
Accuracy and Completeness of Citations,1,2,3.540164043564245
Accuracy and Completeness of Citations,1,8,0.8320655821431979
Accuracy and Completeness of Citations,1,1,2.744038524249133
Accuracy and Completeness of Citations,1,6,0.4165135588054192
Accuracy and Completeness of Citations,1,3,0.5270662334565995
Accuracy and Completeness of Citations,1,7,0.0563888875789618
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,10,9.280383728150088
Accuracy of Information,1,5,2.978081147050694
Accuracy of Information,1,0,2.463670864425339
Accuracy of Information,1,4,0.2884960648889905
Accuracy of Information,1,2,1.4295302167079564
Accuracy of Information,1,8,2.8137144347205836
Accuracy of Information,1,1,4.340401267057513
Accuracy of Information,1,6,1.6922492094600154
Accuracy of Information,1,3,0.37106056287861566
Accuracy of Information,1,7,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,10,0.25295369364587356
Appropriateness of Professional Terminology Use,1,5,5.181697236814104
Appropriateness of Professional Terminology Use,1,0,9.385265466142076
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,2,0.8932792613808692
Appropriateness of Professional Terminology Use,1,8,6.70503015370439
Appropriateness of Professional Terminology Use,1,1,5.846555171975509
Appropriateness of Professional Terminology Use,1,6,0.8231200842874404
Appropriateness of Professional Terminology Use,1,3,4.7372472079281085
Appropriateness of Professional Terminology Use,1,7,0.12532062642245764
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,10,9.642419071964218
Avoidance of Plagiarism and Appropriate Citation,1,5,0.6080123588312014
Avoidance of Plagiarism and Appropriate Citation,1,0,0.8621234900119775
Avoidance of Plagiarism and Appropriate Citation,1,4,0.09140111620221107
Avoidance of Plagiarism and Appropriate Citation,1,2,0.3967792735827172
Avoidance of Plagiarism and Appropriate Citation,1,8,1.0862907584957884
Avoidance of Plagiarism and Appropriate Citation,1,1,1.3717393218608165
Avoidance of Plagiarism and Appropriate Citation,1,6,0.10236086439178754
Avoidance of Plagiarism and Appropriate Citation,1,3,0.044444009721661286
Avoidance of Plagiarism and Appropriate Citation,1,7,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,8.149965406934063
Clarity of Logical Structure,1,5,2.969297754187604
Clarity of Logical Structure,1,0,5.461153440857253
Clarity of Logical Structure,1,4,0.0
Clarity of Logical Structure,1,2,1.3275097912061402
Clarity of Logical Structure,1,8,4.314959425625203
Clarity of Logical Structure,1,1,3.071707474058116
Clarity of Logical Structure,1,6,0.46614713682321457
Clarity of Logical Structure,1,3,2.1255961638567946
Clarity of Logical Structure,1,7,0.06561612992418604
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,10,9.56294646805062
Clarity of Research Method Description,1,5,3.323221076309077
Clarity of Research Method Description,1,0,7.345901034545766
Clarity of Research Method Description,1,4,0.0
Clarity of Research Method Description,1,2,1.7275404464523274
Clarity of Research Method Description,1,8,5.066531543064786
