Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,9.975105151297317
Accuracy and Completeness of Citations,1,2,9.877348336829797
Accuracy and Completeness of Citations,1,9,7.363883515608379
Accuracy and Completeness of Citations,1,1,9.978986301856665
Accuracy and Completeness of Citations,1,8,9.866206320389084
Accuracy and Completeness of Citations,1,6,9.973969594030654
Accuracy and Completeness of Citations,1,4,9.988956439183108
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,3,10.0
Accuracy and Completeness of Citations,1,7,9.66712142020192
Accuracy and Completeness of Citations,1,0,9.98410760154995
Accuracy of Information,1,5,9.991732942294814
Accuracy of Information,1,2,9.991928252447021
Accuracy of Information,1,9,9.803833699398279
Accuracy of Information,1,1,9.979481449725565
Accuracy of Information,1,8,9.969691671692479
Accuracy of Information,1,6,9.949171718185903
Accuracy of Information,1,4,10.0
Accuracy of Information,1,10,0.0
Accuracy of Information,1,3,9.988597627075853
Accuracy of Information,1,7,9.991474883324392
Accuracy of Information,1,0,9.994297416307651
Appropriateness of Professional Terminology Use,1,5,9.984342775295394
Appropriateness of Professional Terminology Use,1,2,9.96149372645225
Appropriateness of Professional Terminology Use,1,9,5.064088809554724
Appropriateness of Professional Terminology Use,1,1,9.983792808386246
Appropriateness of Professional Terminology Use,1,8,9.944386971720997
Appropriateness of Professional Terminology Use,1,6,9.941064277042335
Appropriateness of Professional Terminology Use,1,4,9.978130332108991
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,3,10.0
Appropriateness of Professional Terminology Use,1,7,9.732413753227638
Appropriateness of Professional Terminology Use,1,0,9.962480488857505
Avoidance of Plagiarism and Appropriate Citation,1,5,9.941293066078169
Avoidance of Plagiarism and Appropriate Citation,1,2,9.961760344650667
Avoidance of Plagiarism and Appropriate Citation,1,9,3.9961884388558535
Avoidance of Plagiarism and Appropriate Citation,1,1,9.900730550140736
Avoidance of Plagiarism and Appropriate Citation,1,8,9.754602032755345
Avoidance of Plagiarism and Appropriate Citation,1,6,9.895151430281889
Avoidance of Plagiarism and Appropriate Citation,1,4,9.955285663862634
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,3,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.850684393776424
Avoidance of Plagiarism and Appropriate Citation,1,0,9.972247989631928
Clarity of Logical Structure,1,5,10.0
Clarity of Logical Structure,1,2,9.94450973828903
Clarity of Logical Structure,1,9,3.22775107179485
Clarity of Logical Structure,1,1,9.985424442042225
Clarity of Logical Structure,1,8,9.906751407670823
Clarity of Logical Structure,1,6,9.966876400494545
Clarity of Logical Structure,1,4,9.968336603595485
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,3,9.974015362436152
Clarity of Logical Structure,1,7,9.793303723512519
Clarity of Logical Structure,1,0,9.966593799131223
Clarity of Research Method Description,1,5,9.984100379114578
Clarity of Research Method Description,1,2,9.987490374884262
Clarity of Research Method Description,1,9,7.692415039681911
Clarity of Research Method Description,1,1,9.987182400742414
Clarity of Research Method Description,1,8,9.967060334612746
Clarity of Research Method Description,1,6,9.973595000949318
Clarity of Research Method Description,1,4,9.989547103834251
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,3,10.0
Clarity of Research Method Description,1,7,9.751242480165512
Clarity of Research Method Description,1,0,9.97896589545994
Comprehensiveness of Information,1,5,9.988579038622564
Comprehensiveness of Information,1,2,9.979898071853182
Comprehensiveness of Information,1,9,9.19670053540406
Comprehensiveness of Information,1,1,10.0
Comprehensiveness of Information,1,8,9.958702035636877
Comprehensiveness of Information,1,6,9.953475747075716
Comprehensiveness of Information,1,4,9.980621697922466
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,3,9.9845049497635
Comprehensiveness of Information,1,7,9.87291228867617
Comprehensiveness of Information,1,0,9.980414195605553
Conciseness of Expression,1,5,10.0
Conciseness of Expression,1,2,9.980699380153347
Conciseness of Expression,1,9,2.9898002825938197
Conciseness of Expression,1,1,9.99304267274932
Conciseness of Expression,1,8,9.96448585589108
Conciseness of Expression,1,6,9.913063154292715
Conciseness of Expression,1,4,9.974870673246118
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,3,9.99090564863171
Conciseness of Expression,1,7,9.888913998362687
Conciseness of Expression,1,0,9.976819165998986
Critical Analysis of Existing Research,1,5,10.0
Critical Analysis of Existing Research,1,2,9.972443164325782
Critical Analysis of Existing Research,1,9,7.351845877345949
Critical Analysis of Existing Research,1,1,9.998530156068705
Critical Analysis of Existing Research,1,8,9.938484770316595
Critical Analysis of Existing Research,1,6,9.900181346476884
Critical Analysis of Existing Research,1,4,9.979365481715847
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,3,9.973129478644884
Critical Analysis of Existing Research,1,7,9.705069184220418
Critical Analysis of Existing Research,1,0,9.970244501555023
Feasibility of Proposed Suggestions,1,5,10.0
Feasibility of Proposed Suggestions,1,2,9.989888616213026
Feasibility of Proposed Suggestions,1,9,4.355916925406045
Feasibility of Proposed Suggestions,1,1,9.9964904017075
Feasibility of Proposed Suggestions,1,8,9.96256590779951
Feasibility of Proposed Suggestions,1,6,9.904162783763873
Feasibility of Proposed Suggestions,1,4,9.976529772476713
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,3,9.989360695425606
Feasibility of Proposed Suggestions,1,7,9.80072580761276
Feasibility of Proposed Suggestions,1,0,9.975211588686589
Fluency of Language Expression,1,5,10.0
Fluency of Language Expression,1,2,9.959168456992694
Fluency of Language Expression,1,9,2.6991313128535674
Fluency of Language Expression,1,1,9.987393956408594
Fluency of Language Expression,1,8,9.962131825991158
Fluency of Language Expression,1,6,9.893067260307879
Fluency of Language Expression,1,4,9.968274202423107
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,3,9.987090435897343
Fluency of Language Expression,1,7,9.86181933547032
Fluency of Language Expression,1,0,9.971029917079935
Identification and Discussion of Research Limitations,1,5,10.0
Identification and Discussion of Research Limitations,1,2,9.987651267707891
Identification and Discussion of Research Limitations,1,9,6.097110928265703
Identification and Discussion of Research Limitations,1,1,9.984241333745107
Identification and Discussion of Research Limitations,1,8,9.94460921280145
Identification and Discussion of Research Limitations,1,6,9.905391440832343
Identification and Discussion of Research Limitations,1,4,9.972218064701785
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,3,9.981668843186004
Identification and Discussion of Research Limitations,1,7,9.730022094086088
Identification and Discussion of Research Limitations,1,0,9.972166169095168
Inclusion of Latest Research Results,1,5,10.0
Inclusion of Latest Research Results,1,2,9.989235146881628
Inclusion of Latest Research Results,1,9,7.001471313607556
Inclusion of Latest Research Results,1,1,9.998079716153796
Inclusion of Latest Research Results,1,8,9.951706788679903
Inclusion of Latest Research Results,1,6,9.907214528238498
Inclusion of Latest Research Results,1,4,9.975937191390853
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,3,9.984843894771588
Inclusion of Latest Research Results,1,7,9.706346989607697
Inclusion of Latest Research Results,1,0,9.977182789912225
Innovativeness of Viewpoints,1,5,9.998201374611778
Innovativeness of Viewpoints,1,2,9.966185544361933
Innovativeness of Viewpoints,1,9,7.092515786396977
Innovativeness of Viewpoints,1,1,10.0
Innovativeness of Viewpoints,1,8,9.911573163160721
Innovativeness of Viewpoints,1,6,9.937770724689083
Innovativeness of Viewpoints,1,4,9.988864437247052
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,3,9.961199607266181
Innovativeness of Viewpoints,1,7,9.678123546915373
Innovativeness of Viewpoints,1,0,9.975751350051477
Integration of Interdisciplinary Perspectives,1,5,9.984887847835052
Integration of Interdisciplinary Perspectives,1,2,9.960961972958966
Integration of Interdisciplinary Perspectives,1,9,8.286611145276334
Integration of Interdisciplinary Perspectives,1,1,10.0
Integration of Interdisciplinary Perspectives,1,8,9.958209967113937
Integration of Interdisciplinary Perspectives,1,6,9.942647640741978
Integration of Interdisciplinary Perspectives,1,4,9.981936897717219
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,3,9.995411006259813
Integration of Interdisciplinary Perspectives,1,7,9.67882924696835
Integration of Interdisciplinary Perspectives,1,0,9.976688170888536
Logic of Argumentation,1,5,10.0
Logic of Argumentation,1,2,9.98349138298789
Logic of Argumentation,1,9,6.679927782185672
Logic of Argumentation,1,1,9.986367976688452
Logic of Argumentation,1,8,9.959037874930011
Logic of Argumentation,1,6,9.938332773633356
Logic of Argumentation,1,4,9.977458737492809
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,3,9.98724680232553
Logic of Argumentation,1,7,9.835766873060187
Logic of Argumentation,1,0,9.977995430178515
Multi-angle Analysis of Problems,1,5,10.0
Multi-angle Analysis of Problems,1,2,9.979085356846703
Multi-angle Analysis of Problems,1,9,7.039146544679738
Multi-angle Analysis of Problems,1,1,9.9691397023117
Multi-angle Analysis of Problems,1,8,9.939940628444381
Multi-angle Analysis of Problems,1,6,9.9128028662197
Multi-angle Analysis of Problems,1,4,9.96735652830892
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,3,9.976571694880633
Multi-angle Analysis of Problems,1,7,9.719716059310489
Multi-angle Analysis of Problems,1,0,9.97192686658036
Potential Contribution to the Field,1,5,10.0
Potential Contribution to the Field,1,2,9.977037790846188
Potential Contribution to the Field,1,9,6.789382336182419
Potential Contribution to the Field,1,1,9.997411220629456
Potential Contribution to the Field,1,8,9.953539348557134
Potential Contribution to the Field,1,6,9.876098896279208
Potential Contribution to the Field,1,4,9.973905611520541
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,3,9.977299439877484
Potential Contribution to the Field,1,7,9.725015732799362
Potential Contribution to the Field,1,0,9.97127907553525
Practical Application Potential of Research Results,1,5,10.0
Practical Application Potential of Research Results,1,2,9.984422914311565
Practical Application Potential of Research Results,1,9,6.0844004500225015
Practical Application Potential of Research Results,1,1,9.997700148701142
Practical Application Potential of Research Results,1,8,9.947620114879014
Practical Application Potential of Research Results,1,6,9.883448655154194
Practical Application Potential of Research Results,1,4,9.971176612678859
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,3,9.983143947963779
Practical Application Potential of Research Results,1,7,9.780022423533978
Practical Application Potential of Research Results,1,0,9.96945833912237
Proposal of New Research Directions or Questions,1,5,10.0
Proposal of New Research Directions or Questions,1,2,9.974640936759986
Proposal of New Research Directions or Questions,1,9,3.468266480058975
Proposal of New Research Directions or Questions,1,1,9.994322686420837
Proposal of New Research Directions or Questions,1,8,9.952252975920922
Proposal of New Research Directions or Questions,1,6,9.957046219796142
Proposal of New Research Directions or Questions,1,4,9.982764881468992
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,3,9.980593713269514
Proposal of New Research Directions or Questions,1,7,9.827724624921675
Proposal of New Research Directions or Questions,1,0,9.96956211528063
Quality of Introduction and Conclusion,1,5,10.0
Quality of Introduction and Conclusion,1,2,9.97867144216776
Quality of Introduction and Conclusion,1,9,3.5904577699162847
Quality of Introduction and Conclusion,1,1,9.983084858324855
Quality of Introduction and Conclusion,1,8,9.985087646177199
Quality of Introduction and Conclusion,1,6,9.93580475957379
Quality of Introduction and Conclusion,1,4,9.973257404741735
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,3,9.98845022742958
Quality of Introduction and Conclusion,1,7,9.919357813848482
Quality of Introduction and Conclusion,1,0,9.979178962640484
Rationality of Method Selection,1,5,10.0
Rationality of Method Selection,1,2,9.990282653786934
Rationality of Method Selection,1,9,7.847736064919055
Rationality of Method Selection,1,1,9.987132680212689
Rationality of Method Selection,1,8,9.958538963308186
Rationality of Method Selection,1,6,9.963942854748234
Rationality of Method Selection,1,4,9.987372744280695
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,3,9.991961777807502
Rationality of Method Selection,1,7,9.72549567615792
Rationality of Method Selection,1,0,9.98321969100496
Reasonableness of Chapter Arrangement,1,5,10.0
Reasonableness of Chapter Arrangement,1,2,9.992121933553623
Reasonableness of Chapter Arrangement,1,9,5.721294356283138
Reasonableness of Chapter Arrangement,1,1,9.993877218923062
Reasonableness of Chapter Arrangement,1,8,9.977852921854936
Reasonableness of Chapter Arrangement,1,6,9.94696867724403
