Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,8,9.989092932674478
Accuracy and Completeness of Citations,1,2,9.951792125599043
Accuracy and Completeness of Citations,1,3,9.951439762638529
Accuracy and Completeness of Citations,1,0,9.81276913593458
Accuracy and Completeness of Citations,1,9,3.2735811082430013
Accuracy and Completeness of Citations,1,7,9.945433107920127
Accuracy and Completeness of Citations,1,6,9.970478273509404
Accuracy and Completeness of Citations,1,5,9.932584244395414
Accuracy and Completeness of Citations,1,4,10.0
Accuracy and Completeness of Citations,1,1,9.995038915178917
Accuracy of Information,1,10,0.0
Accuracy of Information,1,8,9.912877620613362
Accuracy of Information,1,2,9.859324281456315
Accuracy of Information,1,3,9.9615537285752
Accuracy of Information,1,0,9.568611665112515
Accuracy of Information,1,9,0.16069953180114555
Accuracy of Information,1,7,9.840964753854616
Accuracy of Information,1,6,9.985070862606179
Accuracy of Information,1,5,9.971424361288395
Accuracy of Information,1,4,10.0
Accuracy of Information,1,1,9.975129158757817
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,8,1.2939154895244265
Appropriateness of Professional Terminology Use,1,2,9.565730697937758
Appropriateness of Professional Terminology Use,1,3,0.8419947188102287
Appropriateness of Professional Terminology Use,1,0,4.822711485957044
Appropriateness of Professional Terminology Use,1,9,0.03822522760755935
Appropriateness of Professional Terminology Use,1,7,0.8637747690155407
Appropriateness of Professional Terminology Use,1,6,0.0052347733242365845
Appropriateness of Professional Terminology Use,1,5,4.989294794727496
Appropriateness of Professional Terminology Use,1,4,9.931552495507157
Appropriateness of Professional Terminology Use,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.022212442693226708
Avoidance of Plagiarism and Appropriate Citation,1,8,9.975811085178353
Avoidance of Plagiarism and Appropriate Citation,1,2,9.888505218983532
Avoidance of Plagiarism and Appropriate Citation,1,3,9.91946626235206
Avoidance of Plagiarism and Appropriate Citation,1,0,9.439183104514182
Avoidance of Plagiarism and Appropriate Citation,1,9,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.871643118446922
Avoidance of Plagiarism and Appropriate Citation,1,6,9.987410936296495
Avoidance of Plagiarism and Appropriate Citation,1,5,9.872682431142177
Avoidance of Plagiarism and Appropriate Citation,1,4,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.998258790924117
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,8,6.0218200578472265
Clarity of Logical Structure,1,2,9.425921368483104
Clarity of Logical Structure,1,3,3.3743971777856983
Clarity of Logical Structure,1,0,7.406156426476164
Clarity of Logical Structure,1,9,2.702809031868653
Clarity of Logical Structure,1,7,4.018642664657341
Clarity of Logical Structure,1,6,0.7164119603139067
Clarity of Logical Structure,1,5,7.910358099242595
Clarity of Logical Structure,1,4,9.924040394289657
Clarity of Logical Structure,1,1,10.0
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,8,6.679572185732601
Clarity of Research Method Description,1,2,9.823974442584099
Clarity of Research Method Description,1,3,5.101617596402074
Clarity of Research Method Description,1,0,7.5675952529870605
Clarity of Research Method Description,1,9,1.569183264838689
Clarity of Research Method Description,1,7,4.8935784045001
Clarity of Research Method Description,1,6,1.886553955014219
Clarity of Research Method Description,1,5,8.314632595220434
Clarity of Research Method Description,1,4,9.928624446673881
Clarity of Research Method Description,1,1,10.0
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,8,5.245716683271439
Comprehensiveness of Information,1,2,9.825980879968503
Comprehensiveness of Information,1,3,4.833873986463533
Comprehensiveness of Information,1,0,5.401611862590401
Comprehensiveness of Information,1,9,0.5776614116922355
Comprehensiveness of Information,1,7,3.4099349687779887
Comprehensiveness of Information,1,6,1.0384949324186918
Comprehensiveness of Information,1,5,7.389561770536399
Comprehensiveness of Information,1,4,9.91744159895964
