Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,6.6679751784759125
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,6,3.35665661703571
Accuracy and Completeness of Citations,1,0,6.849754975328128
Accuracy and Completeness of Citations,1,1,5.46555239094445
Accuracy and Completeness of Citations,1,2,1.5110948440069871
Accuracy and Completeness of Citations,1,7,2.614229350014236
Accuracy and Completeness of Citations,1,8,5.812044227755161
Accuracy and Completeness of Citations,1,4,3.258598723403264
Accuracy and Completeness of Citations,1,3,5.444058033349025
Accuracy and Completeness of Citations,1,9,10.0
Accuracy of Information,1,5,3.7118750471313358
Accuracy of Information,1,10,0.0
Accuracy of Information,1,6,2.6814968598806606
Accuracy of Information,1,0,6.583980793727476
Accuracy of Information,1,1,4.57363344781033
Accuracy of Information,1,2,2.3297042525828355
Accuracy of Information,1,7,2.8553626021367298
Accuracy of Information,1,8,6.32475227156605
Accuracy of Information,1,4,4.287555346993519
Accuracy of Information,1,3,7.426351937593
Accuracy of Information,1,9,10.0
Appropriateness of Professional Terminology Use,1,5,9.470985349529824
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,6,1.9737020492105377
Appropriateness of Professional Terminology Use,1,0,7.784154867256115
Appropriateness of Professional Terminology Use,1,1,8.198418807302449
Appropriateness of Professional Terminology Use,1,2,1.6017147867097126
Appropriateness of Professional Terminology Use,1,7,2.460276798036424
Appropriateness of Professional Terminology Use,1,8,9.491555358646554
Appropriateness of Professional Terminology Use,1,4,7.475063035885861
Appropriateness of Professional Terminology Use,1,3,5.794821894234839
Appropriateness of Professional Terminology Use,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,6.438702304186658
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,6,0.9767080853832892
Avoidance of Plagiarism and Appropriate Citation,1,0,6.8202285190154415
Avoidance of Plagiarism and Appropriate Citation,1,1,7.084083340791759
Avoidance of Plagiarism and Appropriate Citation,1,2,0.35064134290827925
Avoidance of Plagiarism and Appropriate Citation,1,7,2.349617030182798
Avoidance of Plagiarism and Appropriate Citation,1,8,8.119622749249926
Avoidance of Plagiarism and Appropriate Citation,1,4,6.313137670086216
Avoidance of Plagiarism and Appropriate Citation,1,3,6.999039370616974
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Clarity of Logical Structure,1,5,5.073074089423955
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,6,1.6311119044080873
Clarity of Logical Structure,1,0,4.8531432866515205
Clarity of Logical Structure,1,1,5.058664928155546
Clarity of Logical Structure,1,2,0.9151823472446512
Clarity of Logical Structure,1,7,2.9630895434404065
Clarity of Logical Structure,1,8,6.4153573981135
Clarity of Logical Structure,1,4,5.036252160611794
Clarity of Logical Structure,1,3,4.966525546972954
Clarity of Logical Structure,1,9,10.0
Clarity of Research Method Description,1,5,7.593269708428784
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,6,0.936452110420003
Clarity of Research Method Description,1,0,8.331730256400586
Clarity of Research Method Description,1,1,7.04169139380578
Clarity of Research Method Description,1,2,1.8048174690979208
Clarity of Research Method Description,1,7,3.2274948456162598
Clarity of Research Method Description,1,8,8.042846989309
Clarity of Research Method Description,1,4,5.863539994090788
Clarity of Research Method Description,1,3,5.587853581046686
Clarity of Research Method Description,1,9,10.0
Comprehensiveness of Information,1,5,5.670161069511128
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,6,1.9181514147820495
Comprehensiveness of Information,1,0,9.757343449001686
Comprehensiveness of Information,1,1,9.47770524815076
Comprehensiveness of Information,1,2,1.6202322482234923
Comprehensiveness of Information,1,7,2.5978326054739984
Comprehensiveness of Information,1,8,8.678549808751612
Comprehensiveness of Information,1,4,7.592224773492093
Comprehensiveness of Information,1,3,9.128724681486485
Comprehensiveness of Information,1,9,10.0
Conciseness of Expression,1,5,9.407636084044723
Conciseness of Expression,1,10,0.0
Conciseness of Expression,1,6,1.5832417569290385
Conciseness of Expression,1,0,8.794508790633488
Conciseness of Expression,1,1,9.058965924225761
Conciseness of Expression,1,2,1.8088226541154244
Conciseness of Expression,1,7,2.8754706326245834
Conciseness of Expression,1,8,9.382367319600515
Conciseness of Expression,1,4,7.606673415974087
Conciseness of Expression,1,3,6.773397447197944
Conciseness of Expression,1,9,10.0
Critical Analysis of Existing Research,1,5,8.661177121810734
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,6,4.470022098945492
Critical Analysis of Existing Research,1,0,8.952385021422169
Critical Analysis of Existing Research,1,1,8.841956267939427
Critical Analysis of Existing Research,1,2,6.554940474255821
Critical Analysis of Existing Research,1,7,6.332072390767315
Critical Analysis of Existing Research,1,8,9.141020822982535
Critical Analysis of Existing Research,1,4,8.050113475087972
Critical Analysis of Existing Research,1,3,8.664542739124117
Critical Analysis of Existing Research,1,9,10.0
Feasibility of Proposed Suggestions,1,5,9.80891896578719
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,6,2.5990288111478623
Feasibility of Proposed Suggestions,1,0,9.600110498445682
Feasibility of Proposed Suggestions,1,1,9.454033764462444
Feasibility of Proposed Suggestions,1,2,5.4619023029230105
Feasibility of Proposed Suggestions,1,7,6.882517760846077
Feasibility of Proposed Suggestions,1,8,9.769002838296826
Feasibility of Proposed Suggestions,1,4,9.177619825456615
Feasibility of Proposed Suggestions,1,3,8.72342445525452
Feasibility of Proposed Suggestions,1,9,10.0
Fluency of Language Expression,1,5,8.898499173109775
Fluency of Language Expression,1,10,0.0
Fluency of Language Expression,1,6,1.7462521518839649
Fluency of Language Expression,1,0,7.8781117317249825
Fluency of Language Expression,1,1,7.068599866597144
Fluency of Language Expression,1,2,1.3019300353826895
Fluency of Language Expression,1,7,1.559835135922902
Fluency of Language Expression,1,8,9.18197159874767
Fluency of Language Expression,1,4,6.424836109373889
Fluency of Language Expression,1,3,6.238558962133275
Fluency of Language Expression,1,9,10.0
Identification and Discussion of Research Limitations,1,5,9.690434024995174
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,6,2.747340037039304
Identification and Discussion of Research Limitations,1,0,9.513830218432727
Identification and Discussion of Research Limitations,1,1,8.577845478050616
Identification and Discussion of Research Limitations,1,2,4.547568299634028
Identification and Discussion of Research Limitations,1,7,5.390595304955226
Identification and Discussion of Research Limitations,1,8,9.838488346674175
Identification and Discussion of Research Limitations,1,4,9.093125135574818
Identification and Discussion of Research Limitations,1,3,8.141017833180301
Identification and Discussion of Research Limitations,1,9,10.0
Inclusion of Latest Research Results,1,5,7.248419160690929
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,6,0.891429099163268
Inclusion of Latest Research Results,1,0,6.98705599030555
Inclusion of Latest Research Results,1,1,5.479511804912814
Inclusion of Latest Research Results,1,2,1.1326087178643478
Inclusion of Latest Research Results,1,7,3.5017937311443386
Inclusion of Latest Research Results,1,8,7.234545417399712
Inclusion of Latest Research Results,1,4,5.279127363458806
Inclusion of Latest Research Results,1,3,5.896008349856525
Inclusion of Latest Research Results,1,9,10.0
Innovativeness of Viewpoints,1,5,7.311667471362998
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,6,3.3770099255282084
Innovativeness of Viewpoints,1,0,9.468639206914453
Innovativeness of Viewpoints,1,1,9.16978062854693
Innovativeness of Viewpoints,1,2,5.462635582703619
Innovativeness of Viewpoints,1,7,5.61505928890073
Innovativeness of Viewpoints,1,8,8.537723486467621
Innovativeness of Viewpoints,1,4,8.533197914257425
Innovativeness of Viewpoints,1,3,8.874018193401914
Innovativeness of Viewpoints,1,9,10.0
Integration of Interdisciplinary Perspectives,1,5,6.4738690905974
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,6,1.8232521060228992
Integration of Interdisciplinary Perspectives,1,0,9.709585028681591
Integration of Interdisciplinary Perspectives,1,1,9.114412276002938
Integration of Interdisciplinary Perspectives,1,2,2.6778409768868388
Integration of Interdisciplinary Perspectives,1,7,3.7552615306904755
Integration of Interdisciplinary Perspectives,1,8,8.177582675555398
Integration of Interdisciplinary Perspectives,1,4,6.747400991940443
Integration of Interdisciplinary Perspectives,1,3,7.061713334109903
Integration of Interdisciplinary Perspectives,1,9,10.0
Logic of Argumentation,1,5,9.557765507403275
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,6,3.190942247896765
Logic of Argumentation,1,0,9.192707021009477
Logic of Argumentation,1,1,8.643662510419247
Logic of Argumentation,1,2,5.1569111676935195
Logic of Argumentation,1,7,5.496129504268067
Logic of Argumentation,1,8,9.616961627280201
Logic of Argumentation,1,4,8.246177274670911
Logic of Argumentation,1,3,7.576632850595309
Logic of Argumentation,1,9,10.0
Multi-angle Analysis of Problems,1,5,9.38874623723752
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,6,2.4536988124225285
Multi-angle Analysis of Problems,1,0,9.247930633895027
Multi-angle Analysis of Problems,1,1,8.804277543301975
Multi-angle Analysis of Problems,1,2,4.041536536754241
Multi-angle Analysis of Problems,1,7,5.6982850416884885
Multi-angle Analysis of Problems,1,8,9.55536208879406
Multi-angle Analysis of Problems,1,4,7.834771521594579
Multi-angle Analysis of Problems,1,3,7.8976539761942925
Multi-angle Analysis of Problems,1,9,10.0
Potential Contribution to the Field,1,5,8.973016043946227
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,6,3.232029830819138
Potential Contribution to the Field,1,0,9.444392406439064
Potential Contribution to the Field,1,1,9.017671723504847
Potential Contribution to the Field,1,2,5.422871474185837
Potential Contribution to the Field,1,7,7.116940911781872
Potential Contribution to the Field,1,8,9.679499041575221
Potential Contribution to the Field,1,4,8.480266421160412
Potential Contribution to the Field,1,3,8.517862629031107
Potential Contribution to the Field,1,9,10.0
Practical Application Potential of Research Results,1,5,8.671980999304848
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,6,1.4182772228010014
Practical Application Potential of Research Results,1,0,8.532338776847938
Practical Application Potential of Research Results,1,1,8.219730263791472
Practical Application Potential of Research Results,1,2,3.941857001020848
Practical Application Potential of Research Results,1,7,4.748820781358227
Practical Application Potential of Research Results,1,8,9.362878624406404
Practical Application Potential of Research Results,1,4,7.729531663772572
Practical Application Potential of Research Results,1,3,7.1454304216655675
Practical Application Potential of Research Results,1,9,10.0
Proposal of New Research Directions or Questions,1,5,8.865031396728607
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,6,5.944429779878142
Proposal of New Research Directions or Questions,1,0,9.769440932439078
Proposal of New Research Directions or Questions,1,1,9.361811614666117
Proposal of New Research Directions or Questions,1,2,5.926736403603441
Proposal of New Research Directions or Questions,1,7,5.879242931436239
Proposal of New Research Directions or Questions,1,8,9.549820040398254
Proposal of New Research Directions or Questions,1,4,9.176893928655842
Proposal of New Research Directions or Questions,1,3,9.287189025166771
Proposal of New Research Directions or Questions,1,9,10.0
Quality of Introduction and Conclusion,1,5,4.3741379445534845
Quality of Introduction and Conclusion,1,10,0.0
Quality of Introduction and Conclusion,1,6,0.28805096819897985
Quality of Introduction and Conclusion,1,0,2.8688396358072237
Quality of Introduction and Conclusion,1,1,4.745058816329677
Quality of Introduction and Conclusion,1,2,0.852700449334081
Quality of Introduction and Conclusion,1,7,0.5246979812016961
Quality of Introduction and Conclusion,1,8,6.506069501495352
Quality of Introduction and Conclusion,1,4,2.427196150613187
Quality of Introduction and Conclusion,1,3,3.7018708643776677
Quality of Introduction and Conclusion,1,9,10.0
Rationality of Method Selection,1,5,7.6122619340179805
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,6,0.8426989614472581
Rationality of Method Selection,1,0,7.536151055444221
Rationality of Method Selection,1,1,5.713375795725138
Rationality of Method Selection,1,2,0.9981160086557621
Rationality of Method Selection,1,7,2.3758298207690594
Rationality of Method Selection,1,8,7.42741111053052
Rationality of Method Selection,1,4,5.7006309450583075
Rationality of Method Selection,1,3,5.43856151835359
Rationality of Method Selection,1,9,10.0
Reasonableness of Chapter Arrangement,1,5,6.419421105218262
Reasonableness of Chapter Arrangement,1,10,0.0
Reasonableness of Chapter Arrangement,1,6,1.2316758601871214
Reasonableness of Chapter Arrangement,1,0,6.801657352747335
Reasonableness of Chapter Arrangement,1,1,6.4887383730022385
Reasonableness of Chapter Arrangement,1,2,1.8021343612678464
Reasonableness of Chapter Arrangement,1,7,3.194011475060523
Reasonableness of Chapter Arrangement,1,8,8.2975782821682
Reasonableness of Chapter Arrangement,1,4,5.687658064640328
Reasonableness of Chapter Arrangement,1,3,5.526345077187508
Reasonableness of Chapter Arrangement,1,9,10.0
Reflection of Current Research Hotspots,1,5,9.48801937329789
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,6,1.9778361290366173
Reflection of Current Research Hotspots,1,0,9.300220229233078
Reflection of Current Research Hotspots,1,1,9.012158985237742
Reflection of Current Research Hotspots,1,2,4.205644224526082
Reflection of Current Research Hotspots,1,7,7.211987726730117
Reflection of Current Research Hotspots,1,8,9.422743151652051
Reflection of Current Research Hotspots,1,4,7.971129665622426
Reflection of Current Research Hotspots,1,3,7.829893774665396
Reflection of Current Research Hotspots,1,9,10.0
Rigor of Research Design,1,5,8.781916437999248
Rigor of Research Design,1,10,0.0
Rigor of Research Design,1,6,1.5522771991913544
Rigor of Research Design,1,0,8.988305415186852
Rigor of Research Design,1,1,8.452677580772129
Rigor of Research Design,1,2,2.1234810100010044
Rigor of Research Design,1,7,4.908428390353098
Rigor of Research Design,1,8,8.980714670838815
Rigor of Research Design,1,4,7.52870965227027
Rigor of Research Design,1,3,6.23420920126111
Rigor of Research Design,1,9,10.0
Timeliness and Relevance of References,1,5,7.767773701664022
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,6,2.188617752545965
Timeliness and Relevance of References,1,0,9.15404011307241
Timeliness and Relevance of References,1,1,8.130703314292479
Timeliness and Relevance of References,1,2,3.659982091101295
Timeliness and Relevance of References,1,7,4.159945466899666
Timeliness and Relevance of References,1,8,7.913770482139202
Timeliness and Relevance of References,1,4,6.39299547186632
Timeliness and Relevance of References,1,3,8.384344016758293
Timeliness and Relevance of References,1,9,10.0
Topic Relevance,1,5,5.898602973417375
Topic Relevance,1,10,0.0
Topic Relevance,1,6,2.427960402812038
Topic Relevance,1,0,9.808700570752778
Topic Relevance,1,1,9.68994390753387
Topic Relevance,1,2,0.7062571051213096
Topic Relevance,1,7,1.9217447311602665
Topic Relevance,1,8,8.971098812681863
Topic Relevance,1,4,6.736515888867808
Topic Relevance,1,3,8.143244691219143
Topic Relevance,1,9,10.0
