Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,5,5.305242163383909
Accuracy and Completeness of Citations,1,4,6.698197244057248
Accuracy and Completeness of Citations,1,6,3.1205686931412444
Accuracy and Completeness of Citations,1,1,1.2661038975949983
Accuracy and Completeness of Citations,1,7,4.496725594979939
Accuracy and Completeness of Citations,1,3,0.6637021520676767
Accuracy and Completeness of Citations,1,2,1.634735187706283
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,8,1.0603712880383913
Accuracy and Completeness of Citations,1,0,4.8767634322442355
Accuracy of Information,1,10,0.043659136033889205
Accuracy of Information,1,5,0.7395988352075569
Accuracy of Information,1,4,0.9540253095155228
Accuracy of Information,1,6,0.9889932482254569
Accuracy of Information,1,1,0.20767279759506244
Accuracy of Information,1,7,0.6007845955510994
Accuracy of Information,1,3,0.0
Accuracy of Information,1,2,0.13191106230551325
Accuracy of Information,1,9,10.0
Accuracy of Information,1,8,0.1526146774116492
Accuracy of Information,1,0,0.3651305534045326
Appropriateness of Professional Terminology Use,1,10,0.08328625255909752
Appropriateness of Professional Terminology Use,1,5,2.5903112142403693
Appropriateness of Professional Terminology Use,1,4,9.40901287482695
Appropriateness of Professional Terminology Use,1,6,6.826414699974851
Appropriateness of Professional Terminology Use,1,1,1.1038163026107026
Appropriateness of Professional Terminology Use,1,7,1.2181634547037623
Appropriateness of Professional Terminology Use,1,3,0.0
Appropriateness of Professional Terminology Use,1,2,1.147381847352484
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,8,0.17977715997457144
Appropriateness of Professional Terminology Use,1,0,0.48757428436353867
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,5,1.607298036329561
Avoidance of Plagiarism and Appropriate Citation,1,4,3.1543414313284694
Avoidance of Plagiarism and Appropriate Citation,1,6,2.433756808592852
Avoidance of Plagiarism and Appropriate Citation,1,1,1.0229827662596862
Avoidance of Plagiarism and Appropriate Citation,1,7,1.4711434850489085
Avoidance of Plagiarism and Appropriate Citation,1,3,0.07362511824925438
Avoidance of Plagiarism and Appropriate Citation,1,2,0.3865954198777695
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,0.3849528109859601
Avoidance of Plagiarism and Appropriate Citation,1,0,0.6050389814843719
Clarity of Logical Structure,1,10,0.08906904452278133
Clarity of Logical Structure,1,5,1.013535184859403
Clarity of Logical Structure,1,4,6.78143369725406
Clarity of Logical Structure,1,6,3.4748220163848944
Clarity of Logical Structure,1,1,0.735647004226905
Clarity of Logical Structure,1,7,0.47900603183886414
Clarity of Logical Structure,1,3,0.0
Clarity of Logical Structure,1,2,1.1790775889526397
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,8,0.15237002648155246
Clarity of Logical Structure,1,0,0.2689954257611884
Clarity of Research Method Description,1,10,0.06008092258387254
Clarity of Research Method Description,1,5,1.3152358062770424
Clarity of Research Method Description,1,4,6.921806503279349
Clarity of Research Method Description,1,6,3.2533090837574847
Clarity of Research Method Description,1,1,0.5532555981793513
Clarity of Research Method Description,1,7,0.732254624602886
Clarity of Research Method Description,1,3,0.0
Clarity of Research Method Description,1,2,1.1587150105809925
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,8,0.2649957416113271
Clarity of Research Method Description,1,0,0.34162539120598917
Comprehensiveness of Information,1,10,0.00018053592861600956
Comprehensiveness of Information,1,5,1.31431600557862
Comprehensiveness of Information,1,4,6.545903435082171
Comprehensiveness of Information,1,6,1.573910407451229
Comprehensiveness of Information,1,1,0.1604063221741715
Comprehensiveness of Information,1,7,1.4534703892186867
Comprehensiveness of Information,1,3,0.0
Comprehensiveness of Information,1,2,0.22500886155982636
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,8,0.07806239414815677
Comprehensiveness of Information,1,0,0.6806500107585903
Conciseness of Expression,1,10,0.13653289431862173
Conciseness of Expression,1,5,3.804141733638917
Conciseness of Expression,1,4,9.843522532859387
Conciseness of Expression,1,6,8.104573777084603
Conciseness of Expression,1,1,2.444253640764285
Conciseness of Expression,1,7,0.5341641471952464
Conciseness of Expression,1,3,0.0
Conciseness of Expression,1,2,2.34868755721177
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,8,0.2876933114837372
Conciseness of Expression,1,0,0.37685684168281336
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,5,2.829161000208765
Critical Analysis of Existing Research,1,4,8.033094656010546
