<quotes>
[1] "The shale gas revolution: A methane-to-organic chemicals renaissance?"
[2] "The Changing Landscape of Hydrocarbon Feedstocks for Chemical Production: Implications for Catalysis"
[3] "U.S. chemical investment linked to shale gas: $179 billion and counting"
[4] "Shell advances Pennsylvania cracker"
[5] "Ethylene planned for North Dakota"
[6] "The U.S. methanol building boom"
[7] "World chemical outlook: United States"
[8] "Qatar's chemical industry: monetizing natural gas"
[9] "PELiner grade DEL US assessment bulk contract month contract survey"
[10] "Average Price of Electricity to Ultimate Customers by end-use sector"
[11] "Sustainability in the Chemical Industry: Grand Challenges and Research Needs"
[12] "Lessons from technology development for energy and sustainability"
[13] "Technology Roadmap: Energy and GHG Reductions in the Chemical Industry via Catalytic Processes"
[14] "Ethylene via ethane steam cracking"
[15] "Economics of alkane conversion"
[16] "Industrial Organic Chemicals"
[17] "Industrial Organic Chemistry"
[18] "Ethylene"
[19] "Ethylene"
[20] "Propylene process summary"
[21] "Propane dehydrogenation process technologies"
[22] "Propylene production via metathesis of ethylene and butenes"
[23] "Propylene by olefin conversion processes"
[24] "From coal to chemical building blocks: an academic success story for China"
[25] "A selection of recent advances in C1 chemistry"
[26] "Estimated U.S. energy consumption in 2016"
[27] "Implications for energy innovation from the chemical industry"
[28] "US olefins industry prepares for waves of new capacity"
[29] "World Analysis: Polyethylene"
[30] "Propylene"
[31] "A mechanistic basis for the effect of aluminum content on ethene selectivity"
[32] "Alter ing C2H4/C3H6 yield in methanol to light olefins"
[33] "Controlling prime olefin ratio in an oxygenates-to-olefins reaction"
[34] "Kinetic modeling of ethane pyrolysis at high conversion"
[35] "A kinetic modelling study of ethane cracking for optimal ethylene yield"
[36] "Model-based, thermo-physical optimisation for high olefin yield in steam cracking reactors"
[37] "Steamless pyrolysis of ethane to ethylene"
[38] "Thermal/catalytic cracking of hydrocarbons for the production of olefins: a state-of-the-art review"
[39] "First principle-based simulation of ethane steam cracking"
[40] "Modeling of ethane thermal cracking kinetics in a pyrocracker"
[41] "Effect of radial temperature profiles on yields in steam cracking"
[42] "Simulation of the run length of an ethane cracking furnace"
[43] "A systematically generated, pressure-dependent mechanism for high-conversion ethane pyrolysis"
[44] "Modeling of ethane pyrolysis process: a study on effects of steam and carbon dioxide on ethylene and hydrogen productions"
[45] "Two severity indices for scale-up of steam cracking coils"
[46] "Failure of welded dilution steam coil made of alloy 800HT"
[47] "Optimization of the in situ pretreatment of high temperature Ni-Cr alloys for ethane steam cracking"
[48] "Coking resistance of specialized coil materials during steam cracking of sulfur-free naphtha"
[49] "Experimental investigation of initial coke formation over stainless steel, chromium, and iron in thermal cracking of ethane with hydrogen sulfide as an additive"
[50] "Catalytic coating for reduced coke formation in steam cracking reactors"
[51] "Influence of silicon and silicon/sulfur-containing additives on coke formation during steam cracking of hydrocarbons"
[52] "Influence of dimethyl disulfide on coke formation during steam cracking of hydrocarbons"
[53] "Coke formation in the transfer line exchanger during steam cracking of hydrocarbons"
[54] "Suppression of coke formation in the steam cracking of alkanes: ethane and propane"
[55] "Coke formation in steam crackers for ethylene production"
[56] "Simulation of the decoking of an ethane cracker with a steam/air mixture"
[57] "Optimization of the decoking procedure of an ethane cracker with a steam/air mixture"
[58] "Another ethylene plant to rise on the Gulf"
[59] "Ideal chemical conversion concept for the industrial production of ethene from hydrocarbons"
[60] "Seven chemical separations to change the world"
[61] "Plant Design and Economics for Chemical Engineers"
[62] "Process economics"
[63] "Excel statistical functions: PEARSON"
[64] "Gearing up for more: Middle Eastern producers seek their place on world supply, marketing, and R&D stages"
[65] "Dehydration of ethanol to ethylene"
[66] "Dehydration of ethanol over zeolites, silica alumina and alumina: Lewis acidity, Brnsted acidity and confinement effects"
[67] "Intrinsic kinetics of ethanol dehydration over Lewis acidic ordered mesoporous silicate, Zr-KIT-6"
[68] "Dow will delay biopolymers plant"
[69] "Continuous polyolefin cracking on an HZSM-5 zeolite catalyst in a conical spouted bed reactor"
[70] "Production of light olefins from polyethylene in a two-step process: pyrolysis in a conical spouted bed and downstream high-temperature thermal cracking"
[71] "Shale gas processing integrated with ethylene production: novel process designs, exergy analysis, and techno-economic analysis"
[72] "Oxidative dehydrogenation of ethane: common principles and mechanistic aspects"
[73] "Oxidative dehydrogenation of ethane and propane: How far from commercial implementation?"
[74] "Oxidative dehydrogenation of ethane at millisecond contact times: effect of H2 addition"
[75] "Oxidative activation of ethane on catalytic modified dense ionic oxygen conducting membranes"
[76] "The role of Cl in a Li+-ZnO-Cl catalyst on the oxidative coupling of methane and the oxidative dehydrogenation of ethane"
[77] "Fire and explosions. Chemical Process Safety: Fundamentals with Applications"
[78] "Role of C-H bond strength in the rate and selectivity of oxidative dehydrogenation of alkanes"
[79] "Simulation-aided effective design of a catalytic reactor for ethane oxidative dehydrogenation over NiNbOx"
[80] "Kinetic study of oxidative dehydrogenation of ethane over MoVTeNb mixed-oxide catalyst"
[81] "Fixed-bed multi-tubular reactors for oxidative dehydrogenation in ethylene process"
