Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,9.320270620630277
Accuracy and Completeness of Citations,1,6,5.096683154398335
Accuracy and Completeness of Citations,1,9,0.5096989420529187
Accuracy and Completeness of Citations,1,0,10.0
Accuracy and Completeness of Citations,1,2,9.877990428656185
Accuracy and Completeness of Citations,1,3,6.07538461442199
Accuracy and Completeness of Citations,1,4,9.374352995512064
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,9.627585154998204
Accuracy and Completeness of Citations,1,1,8.880269619281256
Accuracy and Completeness of Citations,1,5,4.8831748163107855
Accuracy of Information,1,8,9.922749523327493
Accuracy of Information,1,6,9.950588890639466
Accuracy of Information,1,9,9.397898029099007
Accuracy of Information,1,0,9.853881444990568
Accuracy of Information,1,2,9.929436292441638
Accuracy of Information,1,3,7.248549828958723
Accuracy of Information,1,4,9.92951865411828
Accuracy of Information,1,10,0.0
Accuracy of Information,1,7,9.839773157250926
Accuracy of Information,1,1,10.0
Accuracy of Information,1,5,7.6680419546562515
Appropriateness of Professional Terminology Use,1,8,8.114041942299126
Appropriateness of Professional Terminology Use,1,6,4.923012205117226
Appropriateness of Professional Terminology Use,1,9,0.730807868899918
Appropriateness of Professional Terminology Use,1,0,9.875921495558524
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,3,3.4714121300052274
Appropriateness of Professional Terminology Use,1,4,9.967985539004323
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,7,9.91357252258902
Appropriateness of Professional Terminology Use,1,1,8.35321413530293
Appropriateness of Professional Terminology Use,1,5,3.457032831393554
Avoidance of Plagiarism and Appropriate Citation,1,8,7.785529735514812
Avoidance of Plagiarism and Appropriate Citation,1,6,4.294172077026962
Avoidance of Plagiarism and Appropriate Citation,1,9,1.2265046923179888
Avoidance of Plagiarism and Appropriate Citation,1,0,10.0
Avoidance of Plagiarism and Appropriate Citation,1,2,9.539705492000577
Avoidance of Plagiarism and Appropriate Citation,1,3,2.0577430755042934
Avoidance of Plagiarism and Appropriate Citation,1,4,9.785709316271744
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,9.946991136789247
Avoidance of Plagiarism and Appropriate Citation,1,1,9.338531896167908
Avoidance of Plagiarism and Appropriate Citation,1,5,3.9166010744924
Clarity of Logical Structure,1,8,7.673292901118321
Clarity of Logical Structure,1,6,3.2970672492945736
Clarity of Logical Structure,1,9,0.9523887727276504
Clarity of Logical Structure,1,0,9.37571099282896
Clarity of Logical Structure,1,2,10.0
