Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,8,9.67673135815756
Accuracy and Completeness of Citations,1,10,8.054348288305912
Accuracy and Completeness of Citations,1,2,7.684103762136432
Accuracy and Completeness of Citations,1,1,9.379695234502995
Accuracy and Completeness of Citations,1,7,8.390956258962314
Accuracy and Completeness of Citations,1,5,9.546458187410838
Accuracy and Completeness of Citations,1,6,4.325174387637013
Accuracy and Completeness of Citations,1,9,0.0
Accuracy and Completeness of Citations,1,4,10.0
Accuracy and Completeness of Citations,1,0,7.579056388859493
Accuracy and Completeness of Citations,1,3,4.957946050819498
Accuracy of Information,1,8,9.966403941681358
Accuracy of Information,1,10,8.510443483431017
Accuracy of Information,1,2,9.377479949866112
Accuracy of Information,1,1,9.524886145844828
Accuracy of Information,1,7,6.180730234521434
Accuracy of Information,1,5,9.65368779339629
Accuracy of Information,1,6,7.763431393595858
Accuracy of Information,1,9,0.0
Accuracy of Information,1,4,10.0
Accuracy of Information,1,0,7.3681726323201815
Accuracy of Information,1,3,9.203676032413068
Appropriateness of Professional Terminology Use,1,8,9.926418829845622
Appropriateness of Professional Terminology Use,1,10,5.850841904674397
Appropriateness of Professional Terminology Use,1,2,9.842298273411108
Appropriateness of Professional Terminology Use,1,1,9.80126597667878
Appropriateness of Professional Terminology Use,1,7,5.92703921361341
Appropriateness of Professional Terminology Use,1,5,10.0
Appropriateness of Professional Terminology Use,1,6,1.2082409849626572
Appropriateness of Professional Terminology Use,1,9,0.0
Appropriateness of Professional Terminology Use,1,4,9.957749885242
Appropriateness of Professional Terminology Use,1,0,1.9507965419932698
Appropriateness of Professional Terminology Use,1,3,8.732428560080761
Avoidance of Plagiarism and Appropriate Citation,1,8,9.900507466372614
Avoidance of Plagiarism and Appropriate Citation,1,10,1.722232560310668
Avoidance of Plagiarism and Appropriate Citation,1,2,9.230457150225003
Avoidance of Plagiarism and Appropriate Citation,1,1,8.177347871937087
Avoidance of Plagiarism and Appropriate Citation,1,7,6.539495969159422
Avoidance of Plagiarism and Appropriate Citation,1,5,9.979599919091656
Avoidance of Plagiarism and Appropriate Citation,1,6,0.8064168509517904
Avoidance of Plagiarism and Appropriate Citation,1,9,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,10.0
Avoidance of Plagiarism and Appropriate Citation,1,0,3.6638003661153307
Avoidance of Plagiarism and Appropriate Citation,1,3,1.6790360542718903
Clarity of Logical Structure,1,8,9.67283157946202
Clarity of Logical Structure,1,10,2.960789240881482
Clarity of Logical Structure,1,2,9.963685617033724
Clarity of Logical Structure,1,1,9.65455646526865
Clarity of Logical Structure,1,7,1.248118483274898
Clarity of Logical Structure,1,5,9.957774272016033
Clarity of Logical Structure,1,6,0.04724425625443771
Clarity of Logical Structure,1,9,0.908205726220418
Clarity of Logical Structure,1,4,10.0
Clarity of Logical Structure,1,0,0.0
Clarity of Logical Structure,1,3,4.561147572369109
Clarity of Research Method Description,1,8,10.0
Clarity of Research Method Description,1,10,0.11482756355850351
Clarity of Research Method Description,1,2,9.88797473470556
Clarity of Research Method Description,1,1,8.290058830819559
Clarity of Research Method Description,1,7,0.7790854472463331
Clarity of Research Method Description,1,5,9.696381738612253
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,9,0.3453431752406651
Clarity of Research Method Description,1,4,9.95618558716401
Clarity of Research Method Description,1,0,0.018381738934181806
Clarity of Research Method Description,1,3,6.262544332115447
Comprehensiveness of Information,1,8,9.975336740116939
Comprehensiveness of Information,1,10,3.593085332987388
Comprehensiveness of Information,1,2,8.859677445787835
Comprehensiveness of Information,1,1,9.613462472326509
Comprehensiveness of Information,1,7,4.818508989099318
Comprehensiveness of Information,1,5,9.657164083869667
Comprehensiveness of Information,1,6,3.8865289212291283
Comprehensiveness of Information,1,9,0.0
Comprehensiveness of Information,1,4,10.0
Comprehensiveness of Information,1,0,2.6715250565504447
Comprehensiveness of Information,1,3,8.579580856791784
Conciseness of Expression,1,8,10.0
Conciseness of Expression,1,10,8.20606656787411
Conciseness of Expression,1,2,9.691379983571933
Conciseness of Expression,1,1,9.748303920189224
Conciseness of Expression,1,7,8.642517493878856
Conciseness of Expression,1,5,9.955999586383532
Conciseness of Expression,1,6,3.436523258462404
Conciseness of Expression,1,9,0.0
Conciseness of Expression,1,4,9.9670444579579
Conciseness of Expression,1,0,6.837029117301724
Conciseness of Expression,1,3,9.321227998226231
Critical Analysis of Existing Research,1,8,10.0
Critical Analysis of Existing Research,1,10,1.0093472028124906
Critical Analysis of Existing Research,1,2,9.144710433751996
Critical Analysis of Existing Research,1,1,8.754030975086534
Critical Analysis of Existing Research,1,7,7.287119435936794
