Subcategory,Mean Score,Diff Score
Topic Relevance,7.0,1.0
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.25,0.5
Topic Relevance,7.25,0.5
Topic Relevance,7.65,-0.2999999999999998
Topic Relevance,7.25,-0.5
Topic Relevance,7.5,0.0
Topic Relevance,7.25,0.5
Topic Relevance,7.75,-0.5
Comprehensiveness of Information,6.25,1.5
Comprehensiveness of Information,7.15,-1.2999999999999998
Comprehensiveness of Information,7.0,-1.0
Comprehensiveness of Information,7.25,-0.5
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,6.75,-1.5
Comprehensiveness of Information,6.75,-1.5
Comprehensiveness of Information,7.25,0.5
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,7.0,-2.0
Accuracy of Information,7.5,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.9,-0.20000000000000018
Accuracy of Information,7.25,0.5
Accuracy of Information,7.5,0.0
Accuracy of Information,7.9,-0.20000000000000018
Accuracy of Information,7.75,-0.5
Accuracy of Information,7.5,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Innovativeness of Viewpoints,5.75,1.5
Innovativeness of Viewpoints,6.75,-1.5
Innovativeness of Viewpoints,6.5,-1.0
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,6.75,-1.5
Innovativeness of Viewpoints,6.5,-1.0
Innovativeness of Viewpoints,7.25,0.5
Innovativeness of Viewpoints,6.5,1.0
Innovativeness of Viewpoints,7.0,-2.0
Integration of Interdisciplinary Perspectives,5.5,1.0
Integration of Interdisciplinary Perspectives,7.15,-1.2999999999999998
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,6.75,-0.5
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,6.5,-1.0
Integration of Interdisciplinary Perspectives,7.25,-0.5
Integration of Interdisciplinary Perspectives,6.5,1.0
Integration of Interdisciplinary Perspectives,7.0,-2.0
Clarity of Logical Structure,8.0,1.0
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,7.0,-1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,7.5,-1.0
Clarity of Logical Structure,8.0,-1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.5,-1.0
Reasonableness of Chapter Arrangement,6.5,1.0
Reasonableness of Chapter Arrangement,7.5,-1.0
Reasonableness of Chapter Arrangement,7.25,-0.5
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,7.75,0.5
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,6.5,-1.0
Reasonableness of Chapter Arrangement,7.25,-0.5
Reasonableness of Chapter Arrangement,7.25,0.5
Reasonableness of Chapter Arrangement,7.5,-1.0
Quality of Introduction and Conclusion,5.5,1.0
Quality of Introduction and Conclusion,6.75,-1.5
Quality of Introduction and Conclusion,6.25,-0.5
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.25,0.5
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.75,-0.5
Quality of Introduction and Conclusion,6.75,-0.5
Quality of Introduction and Conclusion,6.5,-1.0
Accuracy and Completeness of Citations,4.5,9.0
Accuracy and Completeness of Citations,8.0,-2.0
Accuracy and Completeness of Citations,8.5,-1.0
Accuracy and Completeness of Citations,7.25,0.5
Accuracy and Completeness of Citations,9.0,1.0
Accuracy and Completeness of Citations,7.5,-2.0
Accuracy and Completeness of Citations,7.0,-2.0
Accuracy and Completeness of Citations,8.25,0.5
Accuracy and Completeness of Citations,8.75,0.5
Accuracy and Completeness of Citations,8.0,-4.0
Timeliness and Relevance of References,3.75,7.5
Timeliness and Relevance of References,7.5,-2.0
Timeliness and Relevance of References,7.5,-1.0
Timeliness and Relevance of References,7.25,0.5
Timeliness and Relevance of References,8.0,1.0
Timeliness and Relevance of References,6.75,-1.5
Timeliness and Relevance of References,6.75,-1.5
Timeliness and Relevance of References,7.75,-0.5
Timeliness and Relevance of References,7.25,0.5
Timeliness and Relevance of References,7.0,-2.0
Avoidance of Plagiarism and Appropriate Citation,3.25,6.5
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,6.75,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,6.75,0.5
Avoidance of Plagiarism and Appropriate Citation,7.25,-0.5
Avoidance of Plagiarism and Appropriate Citation,6.75,-0.5
Avoidance of Plagiarism and Appropriate Citation,7.5,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Critical Analysis of Existing Research,6.0,2.0
Critical Analysis of Existing Research,7.25,-2.5
Critical Analysis of Existing Research,7.5,-1.0
Critical Analysis of Existing Research,7.0,1.0
Critical Analysis of Existing Research,7.5,1.0
Critical Analysis of Existing Research,7.25,-1.5
Critical Analysis of Existing Research,6.75,-1.5
Critical Analysis of Existing Research,7.25,0.5
Critical Analysis of Existing Research,7.25,0.5
Critical Analysis of Existing Research,7.0,-2.0
Proposal of New Research Directions or Questions,5.5,2.0
Proposal of New Research Directions or Questions,7.5,-2.0
Proposal of New Research Directions or Questions,6.75,-1.5
Proposal of New Research Directions or Questions,7.0,1.0
Proposal of New Research Directions or Questions,8.0,1.0
Proposal of New Research Directions or Questions,6.75,-1.5
Proposal of New Research Directions or Questions,6.75,-1.5
Proposal of New Research Directions or Questions,7.25,-0.5
Proposal of New Research Directions or Questions,7.75,0.5
Proposal of New Research Directions or Questions,7.5,-3.0
Potential Contribution to the Field,6.25,1.5
Potential Contribution to the Field,7.75,-1.5
Potential Contribution to the Field,7.0,-1.0
Potential Contribution to the Field,7.0,-1.0
Potential Contribution to the Field,7.75,0.5
Potential Contribution to the Field,7.0,-1.0
