Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,3.6600773568115628
Accuracy and Completeness of Citations,1,5,0.6707457835854465
Accuracy and Completeness of Citations,1,0,9.85638292426886
Accuracy and Completeness of Citations,1,3,9.852294433702449
Accuracy and Completeness of Citations,1,10,0.48682767188322695
Accuracy and Completeness of Citations,1,6,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,4.488991085367825
Accuracy and Completeness of Citations,1,1,0.7100671567197246
Accuracy and Completeness of Citations,1,8,2.2488102085948984
Accuracy and Completeness of Citations,1,4,0.7648390652723492
Accuracy of Information,1,7,0.9724460671977235
Accuracy of Information,1,5,0.07434458311431866
Accuracy of Information,1,0,3.273661951296193
Accuracy of Information,1,3,1.4963134339747095
Accuracy of Information,1,10,0.04922811073399116
Accuracy of Information,1,6,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,2,1.3441022596288072
Accuracy of Information,1,1,0.7188544188689376
Accuracy of Information,1,8,0.792512706389133
Accuracy of Information,1,4,0.7211802848087008
Appropriateness of Professional Terminology Use,1,7,5.700693852780018
Appropriateness of Professional Terminology Use,1,5,0.0
Appropriateness of Professional Terminology Use,1,0,10.0
Appropriateness of Professional Terminology Use,1,3,9.764010941280118
Appropriateness of Professional Terminology Use,1,10,0.02221769130071203
Appropriateness of Professional Terminology Use,1,6,0.016178225699953804
Appropriateness of Professional Terminology Use,1,9,9.771633961524422
Appropriateness of Professional Terminology Use,1,2,0.9522283635552129
Appropriateness of Professional Terminology Use,1,1,0.13910000504684122
Appropriateness of Professional Terminology Use,1,8,3.714605567141795
Appropriateness of Professional Terminology Use,1,4,0.5081554701800032
Avoidance of Plagiarism and Appropriate Citation,1,7,5.993050287605624
Avoidance of Plagiarism and Appropriate Citation,1,5,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,9.718389790031738
Avoidance of Plagiarism and Appropriate Citation,1,10,1.086450938883586
Avoidance of Plagiarism and Appropriate Citation,1,6,0.13697743369909754
Avoidance of Plagiarism and Appropriate Citation,1,9,9.980346827546505
Avoidance of Plagiarism and Appropriate Citation,1,2,3.300636381750474
Avoidance of Plagiarism and Appropriate Citation,1,1,0.859935151943327
Avoidance of Plagiarism and Appropriate Citation,1,8,4.226245470142305
Avoidance of Plagiarism and Appropriate Citation,1,4,0.9329207486832369
Clarity of Logical Structure,1,7,9.57310183038562
Clarity of Logical Structure,1,5,1.341347323489658
Clarity of Logical Structure,1,0,9.897859567695377
Clarity of Logical Structure,1,3,9.725753831232943
Clarity of Logical Structure,1,10,1.2120433274322173
Clarity of Logical Structure,1,6,0.07880234024234736
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,2,0.7907666030455791
Clarity of Logical Structure,1,1,1.215321963909569
Clarity of Logical Structure,1,8,3.6877201602568648
Clarity of Logical Structure,1,4,0.0
Clarity of Research Method Description,1,7,1.6365930504748996
Clarity of Research Method Description,1,5,0.0
Clarity of Research Method Description,1,0,6.199637461809146
Clarity of Research Method Description,1,3,3.86605809912464
Clarity of Research Method Description,1,10,3.0248088405552487
Clarity of Research Method Description,1,6,0.09006122979652878
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,2,0.3749423727468841
Clarity of Research Method Description,1,1,0.6160540733861861
Clarity of Research Method Description,1,8,0.6256945660218526
Clarity of Research Method Description,1,4,0.08917638046714513
Comprehensiveness of Information,1,7,1.7984821233035952
Comprehensiveness of Information,1,5,0.007405123068450368
Comprehensiveness of Information,1,0,6.915212240281102
Comprehensiveness of Information,1,3,2.896266249993803
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,6,0.1567985265642566
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,2,1.0157208585608937
Comprehensiveness of Information,1,1,0.6291909782980096
Comprehensiveness of Information,1,8,0.863859220259924
Comprehensiveness of Information,1,4,3.7601546862547752
Conciseness of Expression,1,7,5.555140112528803
Conciseness of Expression,1,5,0.1926479117192068
Conciseness of Expression,1,0,9.958087449930646
Conciseness of Expression,1,3,9.67598864552546
Conciseness of Expression,1,10,4.924571871511183
Conciseness of Expression,1,6,0.0
Conciseness of Expression,1,9,10.0
Conciseness of Expression,1,2,0.47029286370788353
Conciseness of Expression,1,1,0.2323836022278499
Conciseness of Expression,1,8,1.0545794773122166
Conciseness of Expression,1,4,0.043450607709757234
Critical Analysis of Existing Research,1,7,2.3844980009979646
Critical Analysis of Existing Research,1,5,0.09634464402601826
Critical Analysis of Existing Research,1,0,10.0
Critical Analysis of Existing Research,1,3,3.994302807854784
Critical Analysis of Existing Research,1,10,0.04093814992714375
Critical Analysis of Existing Research,1,6,0.35997188582191697
Critical Analysis of Existing Research,1,9,0.9702551825120176
Critical Analysis of Existing Research,1,2,0.0
Critical Analysis of Existing Research,1,1,0.23813145750972023
