Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,7.722913201216744
Accuracy and Completeness of Citations,1,7,5.2128782992264115
Accuracy and Completeness of Citations,1,3,7.610418779994338
Accuracy and Completeness of Citations,1,0,8.171101055327354
Accuracy and Completeness of Citations,1,4,9.088489163989733
Accuracy and Completeness of Citations,1,8,5.44606097585451
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,6,0.6170411142518984
Accuracy and Completeness of Citations,1,2,7.902495549908918
Accuracy and Completeness of Citations,1,1,9.039898769945676
Accuracy of Information,1,5,3.920597477390176
Accuracy of Information,1,7,1.8277702726659306
Accuracy of Information,1,3,5.705936987488152
Accuracy of Information,1,0,5.181986413797191
Accuracy of Information,1,4,5.190671455046981
Accuracy of Information,1,8,2.7556847446815276
Accuracy of Information,1,9,10.0
Accuracy of Information,1,10,0.06390971858653145
Accuracy of Information,1,6,0.0
Accuracy of Information,1,2,2.9319337861267702
Accuracy of Information,1,1,6.2905409740840685
Appropriateness of Professional Terminology Use,1,5,8.715124962602516
Appropriateness of Professional Terminology Use,1,7,0.21168817895499528
Appropriateness of Professional Terminology Use,1,3,1.9733489465070366
Appropriateness of Professional Terminology Use,1,0,9.931536156351171
Appropriateness of Professional Terminology Use,1,4,9.606023493432916
Appropriateness of Professional Terminology Use,1,8,0.8701089668879746
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,10,0.5533566744157615
Appropriateness of Professional Terminology Use,1,6,0.0
Appropriateness of Professional Terminology Use,1,2,5.6626333958028505
Appropriateness of Professional Terminology Use,1,1,9.837106680158008
Avoidance of Plagiarism and Appropriate Citation,1,5,9.766363406424988
Avoidance of Plagiarism and Appropriate Citation,1,7,4.065983055141947
Avoidance of Plagiarism and Appropriate Citation,1,3,8.89796763532393
Avoidance of Plagiarism and Appropriate Citation,1,0,9.961092566938436
Avoidance of Plagiarism and Appropriate Citation,1,4,9.841946308899423
Avoidance of Plagiarism and Appropriate Citation,1,8,7.264144406005136
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.749508097382367
Avoidance of Plagiarism and Appropriate Citation,1,6,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,8.605738775422934
Avoidance of Plagiarism and Appropriate Citation,1,1,9.68868781206681
Clarity of Logical Structure,1,5,9.669848942715477
Clarity of Logical Structure,1,7,0.4172205894753007
Clarity of Logical Structure,1,3,1.639898123402858
Clarity of Logical Structure,1,0,10.0
Clarity of Logical Structure,1,4,8.512777445481879
Clarity of Logical Structure,1,8,1.748491383634247
Clarity of Logical Structure,1,9,4.469915354439547
Clarity of Logical Structure,1,10,2.9767957758932204
Clarity of Logical Structure,1,6,0.0
Clarity of Logical Structure,1,2,6.087431247639597
Clarity of Logical Structure,1,1,9.814672213049361
Clarity of Research Method Description,1,5,8.678346428968121
Clarity of Research Method Description,1,7,0.4438272258024596
Clarity of Research Method Description,1,3,2.927317216697643
Clarity of Research Method Description,1,0,9.755654311623788
Clarity of Research Method Description,1,4,8.505774258050984
Clarity of Research Method Description,1,8,1.6949553078321962
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,10,0.1804872899939626
Clarity of Research Method Description,1,6,0.0
Clarity of Research Method Description,1,2,6.660717175917329
Clarity of Research Method Description,1,1,8.880672885691165
Comprehensiveness of Information,1,5,7.423914463266968
Comprehensiveness of Information,1,7,0.549856384265526
Comprehensiveness of Information,1,3,3.170299803286128
Comprehensiveness of Information,1,0,9.769300062244607
Comprehensiveness of Information,1,4,9.343944861038056
Comprehensiveness of Information,1,8,2.072612553166356
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,10,0.2233262176466594
Comprehensiveness of Information,1,6,0.0
Comprehensiveness of Information,1,2,6.677581209716407
Comprehensiveness of Information,1,1,9.98492014552226
Conciseness of Expression,1,5,9.46681177248187
Conciseness of Expression,1,7,0.28315218277418897
Conciseness of Expression,1,3,0.7890137698210007
Conciseness of Expression,1,0,10.0
Conciseness of Expression,1,4,7.6913069727217955
Conciseness of Expression,1,8,0.8827683726582763
Conciseness of Expression,1,9,6.31539727811393
Conciseness of Expression,1,10,1.9597321747010008
Conciseness of Expression,1,6,0.0
Conciseness of Expression,1,2,4.806893532971755
Conciseness of Expression,1,1,9.39976150745985
Critical Analysis of Existing Research,1,5,9.664659570006497
Critical Analysis of Existing Research,1,7,0.8640826142297682
Critical Analysis of Existing Research,1,3,7.8244315993303
Critical Analysis of Existing Research,1,0,9.850580107650812
Critical Analysis of Existing Research,1,4,10.0
Critical Analysis of Existing Research,1,8,1.7188618611443076
Critical Analysis of Existing Research,1,9,9.35967030728994
Critical Analysis of Existing Research,1,10,0.30546502949967314
Critical Analysis of Existing Research,1,6,0.0
Critical Analysis of Existing Research,1,2,7.678248647341096
Critical Analysis of Existing Research,1,1,9.542619070577443
Feasibility of Proposed Suggestions,1,5,9.09184366844567
Feasibility of Proposed Suggestions,1,7,0.38801383350221896
Feasibility of Proposed Suggestions,1,3,5.0655815444524235
Feasibility of Proposed Suggestions,1,0,10.0
Feasibility of Proposed Suggestions,1,4,9.903474190337864
Feasibility of Proposed Suggestions,1,8,1.3518898850302903
Feasibility of Proposed Suggestions,1,9,9.17678122399024
Feasibility of Proposed Suggestions,1,10,0.31760044686288275
Feasibility of Proposed Suggestions,1,6,0.0
Feasibility of Proposed Suggestions,1,2,7.512121583585648
Feasibility of Proposed Suggestions,1,1,9.753779346728209
Fluency of Language Expression,1,5,9.719234856964766
Fluency of Language Expression,1,7,0.30135981104736
Fluency of Language Expression,1,3,1.0163599274304826
Fluency of Language Expression,1,0,10.0
Fluency of Language Expression,1,4,7.216251421177957
Fluency of Language Expression,1,8,1.1354088655364258
Fluency of Language Expression,1,9,5.254903350334754
Fluency of Language Expression,1,10,3.4756979621393844
Fluency of Language Expression,1,6,0.0
Fluency of Language Expression,1,2,5.3611804394763505
Fluency of Language Expression,1,1,9.781236198981713
Identification and Discussion of Research Limitations,1,5,8.878581258837896
Identification and Discussion of Research Limitations,1,7,0.4489321840501907
Identification and Discussion of Research Limitations,1,3,2.540978491575995
Identification and Discussion of Research Limitations,1,0,10.0
Identification and Discussion of Research Limitations,1,4,9.859868686330335
Identification and Discussion of Research Limitations,1,8,2.043405949517005
Identification and Discussion of Research Limitations,1,9,9.908920302285708
Identification and Discussion of Research Limitations,1,10,0.4929181029550768
Identification and Discussion of Research Limitations,1,6,0.0
Identification and Discussion of Research Limitations,1,2,7.236575202981031
Identification and Discussion of Research Limitations,1,1,9.496107462939575
Inclusion of Latest Research Results,1,5,8.19653951831684
Inclusion of Latest Research Results,1,7,0.7170387376643781
Inclusion of Latest Research Results,1,3,3.3144540690689595
Inclusion of Latest Research Results,1,0,9.686828161921062
Inclusion of Latest Research Results,1,4,9.77275513011872
Inclusion of Latest Research Results,1,8,2.6458318981307625
Inclusion of Latest Research Results,1,9,9.887760066281256
Inclusion of Latest Research Results,1,10,0.21356549538827715
Inclusion of Latest Research Results,1,6,0.0
Inclusion of Latest Research Results,1,2,7.23854748956051
Inclusion of Latest Research Results,1,1,10.0
Innovativeness of Viewpoints,1,5,9.578794388760482
Innovativeness of Viewpoints,1,7,1.3362938908512676
Innovativeness of Viewpoints,1,3,8.732471837582974
Innovativeness of Viewpoints,1,0,9.87413711027387
Innovativeness of Viewpoints,1,4,10.0
Innovativeness of Viewpoints,1,8,2.5131492010605663
Innovativeness of Viewpoints,1,9,8.862115209626378
Innovativeness of Viewpoints,1,10,0.5914797672823117
Innovativeness of Viewpoints,1,6,0.0
Innovativeness of Viewpoints,1,2,8.047606420906162
Innovativeness of Viewpoints,1,1,9.65381855198958
Integration of Interdisciplinary Perspectives,1,5,8.15415895490037
Integration of Interdisciplinary Perspectives,1,7,1.0741106569591101
Integration of Interdisciplinary Perspectives,1,3,4.352283726985165
Integration of Interdisciplinary Perspectives,1,0,9.956840536154022
Integration of Interdisciplinary Perspectives,1,4,10.0
Integration of Interdisciplinary Perspectives,1,8,2.1744092028083313
Integration of Interdisciplinary Perspectives,1,9,9.924124341297498
Integration of Interdisciplinary Perspectives,1,10,2.79692976358868
Integration of Interdisciplinary Perspectives,1,6,0.0
Integration of Interdisciplinary Perspectives,1,2,8.919912442746343
Integration of Interdisciplinary Perspectives,1,1,9.995315917819607
Logic of Argumentation,1,5,9.590964524627807
Logic of Argumentation,1,7,0.43666441794930555
Logic of Argumentation,1,3,1.5212804276994791
Logic of Argumentation,1,0,10.0
Logic of Argumentation,1,4,8.710129802936102
Logic of Argumentation,1,8,1.3362058769252365
Logic of Argumentation,1,9,8.572666085785862
Logic of Argumentation,1,10,0.7003432307927363
Logic of Argumentation,1,6,0.0
Logic of Argumentation,1,2,5.194733578782426
Logic of Argumentation,1,1,9.311691788059868
Multi-angle Analysis of Problems,1,5,8.076631220577843
Multi-angle Analysis of Problems,1,7,0.6914961348272644
Multi-angle Analysis of Problems,1,3,2.0157161682252607
Multi-angle Analysis of Problems,1,0,10.0
Multi-angle Analysis of Problems,1,4,9.96678790682267
Multi-angle Analysis of Problems,1,8,2.026832294003749
Multi-angle Analysis of Problems,1,9,9.815846809707947
Multi-angle Analysis of Problems,1,10,1.466809768092624
Multi-angle Analysis of Problems,1,6,0.0
Multi-angle Analysis of Problems,1,2,7.701892975210137
Multi-angle Analysis of Problems,1,1,9.872704223676681
Potential Contribution to the Field,1,5,9.049968697501944
Potential Contribution to the Field,1,7,0.6158893838338475
Potential Contribution to the Field,1,3,7.6969370203094245
Potential Contribution to the Field,1,0,9.855480722095788
Potential Contribution to the Field,1,4,10.0
Potential Contribution to the Field,1,8,1.7566847627842217
Potential Contribution to the Field,1,9,9.28343021791663
Potential Contribution to the Field,1,10,0.3638574520474482
Potential Contribution to the Field,1,6,0.0
Potential Contribution to the Field,1,2,7.333459825452106
Potential Contribution to the Field,1,1,9.575777925626403
Practical Application Potential of Research Results,1,5,8.838501544341218
Practical Application Potential of Research Results,1,7,0.6462473492639631
Practical Application Potential of Research Results,1,3,6.271616638112662
Practical Application Potential of Research Results,1,0,10.0
Practical Application Potential of Research Results,1,4,9.902599964854163
Practical Application Potential of Research Results,1,8,1.532309960249596
Practical Application Potential of Research Results,1,9,9.391823904825884
Practical Application Potential of Research Results,1,10,0.351798920085576
Practical Application Potential of Research Results,1,6,0.0
Practical Application Potential of Research Results,1,2,7.391828627495794
Practical Application Potential of Research Results,1,1,9.638933853784426
Proposal of New Research Directions or Questions,1,5,8.929477788708638
Proposal of New Research Directions or Questions,1,7,0.6302508858877042
Proposal of New Research Directions or Questions,1,3,7.215878199947187
Proposal of New Research Directions or Questions,1,0,9.766014886715524
Proposal of New Research Directions or Questions,1,4,10.0
Proposal of New Research Directions or Questions,1,8,1.1630577021119426
Proposal of New Research Directions or Questions,1,9,6.432973129464894
Proposal of New Research Directions or Questions,1,10,0.35612285220601997
Proposal of New Research Directions or Questions,1,6,0.0
Proposal of New Research Directions or Questions,1,2,7.965880376961598
Proposal of New Research Directions or Questions,1,1,9.347937992123853
Quality of Introduction and Conclusion,1,5,9.638707163601502
Quality of Introduction and Conclusion,1,7,0.229355406209141
Quality of Introduction and Conclusion,1,3,1.5349848757719284
Quality of Introduction and Conclusion,1,0,10.0
Quality of Introduction and Conclusion,1,4,8.121605007790988
Quality of Introduction and Conclusion,1,8,0.7924868710295749
Quality of Introduction and Conclusion,1,9,4.418342964944271
Quality of Introduction and Conclusion,1,10,2.5844262428821425
Quality of Introduction and Conclusion,1,6,0.0
Quality of Introduction and Conclusion,1,2,5.053893366197917
Quality of Introduction and Conclusion,1,1,9.824155793916585
Rationality of Method Selection,1,5,8.353488121675328
Rationality of Method Selection,1,7,0.5565791618651861
Rationality of Method Selection,1,3,1.8911650575278336
Rationality of Method Selection,1,0,9.821217510948262
Rationality of Method Selection,1,4,9.313469941705383
Rationality of Method Selection,1,8,1.6998571257296573
Rationality of Method Selection,1,9,10.0
Rationality of Method Selection,1,10,0.26563643834898726
Rationality of Method Selection,1,6,0.0
Rationality of Method Selection,1,2,6.761424073137883
Rationality of Method Selection,1,1,9.217369733042696
Reasonableness of Chapter Arrangement,1,5,9.474130451237837
Reasonableness of Chapter Arrangement,1,7,0.6724343385125051
Reasonableness of Chapter Arrangement,1,3,2.124565989518356
Reasonableness of Chapter Arrangement,1,0,10.0
Reasonableness of Chapter Arrangement,1,4,8.902321898839835
Reasonableness of Chapter Arrangement,1,8,2.023006374628142
Reasonableness of Chapter Arrangement,1,9,6.806212035003959
Reasonableness of Chapter Arrangement,1,10,3.052851198422322
Reasonableness of Chapter Arrangement,1,6,0.0
Reasonableness of Chapter Arrangement,1,2,7.2713778910322455
Reasonableness of Chapter Arrangement,1,1,9.936056086757722
Reflection of Current Research Hotspots,1,5,9.275295515377561
Reflection of Current Research Hotspots,1,7,0.5607786392015864
Reflection of Current Research Hotspots,1,3,2.1684510084605884
Reflection of Current Research Hotspots,1,0,9.836328628863507
Reflection of Current Research Hotspots,1,4,9.804519074245883
Reflection of Current Research Hotspots,1,8,2.5596543365267364
Reflection of Current Research Hotspots,1,9,9.743264960171485
Reflection of Current Research Hotspots,1,10,0.4739213980696156
Reflection of Current Research Hotspots,1,6,0.0
Reflection of Current Research Hotspots,1,2,7.633560159215644
Reflection of Current Research Hotspots,1,1,10.0
Rigor of Research Design,1,5,8.122786398146683
Rigor of Research Design,1,7,0.342034007554776
Rigor of Research Design,1,3,2.0769629221566164
Rigor of Research Design,1,0,9.804558474286372
Rigor of Research Design,1,4,8.671349880262113
Rigor of Research Design,1,8,1.327821847190469
Rigor of Research Design,1,9,10.0
Rigor of Research Design,1,10,0.19467107232208278
Rigor of Research Design,1,6,0.0
Rigor of Research Design,1,2,6.437641679522941
Rigor of Research Design,1,1,9.171054120288218
Timeliness and Relevance of References,1,5,7.689144544936069
Timeliness and Relevance of References,1,7,0.44836943104126364
Timeliness and Relevance of References,1,3,2.407039163945192
Timeliness and Relevance of References,1,0,9.592267596719752
Timeliness and Relevance of References,1,4,9.71880705707173
Timeliness and Relevance of References,1,8,1.9829047344337531
Timeliness and Relevance of References,1,9,9.843184480087222
Timeliness and Relevance of References,1,10,0.14923667554869158
Timeliness and Relevance of References,1,6,0.0
Timeliness and Relevance of References,1,2,7.156557022767889
Timeliness and Relevance of References,1,1,10.0
Topic Relevance,1,5,8.666362064860605
Topic Relevance,1,7,2.478816271016728
Topic Relevance,1,3,7.4666946849851
Topic Relevance,1,0,9.863490947683704
Topic Relevance,1,4,9.621802743151237
Topic Relevance,1,8,3.821321823031508
Topic Relevance,1,9,9.831252257623426
Topic Relevance,1,10,0.2304961019145562
Topic Relevance,1,6,0.0
Topic Relevance,1,2,7.750303096499458
Topic Relevance,1,1,10.0
