Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,5.4322014408190595
Accuracy and Completeness of Citations,1,1,7.057706601252569
Accuracy and Completeness of Citations,1,6,6.39641170873392
Accuracy and Completeness of Citations,1,2,1.3701399811866788
Accuracy and Completeness of Citations,1,3,2.4080895739001473
Accuracy and Completeness of Citations,1,9,6.398617424184699
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,0,0.016279915554069085
Accuracy and Completeness of Citations,1,5,8.374460355530088
Accuracy and Completeness of Citations,1,7,10.0
Accuracy and Completeness of Citations,1,8,1.3290695649894204
Accuracy of Information,1,4,9.48786799960535
Accuracy of Information,1,1,8.599583412190036
Accuracy of Information,1,6,9.511531954605791
Accuracy of Information,1,2,9.252190740886915
Accuracy of Information,1,3,9.111631656968859
Accuracy of Information,1,9,10.0
Accuracy of Information,1,10,0.31725072840288804
Accuracy of Information,1,0,6.353679004548476
Accuracy of Information,1,5,9.796607279321853
Accuracy of Information,1,7,9.862853212731503
Accuracy of Information,1,8,0.0
Appropriateness of Professional Terminology Use,1,4,4.179046073423043
Appropriateness of Professional Terminology Use,1,1,6.036802900706299
Appropriateness of Professional Terminology Use,1,6,7.064104041631044
Appropriateness of Professional Terminology Use,1,2,4.066020176007222
Appropriateness of Professional Terminology Use,1,3,3.7626108569077146
Appropriateness of Professional Terminology Use,1,9,3.3095883815587963
Appropriateness of Professional Terminology Use,1,10,0.26600919263888295
Appropriateness of Professional Terminology Use,1,0,0.0
Appropriateness of Professional Terminology Use,1,5,4.280983125885104
Appropriateness of Professional Terminology Use,1,7,10.0
Appropriateness of Professional Terminology Use,1,8,5.547125367722665
Avoidance of Plagiarism and Appropriate Citation,1,4,8.96964852019659
Avoidance of Plagiarism and Appropriate Citation,1,1,7.155822846535318
Avoidance of Plagiarism and Appropriate Citation,1,6,6.837014743979767
Avoidance of Plagiarism and Appropriate Citation,1,2,1.6305850243386528
Avoidance of Plagiarism and Appropriate Citation,1,3,4.191603060928104
Avoidance of Plagiarism and Appropriate Citation,1,9,5.772985366113592
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,0,0.7462053814961697
Avoidance of Plagiarism and Appropriate Citation,1,5,6.870386566099351
Avoidance of Plagiarism and Appropriate Citation,1,7,10.0
Avoidance of Plagiarism and Appropriate Citation,1,8,6.679019059392935
Clarity of Logical Structure,1,4,5.605576438450331
Clarity of Logical Structure,1,1,6.663597965622138
Clarity of Logical Structure,1,6,8.871580362954068
Clarity of Logical Structure,1,2,3.8565519811944364
Clarity of Logical Structure,1,3,4.697749556491685
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,0,0.4045612729607795
Clarity of Logical Structure,1,5,7.43592336032462
Clarity of Logical Structure,1,7,9.62333090286955
Clarity of Logical Structure,1,8,1.8244508869019405
Clarity of Research Method Description,1,4,5.498846888162255
Clarity of Research Method Description,1,1,7.326088736913369
Clarity of Research Method Description,1,6,7.658094550620713
Clarity of Research Method Description,1,2,4.423234967533969
Clarity of Research Method Description,1,3,6.7624719472682795
Clarity of Research Method Description,1,9,9.264540087423999
Clarity of Research Method Description,1,10,2.448151002055467
Clarity of Research Method Description,1,0,0.0
Clarity of Research Method Description,1,5,5.071856947566954
Clarity of Research Method Description,1,7,10.0
Clarity of Research Method Description,1,8,3.5277217438732387
Comprehensiveness of Information,1,4,9.541950456182573
Comprehensiveness of Information,1,1,9.427425587704523
Comprehensiveness of Information,1,6,8.307296040773323
Comprehensiveness of Information,1,2,8.343957873620466
Comprehensiveness of Information,1,3,4.0545282672922704
Comprehensiveness of Information,1,9,8.594200364485399
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,0,3.595221095423275
Comprehensiveness of Information,1,5,9.631710104261275
Comprehensiveness of Information,1,7,10.0
Comprehensiveness of Information,1,8,0.5730479832310826
Conciseness of Expression,1,4,2.2048396771420133
Conciseness of Expression,1,1,5.411825055219451
Conciseness of Expression,1,6,6.5168053592794575
Conciseness of Expression,1,2,3.278625089694565
Conciseness of Expression,1,3,3.1505995296736278
Conciseness of Expression,1,9,2.564626556472408
Conciseness of Expression,1,10,0.02296350431351178
Conciseness of Expression,1,0,0.0
Conciseness of Expression,1,5,1.9210533172408704
