<quotes>
[1] "The first example of this type of coupling reaction was reported in 1967."
[2] "The use of a CX (e.g., X  halogen,triflate) bond is required for producing CC bonds."
[3] "If the direct addition of an otherwise unreactive CH bond to acetylenes takes place, the method promises to become one of the simplest methods for the preparation of vinylic compounds with 100% atom efficiency."
[4] "The pioneering work on a coupling of aromatic and heteroaromatic compounds with acetylenes has been reported by Yamazaki."
[5] "When RhCl(PPh3)3 is used as the catalyst, this coupling reaction gives 1- (arylamino)indole in good yields."
[6] "The fact that this step growth polymerization gives higher molecular weight polymers implies that each step proceeds virtually quantitatively."
[7] "Interestingly, however, the CC bond formation occurred only at the ortho position."
[8] "In the case of the reaction of benzene with diphenylacetylene, triphenylethene is formed."
[9] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[10] "The order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[11] "The use of chelation-assistance with the amide group improved the regioselectivity."
[12] "The addition of CH bonds in azobenzenes to diphenylacetylene is catalyzed by CoH(N2)(PPh3)3."
[13] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[14] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[15] "The first example of this type of coupling reaction was reported in 1967."
[16] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[17] "The first example of this type of coupling reaction was reported in 1967."
[18] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[19] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[20] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[21] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[22] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[23] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[24] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[25] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[26] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[27] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[28] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[29] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[30] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[31] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[32] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[33] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[34] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[35] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[36] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[37] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[38] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[39] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[40] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[41] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[42] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[43] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[44] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[45] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[46] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[47] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[48] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[49] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[50] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[51] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[52] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[53] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[54] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[55] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[56] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[57] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[58] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[59] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[60] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[61] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[62] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[63] "In the case of the reaction of benzene with diphenylacetylene, the presence of carbon monoxide is an essential factor in accomplishing this coupling in a catalytic fashion."
[64] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
[65] "In the case of the reaction of benzene with diphenylacetylene, the low regioselectivity is an inevitable problem."
[66] "In the case of the reaction of benzene with diphenylacetylene, the reaction of toluene gives a mixture of o-, m-, and p-isomers."
[67] "In the case of the reaction of benzene with diphenylacetylene, the order of the relative reactivities of these compounds are estimated as follows:furan thiophene  N-methylpyrrole  benzene."
