Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,1.1970072832638667
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,2,2.9587243524248055
Accuracy and Completeness of Citations,1,6,6.351832840935924
Accuracy and Completeness of Citations,1,7,8.311010231243745
Accuracy and Completeness of Citations,1,4,5.241525501780716
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,1,4.366439409571309
Accuracy and Completeness of Citations,1,8,6.492817551409099
Accuracy and Completeness of Citations,1,5,1.4774317018797365
Accuracy and Completeness of Citations,1,3,6.046721140922958
Accuracy of Information,1,0,0.31794952463001963
Accuracy of Information,1,9,10.0
Accuracy of Information,1,2,0.11489378857853765
Accuracy of Information,1,6,1.4398353466672258
Accuracy of Information,1,7,2.1709898823181706
Accuracy of Information,1,4,2.614855919189145
Accuracy of Information,1,10,0.11082172231050769
Accuracy of Information,1,1,0.0
Accuracy of Information,1,8,2.2178032591986545
Accuracy of Information,1,5,0.13991467754086154
Accuracy of Information,1,3,2.372244872894593
Appropriateness of Professional Terminology Use,1,0,0.0
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,2,0.134537945829705
Appropriateness of Professional Terminology Use,1,6,4.32408729896126
Appropriateness of Professional Terminology Use,1,7,9.516428047595266
Appropriateness of Professional Terminology Use,1,4,5.478219686543232
Appropriateness of Professional Terminology Use,1,10,0.14693012142414655
Appropriateness of Professional Terminology Use,1,1,0.06068903925414967
Appropriateness of Professional Terminology Use,1,8,7.634147504716346
Appropriateness of Professional Terminology Use,1,5,0.01660137740570246
Appropriateness of Professional Terminology Use,1,3,8.530461698198799
Avoidance of Plagiarism and Appropriate Citation,1,0,1.7942613859558882
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,2,0.6499009985961669
Avoidance of Plagiarism and Appropriate Citation,1,6,4.811957351864485
Avoidance of Plagiarism and Appropriate Citation,1,7,6.606497510417578
Avoidance of Plagiarism and Appropriate Citation,1,4,6.279567675249775
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,1,0.6485520165095882
Avoidance of Plagiarism and Appropriate Citation,1,8,6.688195355236224
Avoidance of Plagiarism and Appropriate Citation,1,5,1.4318583225813604
Avoidance of Plagiarism and Appropriate Citation,1,3,5.882383066871358
Clarity of Logical Structure,1,0,0.0
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,2,0.32520174297477145
Clarity of Logical Structure,1,6,3.161669160808929
Clarity of Logical Structure,1,7,8.430492532294245
Clarity of Logical Structure,1,4,4.814215759438897
Clarity of Logical Structure,1,10,0.19983862288352078
Clarity of Logical Structure,1,1,0.15109217347403958
Clarity of Logical Structure,1,8,6.131494362738652
Clarity of Logical Structure,1,5,0.04661995262016672
Clarity of Logical Structure,1,3,7.561359124049417
Clarity of Research Method Description,1,0,0.007584014899174784
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,2,0.16410172521848065
Clarity of Research Method Description,1,6,3.670947449481064
Clarity of Research Method Description,1,7,7.363031591967491
Clarity of Research Method Description,1,4,3.2531457200423692
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,1,0.1446796638049178
Clarity of Research Method Description,1,8,4.321015797463242
Clarity of Research Method Description,1,5,0.030227670945293564
Clarity of Research Method Description,1,3,7.166277499514129
Comprehensiveness of Information,1,0,0.0
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,2,0.2891372679878758
Comprehensiveness of Information,1,6,4.082554608884315
Comprehensiveness of Information,1,7,7.979909425859952
Comprehensiveness of Information,1,4,3.598924974875942
Comprehensiveness of Information,1,10,0.22138823710999517
Comprehensiveness of Information,1,1,0.3462870241642539
Comprehensiveness of Information,1,8,4.916468126925212
Comprehensiveness of Information,1,5,0.008973928683359094
Comprehensiveness of Information,1,3,6.111698094098541
Conciseness of Expression,1,0,0.0
Conciseness of Expression,1,9,9.995932697609181
Conciseness of Expression,1,2,0.16782007770415222
Conciseness of Expression,1,6,3.304201721973545
Conciseness of Expression,1,7,10.0
Conciseness of Expression,1,4,7.430250106636948
Conciseness of Expression,1,10,0.029640407223659695
Conciseness of Expression,1,1,0.00498534368907577
Conciseness of Expression,1,8,8.808893792663332
Conciseness of Expression,1,5,0.06761347029919618
Conciseness of Expression,1,3,9.551333925339666
Critical Analysis of Existing Research,1,0,0.04878443094471238
Critical Analysis of Existing Research,1,9,10.0
Critical Analysis of Existing Research,1,2,0.4351316194766607
Critical Analysis of Existing Research,1,6,6.564173661340224
Critical Analysis of Existing Research,1,7,8.927882911743092
Critical Analysis of Existing Research,1,4,5.3168904813451245
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,1,0.265437854674434
Critical Analysis of Existing Research,1,8,4.542720021488281
Critical Analysis of Existing Research,1,5,0.09157678946463886
Critical Analysis of Existing Research,1,3,7.878141559771552
Feasibility of Proposed Suggestions,1,0,0.10900944287519213
Feasibility of Proposed Suggestions,1,9,9.979300096096829
Feasibility of Proposed Suggestions,1,2,0.9389813260490191
Feasibility of Proposed Suggestions,1,6,8.528784589207008
Feasibility of Proposed Suggestions,1,7,10.0
Feasibility of Proposed Suggestions,1,4,9.142599093235896
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,1,0.8894655324953462
Feasibility of Proposed Suggestions,1,8,8.264992901692935
Feasibility of Proposed Suggestions,1,5,0.4166466930836454
Feasibility of Proposed Suggestions,1,3,9.82847784531311
Fluency of Language Expression,1,0,0.0
Fluency of Language Expression,1,9,10.0
Fluency of Language Expression,1,2,0.19385311282305245
Fluency of Language Expression,1,6,3.892497830482933
Fluency of Language Expression,1,7,9.956972039198723
Fluency of Language Expression,1,4,7.982979220614619
Fluency of Language Expression,1,10,0.21279074970306566
Fluency of Language Expression,1,1,0.01824210288519539
Fluency of Language Expression,1,8,8.877626231586499
Fluency of Language Expression,1,5,0.015121168478965497
Fluency of Language Expression,1,3,9.727343731741307
Identification and Discussion of Research Limitations,1,0,0.033591567613948485
Identification and Discussion of Research Limitations,1,9,10.0
Identification and Discussion of Research Limitations,1,2,0.24587711680556415
Identification and Discussion of Research Limitations,1,6,5.280217673575799
Identification and Discussion of Research Limitations,1,7,9.632513368090732
Identification and Discussion of Research Limitations,1,4,6.056897713680587
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,1,0.4639611546881018
Identification and Discussion of Research Limitations,1,8,6.527630642887161
Identification and Discussion of Research Limitations,1,5,0.053057662540812345
Identification and Discussion of Research Limitations,1,3,8.808384254010354
Inclusion of Latest Research Results,1,0,0.09513302368895407
Inclusion of Latest Research Results,1,9,10.0
Inclusion of Latest Research Results,1,2,0.7440125214902311
Inclusion of Latest Research Results,1,6,6.084510554522605
Inclusion of Latest Research Results,1,7,9.005798176837242
Inclusion of Latest Research Results,1,4,4.805987082303925
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,1,1.2235880045464085
Inclusion of Latest Research Results,1,8,6.022435531992146
Inclusion of Latest Research Results,1,5,0.16181519287558055
Inclusion of Latest Research Results,1,3,7.196719983827143
Innovativeness of Viewpoints,1,0,0.14750036364950192
Innovativeness of Viewpoints,1,9,10.0
Innovativeness of Viewpoints,1,2,0.7620412377803015
Innovativeness of Viewpoints,1,6,7.2569432288603295
Innovativeness of Viewpoints,1,7,9.114396532859352
Innovativeness of Viewpoints,1,4,6.7034290785270425
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,1,0.6334935047595598
Innovativeness of Viewpoints,1,8,4.677356910205417
Innovativeness of Viewpoints,1,5,0.2904769304749605
Innovativeness of Viewpoints,1,3,8.358120856308801
Integration of Interdisciplinary Perspectives,1,0,0.0
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,2,0.404564930898732
Integration of Interdisciplinary Perspectives,1,6,5.230189059144352
Integration of Interdisciplinary Perspectives,1,7,7.492255455788185
Integration of Interdisciplinary Perspectives,1,4,4.6125498290181515
Integration of Interdisciplinary Perspectives,1,10,0.4022657070528009
Integration of Interdisciplinary Perspectives,1,1,0.4519298184448947
Integration of Interdisciplinary Perspectives,1,8,4.798416116115866
Integration of Interdisciplinary Perspectives,1,5,0.02478108133918843
Integration of Interdisciplinary Perspectives,1,3,5.663957628337581
Logic of Argumentation,1,0,0.0
Logic of Argumentation,1,9,10.0
Logic of Argumentation,1,2,0.17815969583725041
Logic of Argumentation,1,6,3.8842466646417835
Logic of Argumentation,1,7,9.285438788234153
Logic of Argumentation,1,4,5.052627720231161
Logic of Argumentation,1,10,0.01957899545195679
Logic of Argumentation,1,1,0.10340249185037423
Logic of Argumentation,1,8,5.940177094475336
Logic of Argumentation,1,5,0.0328903170850223
Logic of Argumentation,1,3,8.081610328447752
Multi-angle Analysis of Problems,1,0,0.0
Multi-angle Analysis of Problems,1,9,10.0
Multi-angle Analysis of Problems,1,2,0.18698381440884654
Multi-angle Analysis of Problems,1,6,4.999101752869305
Multi-angle Analysis of Problems,1,7,8.901890375784516
Multi-angle Analysis of Problems,1,4,4.826462602076019
Multi-angle Analysis of Problems,1,10,0.02078974065463296
Multi-angle Analysis of Problems,1,1,0.27048849860006097
Multi-angle Analysis of Problems,1,8,4.938736091942013
Multi-angle Analysis of Problems,1,5,0.04062341537139628
Multi-angle Analysis of Problems,1,3,7.361892907689742
Potential Contribution to the Field,1,0,0.033696138808379995
Potential Contribution to the Field,1,9,10.0
Potential Contribution to the Field,1,2,0.45322065917126025
Potential Contribution to the Field,1,6,6.272082582136202
Potential Contribution to the Field,1,7,9.203162748825232
Potential Contribution to the Field,1,4,6.1267762334158435
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,1,0.3113742284555012
Potential Contribution to the Field,1,8,4.551482120857759
Potential Contribution to the Field,1,5,0.128529195832677
Potential Contribution to the Field,1,3,8.313849773699141
Practical Application Potential of Research Results,1,0,0.04401546960420401
Practical Application Potential of Research Results,1,9,10.0
Practical Application Potential of Research Results,1,2,0.5737225754258783
Practical Application Potential of Research Results,1,6,6.212160480343509
Practical Application Potential of Research Results,1,7,9.520003054971184
Practical Application Potential of Research Results,1,4,6.5670422530176635
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,1,0.458955173724478
Practical Application Potential of Research Results,1,8,5.271555054273292
Practical Application Potential of Research Results,1,5,0.11571483977035939
Practical Application Potential of Research Results,1,3,8.748021063427753
Proposal of New Research Directions or Questions,1,0,1.6926085402620665
Proposal of New Research Directions or Questions,1,9,9.947521999196887
Proposal of New Research Directions or Questions,1,2,4.465660627618043
Proposal of New Research Directions or Questions,1,6,9.431299309509352
Proposal of New Research Directions or Questions,1,7,10.0
Proposal of New Research Directions or Questions,1,4,9.69642464670954
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,1,4.606347339870074
Proposal of New Research Directions or Questions,1,8,8.177342742972177
Proposal of New Research Directions or Questions,1,5,3.6006685942284586
Proposal of New Research Directions or Questions,1,3,9.853400727397144
Quality of Introduction and Conclusion,1,0,0.0
Quality of Introduction and Conclusion,1,9,10.0
Quality of Introduction and Conclusion,1,2,0.3299594127996475
Quality of Introduction and Conclusion,1,6,5.796537055907112
Quality of Introduction and Conclusion,1,7,9.955283707167563
Quality of Introduction and Conclusion,1,4,8.368158844757636
Quality of Introduction and Conclusion,1,10,0.136934838361886
Quality of Introduction and Conclusion,1,1,0.11521964883189705
Quality of Introduction and Conclusion,1,8,9.01961063478806
Quality of Introduction and Conclusion,1,5,0.03967231909535626
Quality of Introduction and Conclusion,1,3,9.71272965609929
Rationality of Method Selection,1,0,0.007410324222156346
Rationality of Method Selection,1,9,10.0
Rationality of Method Selection,1,2,0.17620169553753542
Rationality of Method Selection,1,6,3.8516150465149046
Rationality of Method Selection,1,7,8.197147955165239
Rationality of Method Selection,1,4,3.5633262008150197
Rationality of Method Selection,1,10,0.0
Rationality of Method Selection,1,1,0.17680101596902062
Rationality of Method Selection,1,8,4.72611180837687
Rationality of Method Selection,1,5,0.01745209097252437
Rationality of Method Selection,1,3,6.926724461870061
Reasonableness of Chapter Arrangement,1,0,0.0
Reasonableness of Chapter Arrangement,1,9,10.0
Reasonableness of Chapter Arrangement,1,2,0.26959763610334225
Reasonableness of Chapter Arrangement,1,6,3.392900286496473
Reasonableness of Chapter Arrangement,1,7,8.580050053750035
Reasonableness of Chapter Arrangement,1,4,4.589087257097743
Reasonableness of Chapter Arrangement,1,10,0.22603130384919617
Reasonableness of Chapter Arrangement,1,1,0.1607819751068726
Reasonableness of Chapter Arrangement,1,8,6.550477321300663
Reasonableness of Chapter Arrangement,1,5,0.026925892704126084
Reasonableness of Chapter Arrangement,1,3,7.385397637775864
Reflection of Current Research Hotspots,1,0,0.032713693190844315
Reflection of Current Research Hotspots,1,9,10.0
Reflection of Current Research Hotspots,1,2,0.3258171732787624
Reflection of Current Research Hotspots,1,6,5.167065564903836
Reflection of Current Research Hotspots,1,7,8.934939239355447
Reflection of Current Research Hotspots,1,4,4.702107230070797
Reflection of Current Research Hotspots,1,10,0.0
Reflection of Current Research Hotspots,1,1,0.7461856687989009
Reflection of Current Research Hotspots,1,8,5.729039000164228
Reflection of Current Research Hotspots,1,5,0.06886891720464268
Reflection of Current Research Hotspots,1,3,7.285614595668965
Rigor of Research Design,1,0,0.0
Rigor of Research Design,1,9,10.0
Rigor of Research Design,1,2,0.16541465921654247
Rigor of Research Design,1,6,4.0264611007923135
Rigor of Research Design,1,7,8.21149789270651
Rigor of Research Design,1,4,4.018773218313347
Rigor of Research Design,1,10,0.01716622854856007
Rigor of Research Design,1,1,0.1861448669183137
Rigor of Research Design,1,8,5.638118596481814
Rigor of Research Design,1,5,0.014019187215245437
Rigor of Research Design,1,3,7.519922205051151
Timeliness and Relevance of References,1,0,0.093971088266462
Timeliness and Relevance of References,1,9,10.0
Timeliness and Relevance of References,1,2,0.5170672586389445
Timeliness and Relevance of References,1,6,5.625276006405499
Timeliness and Relevance of References,1,7,8.942090036339112
Timeliness and Relevance of References,1,4,4.400530116605434
Timeliness and Relevance of References,1,10,0.0
Timeliness and Relevance of References,1,1,1.054812069449036
Timeliness and Relevance of References,1,8,5.630797795403514
Timeliness and Relevance of References,1,5,0.15389407043779987
Timeliness and Relevance of References,1,3,6.753928083749999
Topic Relevance,1,0,0.005757635630646669
Topic Relevance,1,9,10.0
Topic Relevance,1,2,0.3557611277703962
Topic Relevance,1,6,5.0211808981705675
Topic Relevance,1,7,6.9906575967934685
Topic Relevance,1,4,3.9433535029819224
Topic Relevance,1,10,0.19729854383667264
Topic Relevance,1,1,0.4519928129820867
Topic Relevance,1,8,4.554081480833547
Topic Relevance,1,5,0.0
Topic Relevance,1,3,5.0037708369832865
