Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,10,7.404056638542878
Accuracy and Completeness of Citations,1,9,0.0
Accuracy and Completeness of Citations,1,8,9.91092526371433
Accuracy and Completeness of Citations,1,6,9.95564943585566
Accuracy and Completeness of Citations,1,3,7.756933414805252
Accuracy and Completeness of Citations,1,4,0.7614819801320116
Accuracy and Completeness of Citations,1,1,10.0
Accuracy and Completeness of Citations,1,7,6.037498857330591
Accuracy and Completeness of Citations,1,5,4.741844988182709
Accuracy and Completeness of Citations,1,0,5.59868779910481
Accuracy and Completeness of Citations,1,2,0.6768205711931085
Accuracy of Information,1,10,8.848035208875308
Accuracy of Information,1,9,0.0
Accuracy of Information,1,8,9.975820683757913
Accuracy of Information,1,6,9.67554477286077
Accuracy of Information,1,3,9.847854902144386
Accuracy of Information,1,4,9.45415213241863
Accuracy of Information,1,1,10.0
Accuracy of Information,1,7,9.830830473455105
Accuracy of Information,1,5,5.582415388664269
Accuracy of Information,1,0,9.326881459075535
Accuracy of Information,1,2,2.9162659272004063
Appropriateness of Professional Terminology Use,1,10,0.07262569019561217
Appropriateness of Professional Terminology Use,1,9,0.3735327406908888
Appropriateness of Professional Terminology Use,1,8,8.453926263331025
Appropriateness of Professional Terminology Use,1,6,7.212657376825255
Appropriateness of Professional Terminology Use,1,3,5.37337962215376
Appropriateness of Professional Terminology Use,1,4,2.4293278718199023
Appropriateness of Professional Terminology Use,1,1,10.0
Appropriateness of Professional Terminology Use,1,7,8.936511296902916
Appropriateness of Professional Terminology Use,1,5,1.7742327584851691
Appropriateness of Professional Terminology Use,1,0,2.253647731245899
Appropriateness of Professional Terminology Use,1,2,0.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.024987754631714803
Avoidance of Plagiarism and Appropriate Citation,1,9,0.042542878618758814
Avoidance of Plagiarism and Appropriate Citation,1,8,5.448790931764549
Avoidance of Plagiarism and Appropriate Citation,1,6,9.591339236214615
Avoidance of Plagiarism and Appropriate Citation,1,3,6.4105611452212
Avoidance of Plagiarism and Appropriate Citation,1,4,0.20322688270457254
Avoidance of Plagiarism and Appropriate Citation,1,1,10.0
Avoidance of Plagiarism and Appropriate Citation,1,7,2.8120603191055333
Avoidance of Plagiarism and Appropriate Citation,1,5,0.1798607464199361
Avoidance of Plagiarism and Appropriate Citation,1,0,1.1176375739911777
Avoidance of Plagiarism and Appropriate Citation,1,2,0.0
Clarity of Logical Structure,1,10,1.1366069428610734
Clarity of Logical Structure,1,9,6.7804218150643
Clarity of Logical Structure,1,8,8.297952955070652
Clarity of Logical Structure,1,6,9.020229348925177
Clarity of Logical Structure,1,3,0.7757526781807467
Clarity of Logical Structure,1,4,0.7705583164001095
Clarity of Logical Structure,1,1,10.0
Clarity of Logical Structure,1,7,8.02416704980556
Clarity of Logical Structure,1,5,0.711720868500986
Clarity of Logical Structure,1,0,3.713641856164241
Clarity of Logical Structure,1,2,0.0
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,9,7.860243294278687
Clarity of Research Method Description,1,8,8.62604936074844
Clarity of Research Method Description,1,6,6.658909370932756
Clarity of Research Method Description,1,3,6.142837942640901
Clarity of Research Method Description,1,4,0.05785751662644135
Clarity of Research Method Description,1,1,10.0
Clarity of Research Method Description,1,7,8.228871140345962
Clarity of Research Method Description,1,5,1.34322143036573
Clarity of Research Method Description,1,0,3.9313114378411855
Clarity of Research Method Description,1,2,0.22496052151049478
Comprehensiveness of Information,1,10,0.14735299310300543
Comprehensiveness of Information,1,9,0.0
Comprehensiveness of Information,1,8,9.38886653085817
Comprehensiveness of Information,1,6,8.568331275791033
Comprehensiveness of Information,1,3,8.904560004864368
Comprehensiveness of Information,1,4,6.031388633518428
Comprehensiveness of Information,1,1,10.0
Comprehensiveness of Information,1,7,9.142248231396389
Comprehensiveness of Information,1,5,0.24229864945006455
Comprehensiveness of Information,1,0,7.423717022226645
Comprehensiveness of Information,1,2,0.04317531300690982
Conciseness of Expression,1,10,0.0352678754930514
Conciseness of Expression,1,9,0.6806792416845807
Conciseness of Expression,1,8,8.871882200290587
Conciseness of Expression,1,6,7.460442310401383
Conciseness of Expression,1,3,5.399528586382048
Conciseness of Expression,1,4,2.2373538754379068
Conciseness of Expression,1,1,10.0
Conciseness of Expression,1,7,9.198644718379136
Conciseness of Expression,1,5,0.7857415113522493
Conciseness of Expression,1,0,1.8917166927764066
Conciseness of Expression,1,2,0.0
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,9,0.4060713853125414
Critical Analysis of Existing Research,1,8,9.493331981155512
Critical Analysis of Existing Research,1,6,7.083964659929317
Critical Analysis of Existing Research,1,3,8.562992131123702
Critical Analysis of Existing Research,1,4,5.682050025737752
Critical Analysis of Existing Research,1,1,10.0
Critical Analysis of Existing Research,1,7,7.438519582120779
Critical Analysis of Existing Research,1,5,1.6933786562132118
Critical Analysis of Existing Research,1,0,5.441932429979446
Critical Analysis of Existing Research,1,2,0.5416782311624154
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,9,3.3260805508787357
Feasibility of Proposed Suggestions,1,8,9.95556785866196
Feasibility of Proposed Suggestions,1,6,9.652033543192179
Feasibility of Proposed Suggestions,1,3,9.444543649550415
Feasibility of Proposed Suggestions,1,4,7.11837885044253
Feasibility of Proposed Suggestions,1,1,10.0
Feasibility of Proposed Suggestions,1,7,9.423169402289533
Feasibility of Proposed Suggestions,1,5,5.22664132310464
Feasibility of Proposed Suggestions,1,0,7.373936971908073
Feasibility of Proposed Suggestions,1,2,0.6880556989104719
Fluency of Language Expression,1,10,0.18736281369486915
Fluency of Language Expression,1,9,1.1479004339911167
Fluency of Language Expression,1,8,8.630885267208113
Fluency of Language Expression,1,6,5.873200894470703
Fluency of Language Expression,1,3,6.12165774741641
Fluency of Language Expression,1,4,2.6316282903027464
Fluency of Language Expression,1,1,10.0
Fluency of Language Expression,1,7,8.353405814646317
Fluency of Language Expression,1,5,1.9154319410486338
Fluency of Language Expression,1,0,3.542259056968917
Fluency of Language Expression,1,2,0.0
Identification and Discussion of Research Limitations,1,10,0.0
Identification and Discussion of Research Limitations,1,9,0.49177786857342154
Identification and Discussion of Research Limitations,1,8,9.49403191598707
Identification and Discussion of Research Limitations,1,6,9.402076494298754
Identification and Discussion of Research Limitations,1,3,7.588052967563794
Identification and Discussion of Research Limitations,1,4,2.62934145152757
Identification and Discussion of Research Limitations,1,1,10.0
Identification and Discussion of Research Limitations,1,7,8.963645351152138
Identification and Discussion of Research Limitations,1,5,3.6814789921327074
Identification and Discussion of Research Limitations,1,0,5.126591353181802
Identification and Discussion of Research Limitations,1,2,0.09370475929516837
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,9,0.062306155966556497
Inclusion of Latest Research Results,1,8,9.792704933738513
Inclusion of Latest Research Results,1,6,8.78722263198305
Inclusion of Latest Research Results,1,3,7.907930344126323
Inclusion of Latest Research Results,1,4,1.5015066445993799
Inclusion of Latest Research Results,1,1,10.0
Inclusion of Latest Research Results,1,7,6.453991318670806
Inclusion of Latest Research Results,1,5,3.3380892196355094
Inclusion of Latest Research Results,1,0,2.736380568245619
Inclusion of Latest Research Results,1,2,0.5231809942756339
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,9,0.012931356392023464
Innovativeness of Viewpoints,1,8,8.06831081059395
Innovativeness of Viewpoints,1,6,8.122723996569421
Innovativeness of Viewpoints,1,3,9.218719893006108
Innovativeness of Viewpoints,1,4,6.014928277442635
Innovativeness of Viewpoints,1,1,10.0
Innovativeness of Viewpoints,1,7,6.349158529234904
Innovativeness of Viewpoints,1,5,0.30129640310618966
Innovativeness of Viewpoints,1,0,6.512836841224868
Innovativeness of Viewpoints,1,2,0.23227386295912916
Integration of Interdisciplinary Perspectives,1,10,0.9262113697732022
Integration of Interdisciplinary Perspectives,1,9,0.0
Integration of Interdisciplinary Perspectives,1,8,9.087522764071894
Integration of Interdisciplinary Perspectives,1,6,9.357282477979076
Integration of Interdisciplinary Perspectives,1,3,8.76970555148314
Integration of Interdisciplinary Perspectives,1,4,5.47725462950924
Integration of Interdisciplinary Perspectives,1,1,10.0
Integration of Interdisciplinary Perspectives,1,7,4.349011742621752
Integration of Interdisciplinary Perspectives,1,5,0.17275239112495053
Integration of Interdisciplinary Perspectives,1,0,6.673258897325152
Integration of Interdisciplinary Perspectives,1,2,0.08000004697987693
Logic of Argumentation,1,10,0.0
Logic of Argumentation,1,9,3.4074396603468733
Logic of Argumentation,1,8,9.559936282829506
Logic of Argumentation,1,6,9.076899866279083
Logic of Argumentation,1,3,7.756406627701929
Logic of Argumentation,1,4,3.6175050164725797
Logic of Argumentation,1,1,10.0
Logic of Argumentation,1,7,8.656880726225733
Logic of Argumentation,1,5,4.174581685274437
Logic of Argumentation,1,0,6.450482986145501
Logic of Argumentation,1,2,0.20211300785894656
Multi-angle Analysis of Problems,1,10,0.0
Multi-angle Analysis of Problems,1,9,1.8337184840778362
Multi-angle Analysis of Problems,1,8,9.83417682447365
Multi-angle Analysis of Problems,1,6,9.6577733633127
Multi-angle Analysis of Problems,1,3,8.628683175619848
Multi-angle Analysis of Problems,1,4,6.252766484415303
Multi-angle Analysis of Problems,1,1,10.0
Multi-angle Analysis of Problems,1,7,9.621985233344732
Multi-angle Analysis of Problems,1,5,5.000994530375342
Multi-angle Analysis of Problems,1,0,6.747820125247114
Multi-angle Analysis of Problems,1,2,0.4365073605237735
Potential Contribution to the Field,1,10,0.0
Potential Contribution to the Field,1,9,1.404335425810316
Potential Contribution to the Field,1,8,9.915735930338235
Potential Contribution to the Field,1,6,8.893575807933134
Potential Contribution to the Field,1,3,9.213432368613303
Potential Contribution to the Field,1,4,7.638548959523026
Potential Contribution to the Field,1,1,10.0
Potential Contribution to the Field,1,7,9.482009335569355
Potential Contribution to the Field,1,5,5.170180145507192
Potential Contribution to the Field,1,0,8.068394881190645
Potential Contribution to the Field,1,2,1.2871107882490236
Practical Application Potential of Research Results,1,10,0.0
Practical Application Potential of Research Results,1,9,2.727494765617489
Practical Application Potential of Research Results,1,8,9.926246013307399
Practical Application Potential of Research Results,1,6,9.599692447221885
Practical Application Potential of Research Results,1,3,8.845706330376252
Practical Application Potential of Research Results,1,4,5.14443993390771
Practical Application Potential of Research Results,1,1,10.0
Practical Application Potential of Research Results,1,7,8.843814446785403
Practical Application Potential of Research Results,1,5,3.9019403738150884
Practical Application Potential of Research Results,1,0,6.620828614474622
Practical Application Potential of Research Results,1,2,0.38059963182087947
Proposal of New Research Directions or Questions,1,10,0.0
Proposal of New Research Directions or Questions,1,9,0.21757212759384828
Proposal of New Research Directions or Questions,1,8,9.723048953197488
Proposal of New Research Directions or Questions,1,6,8.598110012173178
Proposal of New Research Directions or Questions,1,3,8.686873739802323
Proposal of New Research Directions or Questions,1,4,7.2269068341411975
Proposal of New Research Directions or Questions,1,1,10.0
Proposal of New Research Directions or Questions,1,7,8.817916807187752
Proposal of New Research Directions or Questions,1,5,4.83009275533007
Proposal of New Research Directions or Questions,1,0,6.097139116069286
Proposal of New Research Directions or Questions,1,2,0.9918113416545632
Quality of Introduction and Conclusion,1,10,0.31658732049665433
Quality of Introduction and Conclusion,1,9,1.1231464320592668
Quality of Introduction and Conclusion,1,8,3.9594945266550807
Quality of Introduction and Conclusion,1,6,5.300866188564827
