Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.1336584204844574,[0.07 0.23],64.51612903225806
Comprehensiveness of Information,0.13981115110722095,[0.08 0.23],73.23943661971832
Accuracy of Information,0.03705500680705613,[-0.   0.1],87.5
Innovativeness of Viewpoints,0.16358534272451797,[0.1  0.26],70.0
Integration of Interdisciplinary Perspectives,0.1574688106206073,[0.09 0.26],66.25
Clarity of Logical Structure,0.06077310977168431,[0.02 0.13],92.95774647887323
Reasonableness of Chapter Arrangement,0.05022849461090456,[0.01 0.11],89.39393939393939
Quality of Introduction and Conclusion,0.07891811671727812,[0.03 0.16],77.60000000000001
Accuracy and Completeness of Citations,0.016371508408289867,[-0.01  0.07],89.8989898989899
Timeliness and Relevance of References,0.05460417718752117,[0.01 0.12],83.57142857142857
Avoidance of Plagiarism and Appropriate Citation,0.03814197341987925,[-0.   0.1],85.07462686567165
Critical Analysis of Existing Research,0.12748260699121022,[0.07 0.22],80.55555555555556
Proposal of New Research Directions or Questions,0.09660228374594354,[0.04 0.18],83.33333333333334
Potential Contribution to the Field,0.10377007595471104,[0.05 0.19],85.8974358974359
Clarity of Research Method Description,0.03434773750208376,[-0.    0.09],91.05691056910568
Rationality of Method Selection,0.0411944854319103,[0.  0.1],86.66666666666667
Rigor of Research Design,0.07371668274927624,[0.03 0.15],85.82089552238806
Inclusion of Latest Research Results,0.06517854317210825,[0.02 0.14],83.80281690140845
Reflection of Current Research Hotspots,0.0904497389542501,[0.04 0.17],85.35031847133759
Fluency of Language Expression,0.05325752320751752,[0.01 0.12],84.8
Appropriateness of Professional Terminology Use,0.05916028101133478,[0.01 0.13],87.16216216216216
Conciseness of Expression,0.0394369419079388,[0.  0.1],88.53503184713377
Practical Application Potential of Research Results,0.09271671447561744,[0.04 0.17],85.98726114649682
Feasibility of Proposed Suggestions,0.1148851930075184,[0.06 0.2 ],85.35031847133759
Logic of Argumentation,0.09242179510460768,[0.04 0.17],84.32835820895522
Multi-angle Analysis of Problems,0.13221270029478577,[0.07 0.22],85.07462686567165
Identification and Discussion of Research Limitations,0.12171094402832276,[0.06 0.21],85.07462686567165
