Subcategory,ICC (Intraclass Correlation Coefficient),ICC 95% Confidence Interval,Transitivity Consistency Ratio (%)
Topic Relevance,0.49387303842408775,[0.39 0.61],64.46280991735537
Comprehensiveness of Information,0.7754366909647858,[0.7  0.84],76.92307692307693
Accuracy of Information,0.30942567028304546,[0.22 0.43],50.0
Innovativeness of Viewpoints,0.6148322700307739,[0.52 0.72],78.18181818181819
Integration of Interdisciplinary Perspectives,0.7431245048942019,[0.66 0.82],77.57575757575758
Clarity of Logical Structure,0.7075044440341456,[0.62 0.79],73.33333333333333
Reasonableness of Chapter Arrangement,0.6893290415873908,[0.6  0.78],74.54545454545455
Quality of Introduction and Conclusion,0.6613829490496044,[0.57 0.75],74.54545454545455
Accuracy and Completeness of Citations,0.6671105592993538,[0.58 0.76],69.42148760330579
Timeliness and Relevance of References,0.683445667705712,[0.59 0.77],73.33333333333333
Avoidance of Plagiarism and Appropriate Citation,0.2569823870647883,[0.17 0.37],49.25373134328358
Critical Analysis of Existing Research,0.6828068599359446,[0.59 0.77],78.78787878787878
Proposal of New Research Directions or Questions,0.5049507204642396,[0.4  0.62],74.35897435897436
Potential Contribution to the Field,0.6228621560966955,[0.53 0.72],75.75757575757575
Clarity of Research Method Description,0.6094838981497267,[0.51 0.71],74.35897435897436
Rationality of Method Selection,0.61267376708929,[0.52 0.71],74.35897435897436
Rigor of Research Design,0.6057426624574761,[0.51 0.71],74.35897435897436
Inclusion of Latest Research Results,0.6693301174230404,[0.58 0.76],73.33333333333333
Reflection of Current Research Hotspots,0.6424032725834624,[0.55 0.74],73.93939393939394
Fluency of Language Expression,0.5761186439284746,[0.48 0.68],74.35897435897436
Appropriateness of Professional Terminology Use,0.569260843491949,[0.47 0.68],75.64102564102564
Conciseness of Expression,0.5901462523647379,[0.49 0.69],74.54545454545455
Practical Application Potential of Research Results,0.616365114835659,[0.52 0.72],75.75757575757575
Feasibility of Proposed Suggestions,0.5819065787264998,[0.48 0.69],75.15151515151514
Logic of Argumentation,0.6371328803950358,[0.54 0.73],75.15151515151514
Multi-angle Analysis of Problems,0.6566631218303391,[0.56 0.75],79.39393939393939
Identification and Discussion of Research Limitations,0.5986954529150537,[0.5 0.7],76.36363636363637
