Subcategory,Mean Score,Diff Score
Topic Relevance,7.0,1.0
Topic Relevance,7.75,-0.5
Topic Relevance,7.75,-0.5
Topic Relevance,7.0,1.0
Topic Relevance,7.699999999999999,0.20000000000000018
Topic Relevance,7.75,-0.5
Topic Relevance,7.75,-0.5
Topic Relevance,7.25,0.5
Topic Relevance,7.5,0.0
Topic Relevance,7.75,-0.5
Comprehensiveness of Information,6.25,1.5
Comprehensiveness of Information,7.25,-1.5
Comprehensiveness of Information,6.75,-1.5
Comprehensiveness of Information,6.65,2.3
Comprehensiveness of Information,7.7,0.40000000000000036
Comprehensiveness of Information,7.0,-1.0
Comprehensiveness of Information,7.15,-1.2999999999999998
Comprehensiveness of Information,7.0,1.0
Comprehensiveness of Information,7.4,0.7999999999999998
Comprehensiveness of Information,7.0,-1.0
Accuracy of Information,7.5,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.75,0.3000000000000007
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,8.0,0.0
Accuracy of Information,7.8,0.0
Accuracy of Information,7.75,-0.5
Innovativeness of Viewpoints,6.0,2.0
Innovativeness of Viewpoints,7.0,-2.0
Innovativeness of Viewpoints,7.0,-1.0
Innovativeness of Viewpoints,6.800000000000001,1.7999999999999998
Innovativeness of Viewpoints,7.6,0.20000000000000018
Innovativeness of Viewpoints,6.5,-1.0
Innovativeness of Viewpoints,6.75,-1.5
Innovativeness of Viewpoints,7.0,1.0
Innovativeness of Viewpoints,7.5,0.5999999999999996
Innovativeness of Viewpoints,6.5,-1.0
Integration of Interdisciplinary Perspectives,6.0,1.0
Integration of Interdisciplinary Perspectives,7.25,-1.5
Integration of Interdisciplinary Perspectives,6.5,-1.0
Integration of Interdisciplinary Perspectives,6.9,1.3999999999999995
Integration of Interdisciplinary Perspectives,7.699999999999999,0.20000000000000018
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,7.0,-1.0
Integration of Interdisciplinary Perspectives,7.0,1.0
Integration of Interdisciplinary Perspectives,7.65,0.2999999999999998
Integration of Interdisciplinary Perspectives,6.5,-1.0
Clarity of Logical Structure,7.75,1.5
Clarity of Logical Structure,8.75,-1.5
Clarity of Logical Structure,7.75,-1.5
Clarity of Logical Structure,8.2,1.7999999999999998
Clarity of Logical Structure,9.15,0.6999999999999993
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,8.5,-1.0
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.75,0.5
Clarity of Logical Structure,8.5,-1.0
Reasonableness of Chapter Arrangement,6.5,1.0
Reasonableness of Chapter Arrangement,7.5,-1.0
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,7.1,1.3999999999999995
Reasonableness of Chapter Arrangement,7.65,0.2999999999999998
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,7.0,-1.0
Reasonableness of Chapter Arrangement,7.25,0.5
Reasonableness of Chapter Arrangement,7.65,0.2999999999999998
Reasonableness of Chapter Arrangement,7.0,-1.0
Quality of Introduction and Conclusion,5.5,1.0
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,5.95,1.5
Quality of Introduction and Conclusion,6.25,0.5
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.5,-1.0
Quality of Introduction and Conclusion,6.25,0.5
Quality of Introduction and Conclusion,6.25,0.5
Quality of Introduction and Conclusion,6.5,-1.0
Accuracy and Completeness of Citations,8.5,0.0
Accuracy and Completeness of Citations,8.5,-1.0
Accuracy and Completeness of Citations,8.5,-1.0
Accuracy and Completeness of Citations,8.600000000000001,1.4000000000000004
Accuracy and Completeness of Citations,9.0,1.0
Accuracy and Completeness of Citations,8.5,-1.0
Accuracy and Completeness of Citations,9.0,-1.0
Accuracy and Completeness of Citations,9.25,0.5
Accuracy and Completeness of Citations,9.25,0.5
Accuracy and Completeness of Citations,6.5,-5.0
Timeliness and Relevance of References,6.25,1.5
Timeliness and Relevance of References,7.5,-1.0
Timeliness and Relevance of References,8.0,-1.0
Timeliness and Relevance of References,7.15,1.2999999999999998
Timeliness and Relevance of References,7.65,0.2999999999999998
Timeliness and Relevance of References,7.0,-1.0
Timeliness and Relevance of References,7.5,-1.0
Timeliness and Relevance of References,7.25,0.5
Timeliness and Relevance of References,7.65,0.2999999999999998
Timeliness and Relevance of References,5.5,-5.0
Avoidance of Plagiarism and Appropriate Citation,6.5,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,6.65,0.2999999999999998
Avoidance of Plagiarism and Appropriate Citation,6.25,0.5
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,7.0,0.0
Avoidance of Plagiarism and Appropriate Citation,6.5,0.0
Avoidance of Plagiarism and Appropriate Citation,6.5,0.0
Avoidance of Plagiarism and Appropriate Citation,5.5,-3.0
Critical Analysis of Existing Research,6.5,2.0
Critical Analysis of Existing Research,7.5,-1.0
Critical Analysis of Existing Research,7.25,-1.5
Critical Analysis of Existing Research,6.85,2.1000000000000005
Critical Analysis of Existing Research,7.65,0.2999999999999998
Critical Analysis of Existing Research,7.0,-1.0
Critical Analysis of Existing Research,7.25,-1.5
Critical Analysis of Existing Research,7.0,1.0
