Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,3.1099787991142214
Accuracy and Completeness of Citations,1,1,3.8607288374192756
Accuracy and Completeness of Citations,1,5,4.252724715379352
Accuracy and Completeness of Citations,1,7,3.1584891844295693
Accuracy and Completeness of Citations,1,2,3.087647952167073
Accuracy and Completeness of Citations,1,8,3.654983482341701
Accuracy and Completeness of Citations,1,3,3.518204258229333
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,6,4.724249190107806
Accuracy and Completeness of Citations,1,0,4.900202038128976
Accuracy of Information,1,4,0.1788245071393326
Accuracy of Information,1,1,0.39689746886167343
Accuracy of Information,1,5,0.6376637248215372
Accuracy of Information,1,7,0.2899049581146949
Accuracy of Information,1,2,0.28835251155278585
Accuracy of Information,1,8,0.5778387385200939
Accuracy of Information,1,3,0.20994957671193168
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,10.0
Accuracy of Information,1,6,0.8424553820717873
Accuracy of Information,1,0,0.5451028557804827
Appropriateness of Professional Terminology Use,1,4,0.0
Appropriateness of Professional Terminology Use,1,1,0.41483733583609594
Appropriateness of Professional Terminology Use,1,5,0.383076937523962
Appropriateness of Professional Terminology Use,1,7,0.08893808122260762
Appropriateness of Professional Terminology Use,1,2,0.09010865960289384
Appropriateness of Professional Terminology Use,1,8,1.2443391568955053
Appropriateness of Professional Terminology Use,1,3,3.063723044988352
Appropriateness of Professional Terminology Use,1,10,0.09298634816704245
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,6,4.236526811305172
Appropriateness of Professional Terminology Use,1,0,7.100897002327111
Avoidance of Plagiarism and Appropriate Citation,1,4,0.515229854814138
Avoidance of Plagiarism and Appropriate Citation,1,1,1.434360210255417
Avoidance of Plagiarism and Appropriate Citation,1,5,2.2172479220082852
Avoidance of Plagiarism and Appropriate Citation,1,7,1.9734388095149746
Avoidance of Plagiarism and Appropriate Citation,1,2,1.177223701080144
Avoidance of Plagiarism and Appropriate Citation,1,8,2.603778497981925
Avoidance of Plagiarism and Appropriate Citation,1,3,1.1198251284500358
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,2.821338107706528
Avoidance of Plagiarism and Appropriate Citation,1,0,1.7779972891983256
Clarity of Logical Structure,1,4,0.0
Clarity of Logical Structure,1,1,0.5766775088572579
Clarity of Logical Structure,1,5,0.23930653595181878
Clarity of Logical Structure,1,7,0.05352520236815066
Clarity of Logical Structure,1,2,0.1867671686837227
Clarity of Logical Structure,1,8,1.0442291879975667
Clarity of Logical Structure,1,3,2.9041831796224207
Clarity of Logical Structure,1,10,0.8066485337554209
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,6,2.3339274391448757
Clarity of Logical Structure,1,0,5.293691447396871
Clarity of Research Method Description,1,4,0.09877920477678222
Clarity of Research Method Description,1,1,0.5228302524138145
Clarity of Research Method Description,1,5,0.4250333682233647
Clarity of Research Method Description,1,7,0.19852635399816798
Clarity of Research Method Description,1,2,0.2434779949691122
Clarity of Research Method Description,1,8,0.8024807790434708
Clarity of Research Method Description,1,3,1.944737678025345
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,6,2.0219569845580887
Clarity of Research Method Description,1,0,5.979669096314464
Comprehensiveness of Information,1,4,0.03201884584255212
Comprehensiveness of Information,1,1,0.47345521849109384
Comprehensiveness of Information,1,5,0.3779348467040745
Comprehensiveness of Information,1,7,0.11886355105695266
Comprehensiveness of Information,1,2,0.09140480123132588
Comprehensiveness of Information,1,8,0.9498730254790468
Comprehensiveness of Information,1,3,1.3605934727158286
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,6,2.7661636560168406
Comprehensiveness of Information,1,0,5.212210115644192
Conciseness of Expression,1,4,0.0
Conciseness of Expression,1,1,0.4841034544082115
Conciseness of Expression,1,5,0.7227919263812338
Conciseness of Expression,1,7,0.0665487021972786
Conciseness of Expression,1,2,0.13106345382975657
Conciseness of Expression,1,8,1.8010469745488589
Conciseness of Expression,1,3,6.331877708215561
