Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,3.79133438914703
Accuracy and Completeness of Citations,1,5,7.619515857742721
Accuracy and Completeness of Citations,1,8,2.884017946632591
Accuracy and Completeness of Citations,1,6,5.9399509877339804
Accuracy and Completeness of Citations,1,3,8.198302373456663
Accuracy and Completeness of Citations,1,2,5.403716984782114
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,7,7.239211294541273
Accuracy and Completeness of Citations,1,0,8.376109154004434
Accuracy and Completeness of Citations,1,4,6.095107406104043
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,0.5697278687540078
Accuracy of Information,1,5,1.7283677159937525
Accuracy of Information,1,8,0.0
Accuracy of Information,1,6,2.8714383718490537
Accuracy of Information,1,3,5.307483658997212
Accuracy of Information,1,2,3.1207758771616994
Accuracy of Information,1,10,0.3946831209741202
Accuracy of Information,1,7,3.3606046135438277
Accuracy of Information,1,0,4.380733713477333
Accuracy of Information,1,4,2.956158954686112
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,1,0.09195605460214061
Appropriateness of Professional Terminology Use,1,5,4.580729165411811
Appropriateness of Professional Terminology Use,1,8,0.0
Appropriateness of Professional Terminology Use,1,6,6.7283520490294215
Appropriateness of Professional Terminology Use,1,3,9.608560398604496
Appropriateness of Professional Terminology Use,1,2,8.700539624897003
Appropriateness of Professional Terminology Use,1,10,0.03664221583679107
Appropriateness of Professional Terminology Use,1,7,2.612586252036572
Appropriateness of Professional Terminology Use,1,0,9.68837103197108
Appropriateness of Professional Terminology Use,1,4,2.1265826930371334
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,3.533503029686036
Avoidance of Plagiarism and Appropriate Citation,1,5,7.136749534202519
Avoidance of Plagiarism and Appropriate Citation,1,8,0.7908925787345114
Avoidance of Plagiarism and Appropriate Citation,1,6,7.301855166239034
Avoidance of Plagiarism and Appropriate Citation,1,3,8.39373081602361
Avoidance of Plagiarism and Appropriate Citation,1,2,7.693081517294206
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,7.063321998134126
Avoidance of Plagiarism and Appropriate Citation,1,0,7.93989828476774
Avoidance of Plagiarism and Appropriate Citation,1,4,6.014193288381518
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,1,0.0631863599345297
Clarity of Logical Structure,1,5,5.353321255447306
Clarity of Logical Structure,1,8,0.0
Clarity of Logical Structure,1,6,6.617145306518645
Clarity of Logical Structure,1,3,9.175897139506478
Clarity of Logical Structure,1,2,8.75822901044841
Clarity of Logical Structure,1,10,0.14614043319969847
Clarity of Logical Structure,1,7,3.693026292422743
Clarity of Logical Structure,1,0,8.869672522712944
Clarity of Logical Structure,1,4,3.8033199403622193
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,1,0.0604260010279304
Clarity of Research Method Description,1,5,4.7180215334506315
Clarity of Research Method Description,1,8,0.0
Clarity of Research Method Description,1,6,5.772542906716829
Clarity of Research Method Description,1,3,8.9662700552345
Clarity of Research Method Description,1,2,5.336783872233385
Clarity of Research Method Description,1,10,0.05046860518085472
Clarity of Research Method Description,1,7,3.2971575132404665
Clarity of Research Method Description,1,0,8.663258352262128
Clarity of Research Method Description,1,4,3.033177939634625
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,1,0.08434964069310093
Comprehensiveness of Information,1,5,5.40041616469107
Comprehensiveness of Information,1,8,0.0
Comprehensiveness of Information,1,6,6.653983076770676
Comprehensiveness of Information,1,3,8.911555876792622
Comprehensiveness of Information,1,2,5.455152235909045
Comprehensiveness of Information,1,10,0.3530747148771471
Comprehensiveness of Information,1,7,5.900253846144476
