Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,5,0.0877970358348856
Accuracy and Completeness of Citations,1,8,1.5176779407021932
Accuracy and Completeness of Citations,1,6,0.240271705767333
Accuracy and Completeness of Citations,1,7,2.4882869092739983
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,1,5.387026642662251
Accuracy and Completeness of Citations,1,3,1.371437787716465
Accuracy and Completeness of Citations,1,0,1.03179432703049
Accuracy and Completeness of Citations,1,2,2.2280096261653233
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,4,2.075303634334968
Accuracy of Information,1,5,0.0
Accuracy of Information,1,8,2.361940412263943
Accuracy of Information,1,6,1.0062160673356122
Accuracy of Information,1,7,5.657108607495358
Accuracy of Information,1,9,10.0
Accuracy of Information,1,1,7.800011685484362
Accuracy of Information,1,3,3.1680438729212677
Accuracy of Information,1,0,3.1231244824442403
Accuracy of Information,1,2,3.5512549612603905
Accuracy of Information,1,10,6.29552751138591
Accuracy of Information,1,4,3.4988435609648603
Appropriateness of Professional Terminology Use,1,5,0.0
Appropriateness of Professional Terminology Use,1,8,2.265090236820444
Appropriateness of Professional Terminology Use,1,6,0.20477340818318862
Appropriateness of Professional Terminology Use,1,7,8.606107786148327
Appropriateness of Professional Terminology Use,1,9,9.867220452664085
Appropriateness of Professional Terminology Use,1,1,10.0
Appropriateness of Professional Terminology Use,1,3,1.996592039278999
Appropriateness of Professional Terminology Use,1,0,1.448278552670964
Appropriateness of Professional Terminology Use,1,2,6.79530294704123
Appropriateness of Professional Terminology Use,1,10,9.329774402937558
Appropriateness of Professional Terminology Use,1,4,1.9181136748062253
Avoidance of Plagiarism and Appropriate Citation,1,5,0.0
Avoidance of Plagiarism and Appropriate Citation,1,8,4.809477083179592
Avoidance of Plagiarism and Appropriate Citation,1,6,0.6114851413899205
Avoidance of Plagiarism and Appropriate Citation,1,7,6.879851524904546
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,1,9.54179410977001
Avoidance of Plagiarism and Appropriate Citation,1,3,4.867446937235047
Avoidance of Plagiarism and Appropriate Citation,1,0,5.239457461285733
Avoidance of Plagiarism and Appropriate Citation,1,2,5.891565140505528
Avoidance of Plagiarism and Appropriate Citation,1,10,0.3884513292165361
Avoidance of Plagiarism and Appropriate Citation,1,4,6.002411846544373
Clarity of Logical Structure,1,5,0.0
Clarity of Logical Structure,1,8,1.8466409786300682
Clarity of Logical Structure,1,6,0.16117345121160964
Clarity of Logical Structure,1,7,6.3478458224178045
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,1,9.627157777471337
Clarity of Logical Structure,1,3,1.257787627053916
Clarity of Logical Structure,1,0,0.6281277185255728
Clarity of Logical Structure,1,2,4.205557239292053
Clarity of Logical Structure,1,10,8.496860382607267
Clarity of Logical Structure,1,4,0.8966903832681754
Clarity of Research Method Description,1,5,0.0
Clarity of Research Method Description,1,8,0.9109189891212175
Clarity of Research Method Description,1,6,0.21055301517896224
Clarity of Research Method Description,1,7,3.491698624086503
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,1,7.432565243342572
Clarity of Research Method Description,1,3,0.7724519581845981
Clarity of Research Method Description,1,0,0.5690994964945323
Clarity of Research Method Description,1,2,2.6064746386725757
Clarity of Research Method Description,1,10,5.065857664390739
