Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,9.302753070581254
Accuracy and Completeness of Citations,1,1,9.536827672911437
Accuracy and Completeness of Citations,1,0,7.8758144433251
Accuracy and Completeness of Citations,1,10,0.0
Accuracy and Completeness of Citations,1,8,8.379997443636068
Accuracy and Completeness of Citations,1,4,9.720368565865998
Accuracy and Completeness of Citations,1,7,8.621408607422126
Accuracy and Completeness of Citations,1,2,8.931680797755359
Accuracy and Completeness of Citations,1,6,9.309132143078928
Accuracy and Completeness of Citations,1,5,7.806755281563861
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,4.3259380034790365
Accuracy of Information,1,1,6.04394512370584
Accuracy of Information,1,0,2.7894911431939833
Accuracy of Information,1,10,0.0
Accuracy of Information,1,8,2.522337539930786
Accuracy of Information,1,4,6.361797162005917
Accuracy of Information,1,7,4.453063924793135
Accuracy of Information,1,2,4.9153731642213145
Accuracy of Information,1,6,5.2744470204626595
Accuracy of Information,1,5,2.7024231317993097
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,8.06310718838151
Appropriateness of Professional Terminology Use,1,1,9.469179355102238
Appropriateness of Professional Terminology Use,1,0,0.5561286427409687
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,8,0.8853940173140019
Appropriateness of Professional Terminology Use,1,4,9.863424221967712
Appropriateness of Professional Terminology Use,1,7,1.7387463027555863
Appropriateness of Professional Terminology Use,1,2,7.212155698972188
Appropriateness of Professional Terminology Use,1,6,8.291534390997
Appropriateness of Professional Terminology Use,1,5,0.9462930650557971
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,7.383345935094273
Avoidance of Plagiarism and Appropriate Citation,1,1,7.670898145558747
Avoidance of Plagiarism and Appropriate Citation,1,0,3.1528033199969188
Avoidance of Plagiarism and Appropriate Citation,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,8,3.534414113252261
Avoidance of Plagiarism and Appropriate Citation,1,4,7.718414178769042
Avoidance of Plagiarism and Appropriate Citation,1,7,5.494070261424916
Avoidance of Plagiarism and Appropriate Citation,1,2,7.121984692143401
Avoidance of Plagiarism and Appropriate Citation,1,6,6.032365734067659
Avoidance of Plagiarism and Appropriate Citation,1,5,3.354357449743248
Clarity of Logical Structure,1,9,10.0
Clarity of Logical Structure,1,3,8.150042272498355
Clarity of Logical Structure,1,1,9.589855636067337
Clarity of Logical Structure,1,0,0.6028607685274084
Clarity of Logical Structure,1,10,0.0
Clarity of Logical Structure,1,8,1.5243271629033492
Clarity of Logical Structure,1,4,9.889864305146881
Clarity of Logical Structure,1,7,2.6161067464586565
Clarity of Logical Structure,1,2,7.652407320237083
Clarity of Logical Structure,1,6,8.799602324954092
Clarity of Logical Structure,1,5,0.9388297216987294
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,3,7.26870301839971
Clarity of Research Method Description,1,1,9.093256173096002
Clarity of Research Method Description,1,0,0.7904153498949436
Clarity of Research Method Description,1,10,0.0
Clarity of Research Method Description,1,8,1.065859363866445
Clarity of Research Method Description,1,4,9.80982318696812
Clarity of Research Method Description,1,7,3.1481011459957733
Clarity of Research Method Description,1,2,7.742247941015152
Clarity of Research Method Description,1,6,7.65010003030276
Clarity of Research Method Description,1,5,1.7612356878312745
Comprehensiveness of Information,1,9,10.0
Comprehensiveness of Information,1,3,6.472201513714893
Comprehensiveness of Information,1,1,8.729939113341878
Comprehensiveness of Information,1,0,0.979708121127006
Comprehensiveness of Information,1,10,0.0
Comprehensiveness of Information,1,8,0.7395170385772245
Comprehensiveness of Information,1,4,9.556297186291465
