Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,4,0.07485353326350518
Accuracy and Completeness of Citations,1,2,10.0
Accuracy and Completeness of Citations,1,6,8.779632973512845
Accuracy and Completeness of Citations,1,5,9.384978425727246
Accuracy and Completeness of Citations,1,9,9.419771873981826
Accuracy and Completeness of Citations,1,7,7.389030483105011
Accuracy and Completeness of Citations,1,1,4.774449961722315
Accuracy and Completeness of Citations,1,0,9.309749001410896
Accuracy and Completeness of Citations,1,8,5.886002686502141
Accuracy and Completeness of Citations,1,3,9.712892652391533
Accuracy and Completeness of Citations,1,10,0.0
Accuracy of Information,1,4,9.781810794387432
Accuracy of Information,1,2,9.687011893234995
Accuracy of Information,1,6,9.822566126217444
Accuracy of Information,1,5,9.37046509669564
Accuracy of Information,1,9,5.080425554917501
Accuracy of Information,1,7,9.98829485827445
Accuracy of Information,1,1,9.992381916466632
Accuracy of Information,1,0,9.948978786874505
Accuracy of Information,1,8,8.80423900109119
Accuracy of Information,1,3,10.0
Accuracy of Information,1,10,0.0
Appropriateness of Professional Terminology Use,1,4,0.09327695994367732
Appropriateness of Professional Terminology Use,1,2,10.0
Appropriateness of Professional Terminology Use,1,6,9.828187982696454
Appropriateness of Professional Terminology Use,1,5,5.180672560881776
Appropriateness of Professional Terminology Use,1,9,0.04787785081339713
Appropriateness of Professional Terminology Use,1,7,2.1974631321595024
Appropriateness of Professional Terminology Use,1,1,6.28019740339261
Appropriateness of Professional Terminology Use,1,0,7.2505707830486505
Appropriateness of Professional Terminology Use,1,8,5.178256591122365
Appropriateness of Professional Terminology Use,1,3,9.914579866308696
Appropriateness of Professional Terminology Use,1,10,0.0
Avoidance of Plagiarism and Appropriate Citation,1,4,0.0
Avoidance of Plagiarism and Appropriate Citation,1,2,10.0
Avoidance of Plagiarism and Appropriate Citation,1,6,9.126891436397623
Avoidance of Plagiarism and Appropriate Citation,1,5,6.650159920302705
Avoidance of Plagiarism and Appropriate Citation,1,9,1.3835868607783484
Avoidance of Plagiarism and Appropriate Citation,1,7,7.913165174249734
Avoidance of Plagiarism and Appropriate Citation,1,1,6.2552368627395385
Avoidance of Plagiarism and Appropriate Citation,1,0,4.78957167094971
Avoidance of Plagiarism and Appropriate Citation,1,8,4.357201467491687
Avoidance of Plagiarism and Appropriate Citation,1,3,9.784290239421386
Avoidance of Plagiarism and Appropriate Citation,1,10,0.08140741170753936
Clarity of Logical Structure,1,4,0.025954220709744773
Clarity of Logical Structure,1,2,10.0
Clarity of Logical Structure,1,6,9.883614622298747
Clarity of Logical Structure,1,5,2.8625865722687727
Clarity of Logical Structure,1,9,0.004006040488415698
Clarity of Logical Structure,1,7,0.5816748048575385
Clarity of Logical Structure,1,1,0.5745224200110077
Clarity of Logical Structure,1,0,3.5151389017879344
Clarity of Logical Structure,1,8,1.9381122933088808
Clarity of Logical Structure,1,3,9.98271084134208
Clarity of Logical Structure,1,10,0.0
Clarity of Research Method Description,1,4,0.46259064075432665
Clarity of Research Method Description,1,2,10.0
Clarity of Research Method Description,1,6,9.694491751740665
Clarity of Research Method Description,1,5,6.997090200880196
Clarity of Research Method Description,1,9,1.7117913489782435
Clarity of Research Method Description,1,7,3.1135494116434552
Clarity of Research Method Description,1,1,8.13654458486492
Clarity of Research Method Description,1,0,5.655575583892424
Clarity of Research Method Description,1,8,6.346144329499756
Clarity of Research Method Description,1,3,9.882641291380098
Clarity of Research Method Description,1,10,0.0
Comprehensiveness of Information,1,4,5.93702559227911
Comprehensiveness of Information,1,2,9.99730923288626
Comprehensiveness of Information,1,6,9.024189301258824
Comprehensiveness of Information,1,5,8.007600330300983
Comprehensiveness of Information,1,9,0.6314771171767579
Comprehensiveness of Information,1,7,9.846100549753142
Comprehensiveness of Information,1,1,9.267466091415631
Comprehensiveness of Information,1,0,9.376671047987019
Comprehensiveness of Information,1,8,4.314843007119714
Comprehensiveness of Information,1,3,10.0
Comprehensiveness of Information,1,10,0.0
Conciseness of Expression,1,4,0.11062512955445426
Conciseness of Expression,1,2,10.0
Conciseness of Expression,1,6,9.861475555952527
Conciseness of Expression,1,5,5.983363055626849
Conciseness of Expression,1,9,0.06284024280345808
Conciseness of Expression,1,7,2.5931752678454028
Conciseness of Expression,1,1,4.625896313227895
Conciseness of Expression,1,0,7.935389679981319
Conciseness of Expression,1,8,4.413559845506145
Conciseness of Expression,1,3,9.97445772220471
Conciseness of Expression,1,10,0.0
Critical Analysis of Existing Research,1,4,6.92701175546647
Critical Analysis of Existing Research,1,2,10.0
Critical Analysis of Existing Research,1,6,9.944291877614667
Critical Analysis of Existing Research,1,5,8.785852063650653
Critical Analysis of Existing Research,1,9,0.0
Critical Analysis of Existing Research,1,7,9.44255113273184
Critical Analysis of Existing Research,1,1,9.523982095218031
Critical Analysis of Existing Research,1,0,9.33260214239786
Critical Analysis of Existing Research,1,8,8.055988453371137
Critical Analysis of Existing Research,1,3,9.984495005291558
Critical Analysis of Existing Research,1,10,1.2286839269612242
Feasibility of Proposed Suggestions,1,4,1.5152161311937817
Feasibility of Proposed Suggestions,1,2,9.931273657258854
Feasibility of Proposed Suggestions,1,6,9.955185977356855
Feasibility of Proposed Suggestions,1,5,7.104653473134159
Feasibility of Proposed Suggestions,1,9,0.0
Feasibility of Proposed Suggestions,1,7,3.254997851605177
Feasibility of Proposed Suggestions,1,1,7.69488153117035
Feasibility of Proposed Suggestions,1,0,7.495193423207808
Feasibility of Proposed Suggestions,1,8,4.572671748925365
Feasibility of Proposed Suggestions,1,3,10.0
Feasibility of Proposed Suggestions,1,10,0.29697694927282803
Fluency of Language Expression,1,4,0.010986622495164884
Fluency of Language Expression,1,2,10.0
Fluency of Language Expression,1,6,9.865033244228577
Fluency of Language Expression,1,5,7.821108515431388
Fluency of Language Expression,1,9,0.10624859019083088
Fluency of Language Expression,1,7,6.910717606896512
Fluency of Language Expression,1,1,7.4268209246614125
Fluency of Language Expression,1,0,7.569123694989745
Fluency of Language Expression,1,8,2.725650364397533
Fluency of Language Expression,1,3,9.957584099585581
Fluency of Language Expression,1,10,0.0
Identification and Discussion of Research Limitations,1,4,0.2034988106253397
Identification and Discussion of Research Limitations,1,2,10.0
Identification and Discussion of Research Limitations,1,6,9.834820295192486
Identification and Discussion of Research Limitations,1,5,7.87891970431361
Identification and Discussion of Research Limitations,1,9,0.0
Identification and Discussion of Research Limitations,1,7,6.821065106473935
Identification and Discussion of Research Limitations,1,1,8.095575219515606
