Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,10.0
Accuracy and Completeness of Citations,1,2,0.0
Accuracy and Completeness of Citations,1,10,0.2580049106876129
Accuracy and Completeness of Citations,1,7,3.242439688428556
Accuracy and Completeness of Citations,1,9,7.8596110980077105
Accuracy and Completeness of Citations,1,8,0.16608565164075453
Accuracy and Completeness of Citations,1,1,9.049933593079968
Accuracy and Completeness of Citations,1,4,9.58446076401877
Accuracy and Completeness of Citations,1,5,5.50556036248644
Accuracy and Completeness of Citations,1,3,1.6466399263489164
Accuracy and Completeness of Citations,1,6,3.0583149437216903
Accuracy of Information,1,0,9.794577395531965
Accuracy of Information,1,2,0.0683087167689536
Accuracy of Information,1,10,0.6463750293306466
Accuracy of Information,1,7,5.684827300874589
Accuracy of Information,1,9,1.970413595530661
Accuracy of Information,1,8,0.0
Accuracy of Information,1,1,9.776948933612621
Accuracy of Information,1,4,10.0
Accuracy of Information,1,5,9.852012043994174
Accuracy of Information,1,3,2.4618650157428092
Accuracy of Information,1,6,6.952089889577704
Appropriateness of Professional Terminology Use,1,0,9.4964354189352
Appropriateness of Professional Terminology Use,1,2,0.0
Appropriateness of Professional Terminology Use,1,10,0.16518481928340972
Appropriateness of Professional Terminology Use,1,7,8.717917119675954
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,8,0.32488877340378325
Appropriateness of Professional Terminology Use,1,1,9.97275119670702
Appropriateness of Professional Terminology Use,1,4,9.99977773409663
Appropriateness of Professional Terminology Use,1,5,9.907077198488803
Appropriateness of Professional Terminology Use,1,3,0.32353794957258336
Appropriateness of Professional Terminology Use,1,6,0.7009932582319492
Avoidance of Plagiarism and Appropriate Citation,1,0,9.289939979842982
Avoidance of Plagiarism and Appropriate Citation,1,2,0.0
Avoidance of Plagiarism and Appropriate Citation,1,10,0.39514413088054473
Avoidance of Plagiarism and Appropriate Citation,1,7,9.033367720200507
Avoidance of Plagiarism and Appropriate Citation,1,9,9.40240248430953
Avoidance of Plagiarism and Appropriate Citation,1,8,0.49009639536542693
Avoidance of Plagiarism and Appropriate Citation,1,1,9.426244831897584
Avoidance of Plagiarism and Appropriate Citation,1,4,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,8.73654562321774
Avoidance of Plagiarism and Appropriate Citation,1,3,2.4399766132434335
Avoidance of Plagiarism and Appropriate Citation,1,6,3.0404831243664288
Clarity of Logical Structure,1,0,9.457274393105976
Clarity of Logical Structure,1,2,0.0
Clarity of Logical Structure,1,10,1.0562832938874873
Clarity of Logical Structure,1,7,5.387899302782071
Clarity of Logical Structure,1,9,9.516719074351276
Clarity of Logical Structure,1,8,0.08550222776063239
Clarity of Logical Structure,1,1,9.480769374419115
Clarity of Logical Structure,1,4,10.0
Clarity of Logical Structure,1,5,8.665984489953571
Clarity of Logical Structure,1,3,0.027973106114272468
Clarity of Logical Structure,1,6,5.700503257240534
Clarity of Research Method Description,1,0,9.84209330315223
Clarity of Research Method Description,1,2,0.0
Clarity of Research Method Description,1,10,1.7889171850380703
Clarity of Research Method Description,1,7,7.383848314060979
Clarity of Research Method Description,1,9,10.0
Clarity of Research Method Description,1,8,0.42786963109661263
Clarity of Research Method Description,1,1,9.94512570239725
Clarity of Research Method Description,1,4,9.661218231267757
Clarity of Research Method Description,1,5,9.888794381028776
Clarity of Research Method Description,1,3,0.19765396112830394
Clarity of Research Method Description,1,6,1.4166224993171286
Comprehensiveness of Information,1,0,10.0
Comprehensiveness of Information,1,2,0.6608772268312305
Comprehensiveness of Information,1,10,0.07716437004019097
Comprehensiveness of Information,1,7,7.4550893031256305
Comprehensiveness of Information,1,9,9.244432425232434
Comprehensiveness of Information,1,8,0.0
Comprehensiveness of Information,1,1,9.995564431981888
Comprehensiveness of Information,1,4,9.954998650600002
Comprehensiveness of Information,1,5,9.655103140476097
Comprehensiveness of Information,1,3,0.8281635424379808
Comprehensiveness of Information,1,6,4.9739644249222055
Conciseness of Expression,1,0,9.796671152866853
Conciseness of Expression,1,2,0.0
Conciseness of Expression,1,10,1.1777236043336716
Conciseness of Expression,1,7,8.397712574515154
Conciseness of Expression,1,9,9.574524985530562
Conciseness of Expression,1,8,0.19357122977551158
Conciseness of Expression,1,1,9.947169520019361
Conciseness of Expression,1,4,10.0
Conciseness of Expression,1,5,9.80102380590666
Conciseness of Expression,1,3,0.09658140751131825
Conciseness of Expression,1,6,1.1874424151885774
Critical Analysis of Existing Research,1,0,9.758591055216977
Critical Analysis of Existing Research,1,2,0.24273826490855943
Critical Analysis of Existing Research,1,10,0.0
Critical Analysis of Existing Research,1,7,8.579282791104868
Critical Analysis of Existing Research,1,9,9.956382696203493
Critical Analysis of Existing Research,1,8,1.289712322011847
Critical Analysis of Existing Research,1,1,9.943269886622467
Critical Analysis of Existing Research,1,4,10.0
Critical Analysis of Existing Research,1,5,9.920769203946149
Critical Analysis of Existing Research,1,3,3.6778492641091702
Critical Analysis of Existing Research,1,6,2.7344362537448474
Feasibility of Proposed Suggestions,1,0,9.968170180684204
Feasibility of Proposed Suggestions,1,2,0.0919464474951679
Feasibility of Proposed Suggestions,1,10,0.0
Feasibility of Proposed Suggestions,1,7,9.369364993350294
Feasibility of Proposed Suggestions,1,9,9.82835176454217
Feasibility of Proposed Suggestions,1,8,0.6784913619741143
Feasibility of Proposed Suggestions,1,1,10.0
Feasibility of Proposed Suggestions,1,4,9.84953050791588
Feasibility of Proposed Suggestions,1,5,9.696977952744168
Feasibility of Proposed Suggestions,1,3,0.9089960396562627
Feasibility of Proposed Suggestions,1,6,2.2885599515332626
Fluency of Language Expression,1,0,9.81333958876808
Fluency of Language Expression,1,2,0.0
Fluency of Language Expression,1,10,0.8503961076400379
Fluency of Language Expression,1,7,7.816120483591864
Fluency of Language Expression,1,9,9.926117032687326
Fluency of Language Expression,1,8,0.4412626369193459
Fluency of Language Expression,1,1,10.0
Fluency of Language Expression,1,4,9.875508134130778
Fluency of Language Expression,1,5,9.820729490118925
Fluency of Language Expression,1,3,0.1486381720824619
Fluency of Language Expression,1,6,0.969767541976872
Identification and Discussion of Research Limitations,1,0,9.89462494843465
Identification and Discussion of Research Limitations,1,2,0.0
Identification and Discussion of Research Limitations,1,10,0.005050482065372112
Identification and Discussion of Research Limitations,1,7,7.94055722551948
Identification and Discussion of Research Limitations,1,9,9.891251640006967
Identification and Discussion of Research Limitations,1,8,0.625507435699032
Identification and Discussion of Research Limitations,1,1,10.0
Identification and Discussion of Research Limitations,1,4,9.641889544493404
Identification and Discussion of Research Limitations,1,5,9.878676591583464
Identification and Discussion of Research Limitations,1,3,0.14997841698307965
Identification and Discussion of Research Limitations,1,6,1.4249560484963513
Inclusion of Latest Research Results,1,0,9.967646566418514
Inclusion of Latest Research Results,1,2,0.21303146084603547
Inclusion of Latest Research Results,1,10,0.0
Inclusion of Latest Research Results,1,7,8.922616911404832
Inclusion of Latest Research Results,1,9,9.8800387554773
Inclusion of Latest Research Results,1,8,1.617029965334991
Inclusion of Latest Research Results,1,1,10.0
Inclusion of Latest Research Results,1,4,9.8344680812469
Inclusion of Latest Research Results,1,5,9.180565385014974
Inclusion of Latest Research Results,1,3,2.0865112516011637
Inclusion of Latest Research Results,1,6,4.660959683764996
Innovativeness of Viewpoints,1,0,9.776003976709571
Innovativeness of Viewpoints,1,2,0.5315622270992237
Innovativeness of Viewpoints,1,10,0.0
Innovativeness of Viewpoints,1,7,8.363766304604189
Innovativeness of Viewpoints,1,9,9.334485675674252
Innovativeness of Viewpoints,1,8,0.5866291470034395
Innovativeness of Viewpoints,1,1,9.938234906739275
Innovativeness of Viewpoints,1,4,10.0
Innovativeness of Viewpoints,1,5,9.85997751584946
Innovativeness of Viewpoints,1,3,2.243517468909113
Innovativeness of Viewpoints,1,6,6.757310218686341
Integration of Interdisciplinary Perspectives,1,0,9.97301010089375
Integration of Interdisciplinary Perspectives,1,2,0.13956153583108374
Integration of Interdisciplinary Perspectives,1,10,0.0
Integration of Interdisciplinary Perspectives,1,7,9.719868269705195
Integration of Interdisciplinary Perspectives,1,9,10.0
Integration of Interdisciplinary Perspectives,1,8,1.1295297732881513
Integration of Interdisciplinary Perspectives,1,1,9.96486692191794
Integration of Interdisciplinary Perspectives,1,4,9.78207070132711
Integration of Interdisciplinary Perspectives,1,5,9.960942113825064
Integration of Interdisciplinary Perspectives,1,3,0.976710280981897
Integration of Interdisciplinary Perspectives,1,6,9.32759241397237
Logic of Argumentation,1,0,9.99009291601227
Logic of Argumentation,1,2,0.0
Logic of Argumentation,1,10,0.08706451431743938
Logic of Argumentation,1,7,6.821983182758895
Logic of Argumentation,1,9,9.851931038552593
Logic of Argumentation,1,8,0.34143589160660054
Logic of Argumentation,1,1,10.0
Logic of Argumentation,1,4,9.936278519476344
Logic of Argumentation,1,5,9.957214031191473
Logic of Argumentation,1,3,0.04393061934382321
Logic of Argumentation,1,6,2.338194098536187
Multi-angle Analysis of Problems,1,0,9.892018334036921
Multi-angle Analysis of Problems,1,2,0.0
Multi-angle Analysis of Problems,1,10,0.03207569025309728
Multi-angle Analysis of Problems,1,7,6.835681837532969
Multi-angle Analysis of Problems,1,9,9.902178675293527
