Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,7,3.1279577564554866
Accuracy and Completeness of Citations,1,2,0.5163042141269212
Accuracy and Completeness of Citations,1,8,0.37773618094649425
Accuracy and Completeness of Citations,1,1,0.0
Accuracy and Completeness of Citations,1,0,2.4589120670754925
Accuracy and Completeness of Citations,1,9,10.0
Accuracy and Completeness of Citations,1,3,0.6925923944831057
Accuracy and Completeness of Citations,1,4,0.05177898412520916
Accuracy and Completeness of Citations,1,6,0.709310988580595
Accuracy and Completeness of Citations,1,10,5.51811130578165
Accuracy and Completeness of Citations,1,5,0.2376457099732748
Accuracy of Information,1,7,2.3782072678847443
Accuracy of Information,1,2,0.4304291021124979
Accuracy of Information,1,8,0.5611626262432704
Accuracy of Information,1,1,0.15241834574052107
Accuracy of Information,1,0,1.6505339406564414
Accuracy of Information,1,9,10.0
Accuracy of Information,1,3,0.5086996671431866
Accuracy of Information,1,4,0.0
Accuracy of Information,1,6,0.5999414047373852
Accuracy of Information,1,10,0.27128807533906485
Accuracy of Information,1,5,0.7576042791709415
Appropriateness of Professional Terminology Use,1,7,1.528823140620842
Appropriateness of Professional Terminology Use,1,2,0.13390693921520536
Appropriateness of Professional Terminology Use,1,8,0.3582248580438266
Appropriateness of Professional Terminology Use,1,1,0.0022397517821656516
Appropriateness of Professional Terminology Use,1,0,0.7294669462714226
Appropriateness of Professional Terminology Use,1,9,10.0
Appropriateness of Professional Terminology Use,1,3,0.290987103375022
Appropriateness of Professional Terminology Use,1,4,0.08712813631074541
Appropriateness of Professional Terminology Use,1,6,0.36034725839719867
Appropriateness of Professional Terminology Use,1,10,0.6647960060353602
Appropriateness of Professional Terminology Use,1,5,0.0
Avoidance of Plagiarism and Appropriate Citation,1,7,4.429140657959845
Avoidance of Plagiarism and Appropriate Citation,1,2,0.7919587316125487
Avoidance of Plagiarism and Appropriate Citation,1,8,1.630388820701355
Avoidance of Plagiarism and Appropriate Citation,1,1,0.5345118038629457
Avoidance of Plagiarism and Appropriate Citation,1,0,4.447249762360248
Avoidance of Plagiarism and Appropriate Citation,1,9,10.0
Avoidance of Plagiarism and Appropriate Citation,1,3,2.0697124183919264
Avoidance of Plagiarism and Appropriate Citation,1,4,0.5590335865956043
Avoidance of Plagiarism and Appropriate Citation,1,6,1.057860211042712
