Subcategory,Paragraph,Author,Score
Accuracy and Completeness of Citations,1,0,0.0
Accuracy and Completeness of Citations,1,2,2.29918656301887
Accuracy and Completeness of Citations,1,7,9.716126585676435
Accuracy and Completeness of Citations,1,5,1.7702127946489143
Accuracy and Completeness of Citations,1,8,9.251947393356295
Accuracy and Completeness of Citations,1,6,3.9974042460842094
Accuracy and Completeness of Citations,1,4,10.0
Accuracy and Completeness of Citations,1,3,9.944842955823601
Accuracy and Completeness of Citations,1,1,1.404944512212774
Accuracy and Completeness of Citations,1,10,0.0028539414288611203
Accuracy and Completeness of Citations,1,9,6.878673317390023
Accuracy of Information,1,0,1.9997614511445667
Accuracy of Information,1,2,6.00004192579789
Accuracy of Information,1,7,9.220942633421803
Accuracy of Information,1,5,3.124739854056917
Accuracy of Information,1,8,9.462700472776477
Accuracy of Information,1,6,7.696450944424248
Accuracy of Information,1,4,10.0
Accuracy of Information,1,3,9.392979132819008
Accuracy of Information,1,1,7.495508908450541
Accuracy of Information,1,10,0.0
Accuracy of Information,1,9,9.92574232061988
Appropriateness of Professional Terminology Use,1,0,0.10665149564633315
Appropriateness of Professional Terminology Use,1,2,3.331208513278685
Appropriateness of Professional Terminology Use,1,7,8.455482831331665
Appropriateness of Professional Terminology Use,1,5,1.465023344281299
Appropriateness of Professional Terminology Use,1,8,9.375983574213096
Appropriateness of Professional Terminology Use,1,6,8.814750787507887
Appropriateness of Professional Terminology Use,1,4,10.0
Appropriateness of Professional Terminology Use,1,3,9.822482045799546
Appropriateness of Professional Terminology Use,1,1,2.3480744347183955
Appropriateness of Professional Terminology Use,1,10,0.0
Appropriateness of Professional Terminology Use,1,9,6.4754253611296155
Avoidance of Plagiarism and Appropriate Citation,1,0,1.642194345101224
Avoidance of Plagiarism and Appropriate Citation,1,2,6.321059522070237
Avoidance of Plagiarism and Appropriate Citation,1,7,10.0
Avoidance of Plagiarism and Appropriate Citation,1,5,1.8304875620304726
Avoidance of Plagiarism and Appropriate Citation,1,8,9.579409484519411
Avoidance of Plagiarism and Appropriate Citation,1,6,6.6859796324009935
Avoidance of Plagiarism and Appropriate Citation,1,4,9.99291259870859
Avoidance of Plagiarism and Appropriate Citation,1,3,9.843798782953927
Avoidance of Plagiarism and Appropriate Citation,1,1,4.705734547932417
