Subcategory,max_score,avg_score,score_9,score_10,relative_score_9,relative_score_10
Accuracy and Completeness of Citations,7.12770794534825,5.0614884031336596,9.892307439093797,0.02419821475352907,-27.39420674566901,101.0
Accuracy of Information,4.4530186451635485,2.519009715841838,9.85165991959918,0.42883694090621294,-52.9752129957095,93.59085978032648
Appropriateness of Professional Terminology Use,9.040882704738529,3.4875452528367448,9.611681263232638,0.8517009114843246,-4.1286631823115405,95.379526964089
Avoidance of Plagiarism and Appropriate Citation,6.46144731758464,4.069351518109838,9.814782013620137,0.14698509481471653,-32.46130953583865,100.3572525376837
Clarity of Logical Structure,7.897720447310947,3.224273921449361,9.573404556606175,1.092475592452531,-14.67666508739227,93.9644134761605
Clarity of Research Method Description,7.886212476380359,3.362704298033599,9.792965993383342,0.5549854778335387,-17.877967054608202,95.2855376135196
Comprehensiveness of Information,7.7109749435493224,3.1421409519067542,9.672263413581693,0.5811914852485218,-18.432650306107508,96.59983667455607
Conciseness of Expression,9.239121901239645,3.679950156864111,9.164781609686166,1.2389703577693139,3.3430096676296372,94.74025646612832
Critical Analysis of Existing Research,8.592929396687133,3.9578224059196807,9.364817853185249,0.3197232542518094,-6.136593624946822,99.98497801759156
Feasibility of Proposed Suggestions,9.054675938148455,4.224291703788614,9.276822511051016,0.37683615554017735,-0.6580025563049956,99.90623547844112
Fluency of Language Expression,9.384621613824617,3.7699223889620033,9.066252743774395,1.4986931418073401,5.645646999068009,93.6648113740449
Identification and Discussion of Research Limitations,8.505959368992297,3.643326727453626,9.564730787555506,0.5876736660898774,-9.3476493227899,95.99480806791853
Inclusion of Latest Research Results,8.361065003612545,3.8456610192858958,9.705198279527815,0.14435057789917838,-12.091716500386898,101.0
Innovativeness of Viewpoints,9.3166043344537,4.777464026249399,8.969514526569105,0.2756206020462907,5.635953116602849,100.34775593673974
Integration of Interdisciplinary Perspectives,8.54019436072132,3.7613550911998352,9.556420030531823,0.7000969650890784,-9.17622918865155,96.1239171157799
Logic of Argumentation,8.589138308624571,3.556741018814567,9.566426935255018,0.7998807888476983,-7.986745560309069,95.21583461751547
Multi-angle Analysis of Problems,8.638338400434108,3.6669328783312545,9.58950373168057,0.6288521691765776,-8.326224391226132,95.8692437215203
Potential Contribution to the Field,8.853647387616055,4.159401387017613,9.321711208620231,0.31435560666172063,-3.2629268312071797,100.52588561875673
Practical Application Potential of Research Results,8.71616820181496,3.98780702167406,9.436866870792096,0.3966680640788285,-5.682336202861179,99.67763956248056
Proposal of New Research Directions or Questions,9.619253105097165,6.040219895414808,8.193360450403137,0.14815118601860464,18.93851611520175,101.0
Quality of Introduction and Conclusion,9.030407053230078,3.8941686908663775,8.941767148432179,1.302581855934278,4.109833124647435,94.55396234454494
Rationality of Method Selection,8.109130125724093,3.4494943333593935,9.76697517226294,0.5866041735193126,-15.033023319595442,95.14412289081423
Reasonableness of Chapter Arrangement,8.032455319929605,3.3053190671900903,9.615692811611018,1.0535812963237432,-14.551338475216134,94.7805305977976
Reflection of Current Research Hotspots,8.591568090140369,3.7927692891164493,9.623110473765784,0.3010945649771082,-9.110686447759214,100.68386011093645
Rigor of Research Design,8.0888041770105,3.335836804778609,9.763343003696477,0.6124072054326768,-15.20994851895577,95.16696284397055
Timeliness and Relevance of References,8.509305065866569,3.905861232980534,9.698844952781105,0.1141643973069674,-10.676532361757426,101.0
Topic Relevance,5.917260898188286,3.0764407996933216,9.69707068331241,0.8126655325955029,-36.76528000276548,93.43610688303148
