X_Coordinate,Paragraph
0,10.1002_advs.202207756_0
1,10.1002_advs.202207756_1
2,10.1002_advs.202207756_2
3,10.1002_advs.202207756_3
4,10.1002_advs.202207756_4
5,10.1021_acscatal.0c03999_0
6,10.1021_acscatal.0c03999_1
7,10.1021_acscatal.0c03999_2
8,10.1021_acscatal.0c03999_3
9,10.1021_acscatal.0c03999_4
10,10.1021_acscatal.0c03999_5
11,10.1021_acscatal.0c03999_6
12,10.1021_acscatal.0c03999_7
13,10.1021_acscatal.0c03999_8
14,10.1021_acscatal.0c03999_9
15,10.1021_acscatal.0c03999_10
16,10.1021_acscatal.0c03999_11
17,10.1021_acscatal.0c03999_12
18,10.1021_acscatal.0c03999_13
19,10.1021_acscatal.0c03999_14
20,10.1021_acscatal.1c00331_0
21,10.1021_acscatal.1c00331_1
22,10.1021_acscatal.1c00331_2
23,10.1021_acscatal.1c00331_3
24,10.1021_acscatal.1c00331_4
25,10.1021_acscatal.3c00103_0
26,10.1021_acscatal.3c00103_1
27,10.1021_acscatal.3c00103_2
28,10.1021_acscatal.3c00103_3
29,10.1021_acscatal.3c00103_4
30,10.1021_acscatal.3c00103_5
31,10.1021_acscatal.3c00728_0
32,10.1021_acscatal.3c00728_1
33,10.1021_acscatal.3c00728_2
34,10.1021_acscatal.3c00728_3
35,10.1021_acscatal.3c00728_4
36,10.1021_acscatal.3c00728_5
37,10.1021_acscatal.3c00816_0
38,10.1021_acscatal.3c00816_1
39,10.1021_acscatal.3c00816_2
40,10.1021_acscatal.3c00816_3
41,10.1021_acscatal.3c00816_4
42,10.1021_acscatal.3c00816_5
43,10.1021_acscatal.7b03228_0
44,10.1021_acscatal.7b03228_1
45,10.1021_cr300096b_0
46,10.1021_cr300096b_1
47,10.1021_cr300096b_2
48,10.1021_cr300096b_3
49,10.1021_cr300096b_4
50,10.1021_cr300096b_5
51,10.1021_cr300096b_6
52,10.1021_cr300096b_7
53,10.1021_cr300096b_8
54,10.1021_cr300096b_9
55,10.1021_cr300096b_10
56,10.1021_cr300096b_11
57,10.1021_cr300096b_12
58,10.1021_cr300096b_13
59,10.1021_cr300418s_0
60,10.1021_cr300418s_1
61,10.1021_cr300418s_2
62,10.1021_cr300418s_3
63,10.1021_cr300418s_4
64,10.1021_cr300418s_5
65,10.1021_cr300418s_6
66,10.1021_cr300418s_7
67,10.1021_cr300418s_8
68,10.1021_cr300418s_9
69,10.1021_cr300418s_10
70,10.1021_cr5002436_0
71,10.1021_cr5002436_1
72,10.1021_cr5002436_2
73,10.1021_cr5002436_3
74,10.1021_cr5002436_4
75,10.1021_cr5002436_5
76,10.1021_cr5002436_6
77,10.1021_cr5002436_7
78,10.1021_cr900122p_0
79,10.1021_cr900122p_1
80,10.1021_cr900122p_2
81,10.1021_cr900122p_3
82,10.1021_cr900122p_4
83,10.1021_cr900122p_5
84,10.1038_s41570-019-0128-9_0
85,10.1038_s41570-019-0128-9_1
86,10.1038_s41570-019-0128-9_2
87,10.1038_s41570-019-0128-9_3
88,10.1126_science.abh0424_0
