X_Index,X_Value
0,Qwen2-72B\10.1002_advs.202207756_0
1,Qwen2-72B\10.1002_advs.202207756_1
2,Qwen2-72B\10.1002_advs.202207756_2
3,Qwen2-72B\10.1002_advs.202207756_3
4,Qwen2-72B\10.1002_advs.202207756_4
5,Qwen2-72B\10.1021_acscatal.0c03999_0
6,Qwen2-72B\10.1021_acscatal.0c03999_1
7,Qwen2-72B\10.1021_acscatal.0c03999_2
8,Qwen2-72B\10.1021_acscatal.0c03999_3
9,Qwen2-72B\10.1021_acscatal.0c03999_4
10,Qwen2-72B\10.1021_acscatal.0c03999_5
11,Qwen2-72B\10.1021_acscatal.0c03999_6
12,Qwen2-72B\10.1021_acscatal.0c03999_7
13,Qwen2-72B\10.1021_acscatal.0c03999_8
14,Qwen2-72B\10.1021_acscatal.0c03999_9
15,Qwen2-72B\10.1021_acscatal.0c03999_10
16,Qwen2-72B\10.1021_acscatal.0c03999_11
17,Qwen2-72B\10.1021_acscatal.0c03999_12
18,Qwen2-72B\10.1021_acscatal.0c03999_13
19,Qwen2-72B\10.1021_acscatal.0c03999_14
20,Qwen2-72B\10.1021_acscatal.1c00331_0
21,Qwen2-72B\10.1021_acscatal.1c00331_1
22,Qwen2-72B\10.1021_acscatal.1c00331_2
23,Qwen2-72B\10.1021_acscatal.1c00331_3
24,Qwen2-72B\10.1021_acscatal.1c00331_4
25,Qwen2-72B\10.1021_acscatal.3c00103_0
26,Qwen2-72B\10.1021_acscatal.3c00103_1
27,Qwen2-72B\10.1021_acscatal.3c00103_2
28,Qwen2-72B\10.1021_acscatal.3c00103_3
29,Qwen2-72B\10.1021_acscatal.3c00103_4
30,Qwen2-72B\10.1021_acscatal.3c00103_5
31,Qwen2-72B\10.1021_acscatal.3c00728_0
32,Qwen2-72B\10.1021_acscatal.3c00728_1
33,Qwen2-72B\10.1021_acscatal.3c00728_2
34,Qwen2-72B\10.1021_acscatal.3c00728_3
35,Qwen2-72B\10.1021_acscatal.3c00728_4
36,Qwen2-72B\10.1021_acscatal.3c00728_5
37,Qwen2-72B\10.1021_acscatal.3c00816_0
38,Qwen2-72B\10.1021_acscatal.3c00816_1
39,Qwen2-72B\10.1021_acscatal.3c00816_2
40,Qwen2-72B\10.1021_acscatal.3c00816_3
41,Qwen2-72B\10.1021_acscatal.3c00816_4
42,Qwen2-72B\10.1021_acscatal.3c00816_5
43,Qwen2-72B\10.1021_acscatal.7b03228_0
44,Qwen2-72B\10.1021_acscatal.7b03228_1
45,Qwen2-72B\10.1021_cr300096b_0
46,Qwen2-72B\10.1021_cr300096b_1
47,Qwen2-72B\10.1021_cr300096b_2
48,Qwen2-72B\10.1021_cr300096b_3
49,Qwen2-72B\10.1021_cr300096b_4
50,Qwen2-72B\10.1021_cr300096b_5
51,Qwen2-72B\10.1021_cr300096b_6
52,Qwen2-72B\10.1021_cr300096b_7
53,Qwen2-72B\10.1021_cr300096b_8
54,Qwen2-72B\10.1021_cr300096b_9
55,Qwen2-72B\10.1021_cr300096b_10
56,Qwen2-72B\10.1021_cr300096b_11
57,Qwen2-72B\10.1021_cr300096b_12
58,Qwen2-72B\10.1021_cr300096b_13
59,Qwen2-72B\10.1021_cr300418s_0
60,Qwen2-72B\10.1021_cr300418s_1
61,Qwen2-72B\10.1021_cr300418s_2
62,Qwen2-72B\10.1021_cr300418s_3
63,Qwen2-72B\10.1021_cr300418s_4
64,Qwen2-72B\10.1021_cr300418s_5
65,Qwen2-72B\10.1021_cr300418s_6
66,Qwen2-72B\10.1021_cr300418s_7
67,Qwen2-72B\10.1021_cr300418s_8
68,Qwen2-72B\10.1021_cr300418s_9
69,Qwen2-72B\10.1021_cr300418s_10
70,Qwen2-72B\10.1021_cr5002436_0
71,Qwen2-72B\10.1021_cr5002436_1
72,Qwen2-72B\10.1021_cr5002436_2
73,Qwen2-72B\10.1021_cr5002436_3
74,Qwen2-72B\10.1021_cr5002436_4
75,Qwen2-72B\10.1021_cr5002436_5
76,Qwen2-72B\10.1021_cr5002436_6
77,Qwen2-72B\10.1021_cr5002436_7
78,Qwen2-72B\10.1021_cr900122p_0
79,Qwen2-72B\10.1021_cr900122p_1
80,Qwen2-72B\10.1021_cr900122p_2
81,Qwen2-72B\10.1021_cr900122p_3
82,Qwen2-72B\10.1021_cr900122p_4
83,Qwen2-72B\10.1021_cr900122p_5
84,Qwen2-72B\10.1038_s41570-019-0128-9_0
85,Qwen2-72B\10.1038_s41570-019-0128-9_1
86,Qwen2-72B\10.1038_s41570-019-0128-9_2
87,Qwen2-72B\10.1038_s41570-019-0128-9_3
88,Qwen2-72B\10.1126_science.abh0424_0

Y_Index,Y_Value
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
